,what,year,did,the,university,open,a,center,in,hong,kong,?
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,1.0,0.263973206281662,0.2764171361923218,0.5829201340675354,0.29064592719078064,0.6662389636039734,0.20716485381126404,0.19810858368873596,0.22068053483963013
most,0.3219912350177765,0.26422736048698425,0.2822507321834564,0.47635307908058167,0.19178320467472076,0.15772466361522675,0.3508910834789276,0.1520920693874359,0.41416558623313904,0.16627736389636993,0.14911608397960663,0.2107497900724411
recent,0.24256184697151184,0.23897750675678253,0.28459128737449646,0.31046223640441895,0.1349720060825348,0.17000791430473328,0.2685950994491577,0.11670590192079544,0.2857761085033417,0.16969427466392517,0.14398154616355896,0.2544887959957123
additions,0.23576049506664276,0.1847153902053833,0.27400100231170654,0.26176345348358154,0.07325100898742676,0.15309156477451324,0.18712157011032104,0.20253095030784607,0.23582589626312256,0.07512904703617096,0.09142720699310303,0.2856413722038269
are,0.29724663496017456,0.1750577986240387,0.2159031480550766,0.40399202704429626,0.16609783470630646,0.253268837928772,0.265255331993103,0.14647969603538513,0.3841303884983063,0.15688124299049377,0.13993145525455475,0.24591213464736938
a,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.20256656408309937,0.21603602170944214,1.0,0.2640431225299835,0.539380669593811,0.18715347349643707,0.1831294298171997,0.23916715383529663
center,0.1908310204744339,0.1111270859837532,0.14647023379802704,0.29064592719078064,0.2763576805591583,0.19829607009887695,0.2640431225299835,0.9999999403953552,0.27253323793411255,0.18970148265361786,0.1804082989692688,0.12538520991802216
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.3201795518398285,0.27347445487976074,0.539380669593811,0.27253323793411255,1.0,0.1973663568496704,0.166715607047081,0.20430970191955566
new,0.2130378633737564,0.25045546889305115,0.227974995970726,0.3845241069793701,0.23094747960567474,0.13432756066322327,0.3214259147644043,0.18740497529506683,0.3758552670478821,0.2242850363254547,0.20228144526481628,0.14782847464084625
delhi,0.1907150000333786,0.24769113957881927,0.11585288494825363,0.2559644877910614,0.2364485114812851,0.13983842730522156,0.1884669065475464,0.14236468076705933,0.24277350306510925,0.2799738645553589,0.26261016726493835,0.09978892654180527
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.3017033040523529,0.28863707184791565,0.427140474319458,0.1905742734670639,0.5201468467712402,0.24277859926223755,0.21958501636981964,0.31091248989105225
india,0.23203566670417786,0.21876831352710724,0.17981284856796265,0.3108653426170349,0.16821256279945374,0.18548931181430817,0.22843793034553528,0.11518000811338425,0.27070173621177673,0.32016831636428833,0.2653822898864746,0.10473668575286865
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.3017033040523529,0.28863707184791565,0.427140474319458,0.1905742734670639,0.5201468467712402,0.24277859926223755,0.21958501636981964,0.31091248989105225
which,0.5261979103088379,0.242343008518219,0.2750149369239807,0.6521818041801453,0.17800195515155792,0.28580859303474426,0.56894451379776,0.22164148092269897,0.4840516746044159,0.19299207627773285,0.19714726507663727,0.25814583897590637
opened,0.14500318467617035,0.17148488759994507,0.2014526128768921,0.28544309735298157,0.24912703037261963,0.39371490478515625,0.20146222412586212,0.2500689625740051,0.2972770035266876,0.19948925077915192,0.16699844598770142,0.1934700310230255
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.3201795518398285,0.27347445487976074,0.539380669593811,0.27253323793411255,1.0,0.1973663568496704,0.166715607047081,0.20430970191955566
2014,0.041483160108327866,0.07599447667598724,-0.002547524170950055,0.059490643441677094,0.030019817873835564,-0.00863691046833992,0.13504788279533386,0.01429671049118042,0.13996225595474243,-0.06081843003630638,-0.06405865401029587,0.058127544820308685
",",0.3087472915649414,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.3017033040523529,0.28863707184791565,0.427140474319458,0.1905742734670639,0.5201468467712402,0.24277859926223755,0.21958501636981964,0.31091248989105225
and,0.31309178471565247,0.2506658732891083,0.34479495882987976,0.5171257257461548,0.2665814459323883,0.27364909648895264,0.3739250600337982,0.28670641779899597,0.4954058527946472,0.2684544324874878,0.2299012690782547,0.20544172823429108
a,0.3320399522781372,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.20256656408309937,0.21603602170944214,1.0,0.2640431225299835,0.539380669593811,0.18715347349643707,0.1831294298171997,0.23916715383529663
