,where,was,the,summer,theatre,located,?
nearby,0.3348102569580078,0.21162067353725433,0.2903098165988922,0.1635507345199585,0.12146501243114471,0.3940320312976837,0.07977716624736786
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.269391804933548,0.29216358065605164,0.2678719460964203,0.31091248989105225
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.31081318855285645,0.26776230335235596,0.35149815678596497,0.20430970191955566
ogród,0.19378025829792023,0.05561339855194092,0.20384527742862701,0.04362200200557709,0.14599351584911346,0.10729686915874481,0.21530838310718536
saski,0.07985769957304001,0.2526317834854126,0.21035519242286682,0.24102233350276947,0.22407479584217072,0.15496176481246948,0.12796473503112793
(,0.1970011591911316,0.2980341613292694,0.33289089798927307,0.1944631189107895,0.1672268509864807,0.21025894582271576,0.40561532974243164
the,0.5003893971443176,0.48711544275283813,1.0,0.2685571610927582,0.25594043731689453,0.407527357339859,0.22068053483963013
saxon,0.18464326858520508,0.19406339526176453,0.26529496908187866,0.12328892946243286,0.13968557119369507,0.12303829938173294,0.14814330637454987
garden,0.26349467039108276,0.2112511396408081,0.23359008133411407,0.2038572132587433,0.2483109086751938,0.21828338503837585,0.16720405220985413
),0.20711064338684082,0.3267642855644226,0.3456730246543884,0.20887640118598938,0.1977372169494629,0.19755883514881134,0.42300865054130554
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.269391804933548,0.29216358065605164,0.2678719460964203,0.31091248989105225
the,0.5003893971443176,0.48711544275283813,1.0,0.2685571610927582,0.25594043731689453,0.407527357339859,0.22068053483963013
summer,0.2592296600341797,0.22632931172847748,0.2685571610927582,0.9999998807907104,0.21918942034244537,0.11759337037801743,0.11625723540782928
theatre,0.2170681208372116,0.2824205458164215,0.25594043731689453,0.21918942034244537,1.0,0.18840843439102173,0.1159285232424736
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.22632931172847748,0.2824205458164215,0.20133289694786072,0.18412111699581146
in,0.5344807505607605,0.45514053106307983,0.6662389636039734,0.31081318855285645,0.26776230335235596,0.35149815678596497,0.20430970191955566
operation,0.22914165258407593,0.21184805035591125,0.2985492944717407,0.1683017909526825,0.1332293152809143,0.1864355206489563,0.12387953698635101
from,0.3713873624801636,0.31171464920043945,0.40150508284568787,0.16950193047523499,0.14344142377376556,0.2290649116039276,0.19969791173934937
1870,0.04826490953564644,-0.03705992177128792,-0.010778824798762798,0.08480734378099442,0.11571845412254333,-0.03132690116763115,0.0628947839140892
to,0.47735077142715454,0.3636345863342285,0.535392165184021,0.23132751882076263,0.1744728684425354,0.20850814878940582,0.29463258385658264
1939,0.1717550903558731,0.2539779245853424,0.3322303593158722,0.11949539929628372,-0.015920007601380348,0.17022724449634552,-0.0777229517698288
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.269391804933548,0.29216358065605164,0.2678719460964203,0.31091248989105225
and,0.43859338760375977,0.3740963041782379,0.5171257257461548,0.28653737902641296,0.2638216018676758,0.24183952808380127,0.20544172823429108
