,when,was,the,scottish,constitutional,convention,held,?
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.16512006521224976,0.278969407081604,0.22991126775741577,0.3127288818359375,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.21724988520145416,0.2926941215991974,0.2588678300380707,0.32185450196266174,0.22068053483963013
aftermath,0.1969868540763855,0.2607690393924713,0.24227569997310638,0.04567313566803932,0.13940513134002686,0.2200724482536316,0.19517745077610016,0.13848184049129486
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.1698460429906845,0.3563419580459595,0.2509908974170685,0.28960686922073364,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.21724988520145416,0.2926941215991974,0.2588678300380707,0.32185450196266174,0.22068053483963013
1979,0.20640838146209717,0.1920030564069748,0.3323744237422943,0.07792522013187408,0.14189769327640533,0.09857607632875443,0.08749958127737045,0.09159877151250839
referendum,0.17355266213417053,0.24151557683944702,0.2520652413368225,0.2995991110801697,0.5337522625923157,0.3086300492286682,0.25031667947769165,0.18056513369083405
defeat,0.1783166080713272,0.24067381024360657,0.3182816207408905,0.15573172271251678,0.1796317845582962,0.1553482711315155,0.2527284026145935,0.12980464100837708
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.21369139850139618,0.26596060395240784,0.2018413096666336,0.2880980372428894,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.21724988520145416,0.2926941215991974,0.2588678300380707,0.32185450196266174,0.22068053483963013
campaign,0.17663806676864624,0.2556212544441223,0.2755736708641052,0.14920072257518768,0.23146812617778778,0.3196084201335907,0.11219926178455353,0.162482351064682
for,0.43402108550071716,0.3863949179649353,0.4739971458911896,0.15676887333393097,0.23558230698108673,0.2988576889038086,0.2495253086090088,0.264628142118454
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.18544672429561615,0.2662247121334076,0.2370390146970749,0.22326228022575378,0.23916715383529663
scottish,0.12086563557386398,0.20229777693748474,0.21724988520145416,1.0000001192092896,0.17661277949810028,0.14133977890014648,0.14091922342777252,0.06442669779062271
assembly,0.16456151008605957,0.2233278602361679,0.2524827718734741,0.14503487944602966,0.45283031463623047,0.34798237681388855,0.24271728098392487,0.1488889455795288
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.20229777693748474,0.2571640908718109,0.21512652933597565,0.30231067538261414,0.18412111699581146
initiated,0.2526434063911438,0.2528574764728546,0.2882399260997772,0.09073032438755035,0.22039443254470825,0.26158955693244934,0.21627016365528107,0.16644564270973206
as,0.4437963366508484,0.3677520453929901,0.48381632566452026,0.185140922665596,0.2500109374523163,0.256980836391449,0.16727563738822937,0.27043893933296204
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.18544672429561615,0.2662247121334076,0.2370390146970749,0.22326228022575378,0.23916715383529663
pressure,0.3197888433933258,0.17634209990501404,0.28285476565361023,0.10553523898124695,0.1688784807920456,0.17117320001125336,0.11249072104692459,0.142023503780365
group,0.22595302760601044,0.1789962202310562,0.30795547366142273,0.16256479918956757,0.13260839879512787,0.21409524977207184,0.17762011289596558,0.13827809691429138
