,what,forced,the,cancellations,of,three,future,landings,?
after,0.21973377466201782,0.3619772791862488,0.4565047025680542,0.3415854871273041,0.3867455720901489,0.2759888768196106,0.19101321697235107,0.23240190744400024,0.16608688235282898
the,0.42745697498321533,0.2571122944355011,1.0,0.28884801268577576,0.733189046382904,0.43452659249305725,0.2337762415409088,0.26410871744155884,0.22068053483963013
first,0.28086137771606445,0.18772120773792267,0.49448907375335693,0.30247700214385986,0.3536086082458496,0.35148099064826965,0.28642943501472473,0.24364052712917328,0.18701928853988647
landing,0.17083740234375,0.20686382055282593,0.24055521190166473,0.30140048265457153,0.22376328706741333,0.1625450998544693,0.10382170230150223,0.8382740020751953,0.11133739352226257
",",0.3087472915649414,0.2527396082878113,0.4933079481124878,0.2275068461894989,0.4946078956127167,0.3347506821155548,0.2609160840511322,0.2337561845779419,0.31091248989105225
sufficient,0.34977179765701294,0.20134127140045166,0.27501294016838074,0.27500513195991516,0.23525285720825195,0.2150643914937973,0.1910848766565323,0.2362891286611557,0.2950035035610199
flight,0.17794598639011383,0.11953374743461609,0.2498224973678589,0.2686959505081177,0.2070007622241974,0.15173140168190002,0.1201217845082283,0.42789125442504883,0.20568472146987915
hardware,0.23985160887241364,0.10929524898529053,0.1593177616596222,0.21941573917865753,0.15999795496463776,0.1210048645734787,0.17680670320987701,0.21389812231063843,0.18230316042900085
remained,0.1733817607164383,0.3337867259979248,0.3492392301559448,0.22071444988250732,0.35287612676620483,0.2785814702510834,0.13582323491573334,0.16793666779994965,0.08263323456048965
for,0.3017193675041199,0.19555193185806274,0.4739971458911896,0.31449252367019653,0.4185989499092102,0.3032672107219696,0.2983153760433197,0.18831613659858704,0.264628142118454
nine,0.11931172013282776,0.14328789710998535,0.33253175020217896,0.24947528541088104,0.29486238956451416,0.6050775647163391,0.1073831096291542,0.15737850964069366,0.13964155316352844
follow-on,0.32421237230300903,0.18128038942813873,0.38586804270744324,0.3187275230884552,0.33706822991371155,0.28533080220222473,0.25086987018585205,0.15668492019176483,0.22073350846767426
landings,0.16291393339633942,0.209560364484787,0.26410871744155884,0.34595227241516113,0.2141752690076828,0.18228575587272644,0.16147960722446442,1.0,0.09511345624923706
with,0.2464839518070221,0.20199844241142273,0.4223487675189972,0.21862374246120453,0.41827285289764404,0.35964319109916687,0.24820348620414734,0.18177013099193573,0.2433311939239502
a,0.3320399522781372,0.23652443289756775,0.5829201340675354,0.2125120460987091,0.5052502155303955,0.3025658130645752,0.16284751892089844,0.1933601200580597,0.23916715383529663
plan,0.2947953939437866,0.2619500756263733,0.2852855324745178,0.2087048441171646,0.2742128372192383,0.20880171656608582,0.2907547652721405,0.2675446569919586,0.1961054503917694
for,0.3017193675041199,0.19555193185806274,0.4739971458911896,0.31449252367019653,0.4185989499092102,0.3032672107219696,0.2983153760433197,0.18831613659858704,0.264628142118454
extended,0.20863614976406097,0.19971002638339996,0.3160722553730011,0.220957949757576,0.2843494713306427,0.24844151735305786,0.2526690363883972,0.14196671545505524,0.17568568885326385
lunar,0.18274477124214172,0.1765424907207489,0.23309995234012604,0.26855167746543884,0.204553484916687,0.15025918185710907,0.2183401882648468,0.37909135222435,0.1628302037715912
