,is,the,output,of,a,functional,problem,typically,characterized,by,a,simple,or,complex,answer,?
a,0.658733606338501,0.5829201340675354,0.17850732803344727,0.5052502155303955,1.0,0.27382412552833557,0.2605542540550232,0.37909039855003357,0.3205097019672394,0.32094135880470276,1.0,0.34160614013671875,0.48853766918182373,0.26552852988243103,0.2724393308162689,0.23916715383529663
function,0.17586156725883484,0.2037137746810913,0.3839699625968933,0.16667552292346954,0.20934805274009705,0.7888569831848145,0.33479827642440796,0.29792386293411255,0.20269837975502014,0.09740752726793289,0.20934805274009705,0.25048699975013733,0.3191862404346466,0.30114975571632385,0.27950671315193176,0.20672395825386047
problem,0.23238427937030792,0.24928659200668335,0.24181972444057465,0.20464475452899933,0.2605542540550232,0.28200405836105347,1.0,0.2080833911895752,0.21800804138183594,0.2011435180902481,0.2605542540550232,0.42500850558280945,0.29821720719337463,0.33565452694892883,0.4718674123287201,0.3762950301170349
is,1.0,0.5823672413825989,0.2423316091299057,0.4854315221309662,0.658733606338501,0.2310919463634491,0.23238427937030792,0.3483496606349945,0.26732131838798523,0.3899846076965332,0.658733606338501,0.29377081990242004,0.41870999336242676,0.2723233699798584,0.21693027019500732,0.22961433231830597
a,0.658733606338501,0.5829201340675354,0.17850732803344727,0.5052502155303955,1.0,0.27382412552833557,0.2605542540550232,0.37909039855003357,0.3205097019672394,0.32094135880470276,1.0,0.34160614013671875,0.48853766918182373,0.26552852988243103,0.2724393308162689,0.23916715383529663
computational,0.2470806986093521,0.18477948009967804,0.39832913875579834,0.2832651138305664,0.29858994483947754,0.4914531111717224,0.41473615169525146,0.3454716205596924,0.314226359128952,0.2209896296262741,0.29858994483947754,0.35110244154930115,0.30224916338920593,0.3927234411239624,0.4019113779067993,0.21617397665977478
problem,0.23238427937030792,0.24928659200668335,0.24181972444057465,0.20464475452899933,0.2605542540550232,0.28200405836105347,1.0,0.2080833911895752,0.21800804138183594,0.2011435180902481,0.2605542540550232,0.42500850558280945,0.29821720719337463,0.33565452694892883,0.4718674123287201,0.3762950301170349
where,0.3586711287498474,0.5003893971443176,0.22760836780071259,0.38066378235816956,0.40997210144996643,0.22155733406543732,0.291713684797287,0.32960572838783264,0.24032677710056305,0.2641284465789795,0.40997210144996643,0.2890395522117615,0.3651050925254822,0.27347394824028015,0.2929079830646515,0.24793872237205505
a,0.658733606338501,0.5829201340675354,0.17850732803344727,0.5052502155303955,1.0,0.27382412552833557,0.2605542540550232,0.37909039855003357,0.3205097019672394,0.32094135880470276,1.0,0.34160614013671875,0.48853766918182373,0.26552852988243103,0.2724393308162689,0.23916715383529663
single,0.27151715755462646,0.29338565468788147,0.21328295767307281,0.22455744445323944,0.3884310722351074,0.2257939875125885,0.14734309911727905,0.3154856264591217,0.18912585079669952,0.2381400614976883,0.3884310722351074,0.2696351408958435,0.3195759057998657,0.1799142062664032,0.17603889107704163,0.2151121199131012
output,0.2423316091299057,0.22049929201602936,0.9999999403953552,0.15243679285049438,0.17850732803344727,0.34041911363601685,0.24181972444057465,0.37929031252861023,0.15203037858009338,0.1993098258972168,0.17850732803344727,0.3190861940383911,0.2887789011001587,0.27202993631362915,0.2856975793838501,0.16760045289993286
(,0.35393038392066956,0.33289089798927307,0.18807610869407654,0.35032153129577637,0.3206180930137634,0.2134980857372284,0.1944350153207779,0.11914245039224625,0.14028404653072357,0.20696312189102173,0.3206180930137634,0.20353998243808746,0.3582012951374054,0.18859760463237762,0.22852417826652527,0.40561532974243164
of,0.4854315221309662,0.733189046382904,0.15243679285049438,1.0,0.5052502155303955,0.2812688946723938,0.20464475452899933,0.28964799642562866,0.30984818935394287,0.3646814823150635,0.5052502155303955,0.23205730319023132,0.3792596757411957,0.24271073937416077,0.17047110199928284,0.1826142966747284
a,0.658733606338501,0.5829201340675354,0.17850732803344727,0.5052502155303955,1.0,0.27382412552833557,0.2605542540550232,0.37909039855003357,0.3205097019672394,0.32094135880470276,1.0,0.34160614013671875,0.48853766918182373,0.26552852988243103,0.2724393308162689,0.23916715383529663
total,0.18159881234169006,0.27068960666656494,0.23356255888938904,0.29045331478118896,0.20922091603279114,0.14349015057086945,0.12327253073453903,0.15424348413944244,0.11449255794286728,0.20661480724811554,0.20922091603279114,0.1681164801120758,0.1965118944644928,0.11791213601827621,0.16264081001281738,0.14396025240421295
function,0.17586156725883484,0.2037137746810913,0.3839699625968933,0.16667552292346954,0.20934805274009705,0.7888569831848145,0.33479827642440796,0.29792386293411255,0.20269837975502014,0.09740752726793289,0.20934805274009705,0.25048699975013733,0.3191862404346466,0.30114975571632385,0.27950671315193176,0.20672395825386047
),0.37732169032096863,0.3456730246543884,0.19735705852508545,0.3680361211299896,0.3640355169773102,0.20641499757766724,0.20261481404304504,0.14504045248031616,0.12161049991846085,0.2151763141155243,0.3640355169773102,0.23871737718582153,0.3706604242324829,0.19095344841480255,0.24098807573318481,0.42300865054130554
is,1.0,0.5823672413825989,0.2423316091299057,0.4854315221309662,0.658733606338501,0.2310919463634491,0.23238427937030792,0.3483496606349945,0.26732131838798523,0.3899846076965332,0.658733606338501,0.29377081990242004,0.41870999336242676,0.2723233699798584,0.21693027019500732,0.22961433231830597
expected,0.20087631046772003,0.3108554780483246,0.3481872081756592,0.26944905519485474,0.309760719537735,0.24397899210453033,0.26637083292007446,0.3354473412036896,0.3008860647678375,0.24308913946151733,0.309760719537735,0.24966198205947876,0.281390905380249,0.1614118367433548,0.29843026399612427,0.19474582374095917
for,0.43268078565597534,0.4739971458911896,0.23403237760066986,0.4185989499092102,0.44038116931915283,0.3034451901912689,0.2661307752132416,0.3479194939136505,0.21406006813049316,0.3248702883720398,0.44038116931915283,0.32954689860343933,0.4111599624156952,0.24154409766197205,0.26086002588272095,0.264628142118454
every,0.3428492546081543,0.4023689329624176,0.22093306481838226,0.3414052724838257,0.43930745124816895,0.23872804641723633,0.2754577696323395,0.363711953163147,0.14581893384456635,0.2466849684715271,0.43930745124816895,0.3488060235977173,0.3368972837924957,0.2283376306295395,0.27683448791503906,0.24066033959388733
