,when,was,dali,conquered,by,the,yuan,?
following,0.3263498842716217,0.16493390500545502,0.10070100426673889,0.157836452126503,0.25132864713668823,0.39779382944107056,0.1794196367263794,0.1555173695087433
the,0.5091903209686279,0.48711544275283813,0.20690304040908813,0.3127642273902893,0.4408751428127289,1.0,0.2548272907733917,0.22068053483963013
conquest,0.1689836084842682,0.26261669397354126,0.18795663118362427,0.7237659692764282,0.22859755158424377,0.3181619346141815,0.23352813720703125,0.12928934395313263
of,0.3757161796092987,0.4069072902202606,0.1522584855556488,0.30313581228256226,0.3646814823150635,0.733189046382904,0.22696353495121002,0.1826142966747284
dali,0.06208185479044914,0.16410447657108307,0.9999999403953552,0.2304634153842926,0.1670083850622177,0.20690304040908813,0.33024662733078003,0.14126235246658325
in,0.4431333839893341,0.45514053106307983,0.14021950960159302,0.287716805934906,0.370934396982193,0.6662389636039734,0.14850552380084991,0.20430970191955566
1253,0.10971884429454803,0.15019512176513672,0.2943256199359894,0.15688706934452057,0.15100859105587006,0.16988642513751984,0.25913703441619873,0.30437615513801575
",",0.36674630641937256,0.45456063747406006,0.23382149636745453,0.2528323531150818,0.3680937886238098,0.4933079481124878,0.20958951115608215,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,0.20690304040908813,0.3127642273902893,0.4408751428127289,1.0,0.2548272907733917,0.22068053483963013
former,0.1756535917520523,0.2544213533401489,0.0984981432557106,0.15440984070301056,0.18490687012672424,0.2251449078321457,0.10199175775051117,0.10570605844259262
ruling,0.21748046576976776,0.2731495797634125,0.17531085014343262,0.3938806653022766,0.15124738216400146,0.31106188893318176,0.2610870897769928,0.18874719738960266
duan,0.12536568939685822,0.1861772984266281,0.3931393027305603,0.2558477520942688,0.18064023554325104,0.19379356503486633,0.6358081698417664,0.18900729715824127
dynasty,0.16945278644561768,0.24324211478233337,0.2801097333431244,0.4685252904891968,0.198152095079422,0.26267939805984497,0.49336904287338257,0.15884074568748474
were,0.29649975895881653,0.590133786201477,0.15453563630580902,0.3389958441257477,0.4406847059726715,0.3906462490558624,0.19657303392887115,0.17890112102031708
appointed,0.19494225084781647,0.33569878339767456,0.07241526991128922,0.32538846135139465,0.24135704338550568,0.2626524269580841,0.24567489326000214,0.13895352184772491
as,0.4437963366508484,0.3677520453929901,0.1567666381597519,0.18793179094791412,0.3815547823905945,0.48381632566452026,0.2132488638162613,0.27043893933296204
governors-general,0.19547249376773834,0.26570454239845276,0.16170915961265564,0.372308611869812,0.2391282618045807,0.30568984150886536,0.297929048538208,0.18440087139606476
",",0.36674630641937256,0.45456063747406006,0.23382149636745453,0.2528323531150818,0.3680937886238098,0.4933079481124878,0.20958951115608215,0.31091248989105225
recognized,0.23541972041130066,0.23980659246444702,0.12280666828155518,0.25706392526626587,0.2992893159389496,0.31571096181869507,0.09048353135585785,0.18558090925216675
as,0.4437963366508484,0.3677520453929901,0.1567666381597519,0.18793179094791412,0.3815547823905945,0.48381632566452026,0.2132488638162613,0.27043893933296204
imperial,0.19296634197235107,0.2417704313993454,0.16953332722187042,0.23261494934558868,0.21118007600307465,0.3074202835559845,0.3571368157863617,0.10900196433067322
officials,0.278388649225235,0.34914183616638184,0.13670983910560608,0.2411957085132599,0.2918585240840912,0.36026763916015625,0.21243837475776672,0.1505519449710846
by,0.4376842677593231,0.4752357602119446,0.1670083850622177,0.2664005160331726,1.0000001192092896,0.4408751428127289,0.19831176102161407,0.17966607213020325
the,0.5091903209686279,0.48711544275283813,0.20690304040908813,0.3127642273902893,0.4408751428127289,1.0,0.2548272907733917,0.22068053483963013
yuan,0.14659123122692108,0.19482262432575226,0.33024662733078003,0.29829373955726624,0.19831176102161407,0.2548272907733917,1.0,0.12871281802654266
",",0.36674630641937256,0.45456063747406006,0.23382149636745453,0.2528323531150818,0.3680937886238098,0.4933079481124878,0.20958951115608215,0.31091248989105225
ming,0.22444620728492737,0.22682173550128937,0.35324713587760925,0.40245863795280457,0.22125616669654846,0.26838383078575134,0.5621496438980103,0.12298163771629333
",",0.36674630641937256,0.45456063747406006,0.23382149636745453,0.2528323531150818,0.3680937886238098,0.4933079481124878,0.20958951115608215,0.31091248989105225
and,0.4716290831565857,0.3740963041782379,0.18911415338516235,0.28165748715400696,0.4289871156215668,0.5171257257461548,0.22359056770801544,0.20544172823429108
qing-era,0.17162375152111053,0.2558760643005371,0.507871150970459,0.4057381749153137,0.20304103195667267,0.3373005986213684,0.5859076976776123,0.2095525711774826
governments,0.2359263300895691,0.25224968791007996,0.1048511490225792,0.26955142617225647,0.25543296337127686,0.2835306227207184,0.2790682911872864,0.18805137276649475
",",0.36674630641937256,0.45456063747406006,0.23382149636745453,0.2528323531150818,0.3680937886238098,0.4933079481124878,0.20958951115608215,0.31091248989105225
