,who,wrote,the,poem,the,mark,of,anarchy,?
following,0.1758657693862915,0.06319846957921982,0.39779382944107056,0.15189909934997559,0.39779382944107056,0.16630525887012482,0.3576679527759552,0.23013724386692047,0.1555173695087433
the,0.3733934462070465,0.2426944375038147,1.0,0.22930538654327393,1.0,0.2235521525144577,0.733189046382904,0.18858380615711212,0.22068053483963013
peterloo,0.2209503948688507,0.18819038569927216,0.35128697752952576,0.2281935065984726,0.35128697752952576,0.1748233139514923,0.3140549957752228,0.32298794388771057,0.19034317135810852
massacre,0.1778378039598465,0.19730037450790405,0.23870180547237396,0.16608476638793945,0.23870180547237396,0.12114427983760834,0.20526865124702454,0.19427885115146637,0.17941462993621826
of,0.2827862501144409,0.30241408944129944,0.733189046382904,0.2282063513994217,0.733189046382904,0.16461719572544098,1.0,0.19957754015922546,0.1826142966747284
1819,-0.0796065703034401,0.04974767193198204,-0.16549162566661835,-0.013834706507623196,-0.16549162566661835,-0.08274830877780914,-0.16544584929943085,0.04750843718647957,0.11997729539871216
",",0.3365725874900818,0.27225261926651,0.4933079481124878,0.15003186464309692,0.4933079481124878,0.2642361521720886,0.4946078956127167,0.20300085842609406,0.31091248989105225
poet,0.2789231538772583,0.40876615047454834,0.14614954590797424,0.6045802235603333,0.14614954590797424,0.13067646324634552,0.1686325967311859,0.17459262907505035,0.16892145574092865
percy,0.2554614841938019,0.19175748527050018,0.24403482675552368,0.2046608179807663,0.24403482675552368,0.1767747849225998,0.19737383723258972,0.07709474861621857,0.13365407288074493
shelley,0.28546571731567383,0.2832065522670746,0.19734613597393036,0.26259467005729675,0.19734613597393036,0.25862371921539307,0.15595409274101257,0.1891411691904068,0.16777275502681732
wrote,0.2670581638813019,0.9999999403953552,0.2426944375038147,0.47295135259628296,0.2426944375038147,0.14824353158473969,0.30241408944129944,0.2298762947320938,0.19322504103183746
the,0.3733934462070465,0.2426944375038147,1.0,0.22930538654327393,1.0,0.2235521525144577,0.733189046382904,0.18858380615711212,0.22068053483963013
