,what,type,of,architecture,is,represented,in,the,majestic,churches,?
gothic,0.19246235489845276,0.20049333572387695,0.24052086472511292,0.5176064968109131,0.23672030866146088,0.07850285619497299,0.28628116846084595,0.2610613703727722,0.24791283905506134,0.4892963469028473,0.16695094108581543
architecture,0.23286667466163635,0.12609367072582245,0.2756515443325043,1.0,0.19717231392860413,0.16113609075546265,0.2624244689941406,0.24488379061222076,0.15937991440296173,0.368740051984787,0.14343059062957764
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.19717231392860413,1.0,0.30249524116516113,0.5394441485404968,0.5823672413825989,0.17697210609912872,0.20715926587581635,0.22961433231830597
represented,0.139044851064682,0.12405950576066971,0.3891753554344177,0.16113609075546265,0.30249524116516113,0.9999999403953552,0.33309870958328247,0.3256146013736725,0.15324357151985168,0.16543325781822205,0.11276352405548096
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2624244689941406,0.5394441485404968,0.33309870958328247,1.0,0.6662389636039734,0.2591715455055237,0.2825169265270233,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24488379061222076,0.5823672413825989,0.3256146013736725,0.6662389636039734,1.0,0.18259964883327484,0.2626241147518158,0.22068053483963013
majestic,0.15028998255729675,0.10873949527740479,0.18201495707035065,0.15937991440296173,0.17697210609912872,0.15324357151985168,0.2591715455055237,0.18259964883327484,0.9999999403953552,0.17314346134662628,0.14929744601249695
churches,0.17877253890037537,0.10238692164421082,0.29080384969711304,0.368740051984787,0.20715926587581635,0.16543325781822205,0.2825169265270233,0.2626241147518158,0.17314346134662628,1.0000001192092896,0.19824735820293427
but,0.5029441118240356,0.24026720225811005,0.39942997694015503,0.22557012736797333,0.4106791317462921,0.1838296353816986,0.48674455285072327,0.4859698414802551,0.1682465821504593,0.25438255071640015,0.27921953797340393
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.20798368752002716,0.5012649297714233,0.27612221240997314,0.5073733329772949,0.6021018624305725,0.24020540714263916,0.24361974000930786,0.21848613023757935
at,0.2838611304759979,0.15147243440151215,0.42558613419532776,0.2252577841281891,0.25906258821487427,0.22037383913993835,0.4374977946281433,0.457212895154953,0.17689932882785797,0.1329708844423294,0.21978627145290375
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24488379061222076,0.5823672413825989,0.3256146013736725,0.6662389636039734,1.0,0.18259964883327484,0.2626241147518158,0.22068053483963013
burgher,0.20771606266498566,0.18358588218688965,0.3018014430999756,0.20151640474796295,0.25415387749671936,0.1718716323375702,0.2650670111179352,0.325812965631485,0.21719147264957428,0.29243892431259155,0.20694021880626678
houses,0.1434021294116974,0.12099999934434891,0.2718559205532074,0.36403343081474304,0.1995694637298584,0.1815989911556244,0.2622964382171631,0.2692612111568451,0.18297961354255676,0.3925725817680359,0.10120081901550293
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2369556725025177,0.3859752118587494,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.2593190371990204,0.27674582600593567,0.20544172823429108
fortifications,0.15912862122058868,0.1556313931941986,0.2860375940799713,0.3368179500102997,0.17566050589084625,0.1065022200345993,0.2783116400241852,0.30307114124298096,0.1518072634935379,0.4224296808242798,0.14940692484378815
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.21623484790325165,0.4569662809371948,0.26645728945732117,0.5591574311256409,0.5934505462646484,0.18671885132789612,0.28599661588668823,0.4130953550338745
