,what,has,an,equivalence,between,mass,and,space-time,?
however,0.4480680823326111,0.3999234735965729,0.2464427500963211,0.28129565715789795,0.33343490958213806,0.2421921342611313,0.498121976852417,0.2626960575580597,0.2152075469493866
",",0.3087472915649414,0.3734780251979828,0.3581022024154663,0.2843253016471863,0.27714940905570984,0.2439754158258438,0.6633074283599854,0.2780849039554596,0.31091248989105225
while,0.35511791706085205,0.2546449601650238,0.23181851208209991,0.19540750980377197,0.28243371844291687,0.14153893291950226,0.45699796080589294,0.21759381890296936,0.21076419949531555
kinematics,0.28283601999282837,0.20999132096767426,0.20732621848583221,0.4540048837661743,0.20793600380420685,0.24441197514533997,0.24199770390987396,0.33849549293518066,0.17986103892326355
are,0.29724663496017456,0.4313911199569702,0.1556541919708252,0.30341655015945435,0.2766000032424927,0.19478152692317963,0.48576638102531433,0.2395881861448288,0.24591213464736938
well-described,0.2363564521074295,0.28663894534111023,0.286541223526001,0.30294883251190186,0.2512543201446533,0.21064041554927826,0.35519158840179443,0.2539665699005127,0.1868298202753067
through,0.23167094588279724,0.3215855658054352,0.208332821726799,0.16072475910186768,0.3930896520614624,0.17337507009506226,0.3666759729385376,0.2635307312011719,0.16913433372974396
reference,0.27632904052734375,0.17213138937950134,0.18580497801303864,0.391493558883667,0.15526077151298523,0.16380451619625092,0.21395881474018097,0.2449759691953659,0.2950310707092285
frame,0.21280157566070557,0.15434147417545319,0.13257421553134918,0.23611268401145935,0.14692778885364532,0.2096143662929535,0.20931656658649445,0.3084733486175537,0.16998548805713654
analysis,0.2842639982700348,0.20760852098464966,0.18154343962669373,0.3302188813686371,0.1417301595211029,0.19934290647506714,0.23574496805667877,0.2450496256351471,0.15352053940296173
in,0.30808621644973755,0.4173259735107422,0.2605783939361572,0.27303674817085266,0.41100412607192993,0.1766357719898224,0.4954058527946472,0.23940345644950867,0.20430970191955566
advanced,0.1988004893064499,0.13516618311405182,0.16886210441589355,0.20072266459465027,0.10577252507209778,0.08817015588283539,0.23157277703285217,0.1903233528137207,0.1806638389825821
physics,0.26464056968688965,0.17543470859527588,0.1519070416688919,0.32157617807388306,0.14204157888889313,0.24329017102718353,0.14552804827690125,0.3105238080024719,0.1470423936843872
",",0.3087472915649414,0.3734780251979828,0.3581022024154663,0.2843253016471863,0.27714940905570984,0.2439754158258438,0.6633074283599854,0.2780849039554596,0.31091248989105225
there,0.35085538029670715,0.42909398674964905,0.22476400434970856,0.24942025542259216,0.37209540605545044,0.22183279693126678,0.4242868423461914,0.25757527351379395,0.29405656456947327
are,0.29724663496017456,0.4313911199569702,0.1556541919708252,0.30341655015945435,0.2766000032424927,0.19478152692317963,0.48576638102531433,0.2395881861448288,0.24591213464736938
still,0.4548931419849396,0.2830006182193756,0.20023715496063232,0.17913702130317688,0.22431471943855286,0.17721547186374664,0.37647393345832825,0.21833284199237823,0.3039587736129761
deep,0.2200533002614975,0.2240382730960846,0.13761287927627563,0.13032402098178864,0.2249487191438675,0.07674147188663483,0.29221034049987793,0.27331894636154175,0.1765073984861374
questions,0.4857400059700012,0.19902090728282928,0.2066657394170761,0.286237895488739,0.16820693016052246,0.11369793862104416,0.242636039853096,0.3105355203151703,0.42967134714126587
that,0.6297725439071655,0.41272613406181335,0.365763783454895,0.32734692096710205,0.299440860748291,0.2827543616294861,0.4731321930885315,0.3145514130592346,0.32716336846351624
remain,0.29587244987487793,0.2008022665977478,0.10278104990720749,0.16504353284835815,0.18503962457180023,0.1603338122367859,0.28385093808174133,0.16699860990047455,0.1868363618850708
as,0.31749409437179565,0.351646363735199,0.37218472361564636,0.2761746048927307,0.22009976208209991,0.20994383096694946,0.49487000703811646,0.2553038001060486,0.27043893933296204
to,0.455847829580307,0.3619994819164276,0.3138085603713989,0.2718797028064728,0.3639189600944519,0.20907121896743774,0.48971283435821533,0.3071770966053009,0.29463258385658264
what,0.9999998807907104,0.20338068902492523,0.2821882665157318,0.24512086808681488,0.2462156116962433,0.23905135691165924,0.31309178471565247,0.26121973991394043,0.5051238536834717
is,0.28837618231773376,0.5668748617172241,0.4654068350791931,0.3425457179546356,0.26809602975845337,0.21063528954982758,0.3859752118587494,0.24063287675380707,0.22961433231830597
the,0.42745697498321533,0.4177538752555847,0.4207492768764496,0.28947168588638306,0.39067012071609497,0.2284930944442749,0.5171257257461548,0.26777881383895874,0.22068053483963013
proper,0.3295817971229553,0.22079569101333618,0.231977179646492,0.33768901228904724,0.18529124557971954,0.23034092783927917,0.2846415042877197,0.24166688323020935,0.2291053831577301
definition,0.330344021320343,0.2356703132390976,0.21560780704021454,0.4646453261375427,0.24731212854385376,0.2770869731903076,0.1981266289949417,0.26807329058647156,0.2796523869037628
of,0.33290785551071167,0.3909035325050354,0.32280945777893066,0.32932543754577637,0.3737983703613281,0.26915112137794495,0.5116966962814331,0.19733013212680817,0.1826142966747284
mass,0.23905135691165924,0.22626645863056183,0.20003743469715118,0.3488351106643677,0.18303394317626953,1.0000001192092896,0.21843883395195007,0.26841285824775696,0.2076406031847
.,0.3567904531955719,0.4105546176433563,0.3581749200820923,0.28237393498420715,0.30295518040657043,0.25224974751472473,0.588965117931366,0.297957181930542,0.4130953550338745
