,what,will,cause,the,lake,near,the,rhine,to,silt,up,?
it,0.45803478360176086,0.33041369915008545,0.26461511850357056,0.6251175999641418,0.21701118350028992,0.27285236120224,0.6251175999641418,0.17693428695201874,0.513711154460907,0.34732839465141296,0.36426842212677,0.25732165575027466
is,0.28837618231773376,0.3723262846469879,0.218277707695961,0.5823672413825989,0.22300897538661957,0.25453904271125793,0.5823672413825989,0.15617261826992035,0.42745086550712585,0.2645004689693451,0.2853454053401947,0.22961433231830597
expected,0.3720298707485199,0.5220105051994324,0.3341846764087677,0.3108554780483246,0.1292901188135147,0.16976220905780792,0.3108554780483246,0.10448461025953293,0.42255479097366333,0.2297191023826599,0.23642142117023468,0.19474582374095917
that,0.6297725439071655,0.4857470989227295,0.40003344416618347,0.5473989248275757,0.22043050825595856,0.1848522126674652,0.5473989248275757,0.16362759470939636,0.5436353087425232,0.3423335552215576,0.35427621006965637,0.32716336846351624
the,0.42745697498321533,0.3635469079017639,0.2551237642765045,1.0,0.24325428903102875,0.2879819869995117,1.0,0.30735138058662415,0.535392165184021,0.3025934100151062,0.38423117995262146,0.22068053483963013
continuous,0.24768517911434174,0.25252896547317505,0.20520846545696259,0.2679058313369751,0.1515883505344391,0.1859949827194214,0.2679058313369751,0.17799653112888336,0.24047334492206573,0.3223922848701477,0.19953487813472748,0.10320229828357697
input,0.2844698429107666,0.32633495330810547,0.1959560066461563,0.19928309321403503,0.10445355623960495,0.03116123378276825,0.19928309321403503,0.12004002928733826,0.25947481393814087,0.19753120839595795,0.19225764274597168,0.24861721694469452
of,0.33290785551071167,0.2473582625389099,0.25979894399642944,0.733189046382904,0.23993153870105743,0.2651676535606384,0.733189046382904,0.2548927664756775,0.41548454761505127,0.3080102801322937,0.32945773005485535,0.1826142966747284
sediment,0.19542910158634186,0.16020527482032776,0.24870271980762482,0.2451712042093277,0.36609703302383423,0.19715461134910583,0.2451712042093277,0.23805704712867737,0.19675683975219727,0.6332283020019531,0.2247672975063324,0.14870919287204742
into,0.2180619090795517,0.24027608335018158,0.25272825360298157,0.39493247866630554,0.1555050164461136,0.27234160900115967,0.39493247866630554,0.1991104632616043,0.38810545206069946,0.28985291719436646,0.38173696398735046,0.15662476420402527
the,0.42745697498321533,0.3635469079017639,0.2551237642765045,1.0,0.24325428903102875,0.2879819869995117,1.0,0.30735138058662415,0.535392165184021,0.3025934100151062,0.38423117995262146,0.22068053483963013
lake,0.17778855562210083,0.155476376414299,0.12933865189552307,0.24325428903102875,1.0000001192092896,0.30304625630378723,0.24325428903102875,0.22246339917182922,0.16680742800235748,0.3546181917190552,0.16002324223518372,0.07226386666297913
will,0.3510494530200958,1.0,0.4028778076171875,0.3635469079017639,0.155476376414299,0.1786363124847412,0.3635469079017639,0.17326505482196808,0.5091033577919006,0.2237042933702469,0.3349364995956421,0.35046905279159546
silt,0.27059248089790344,0.2237042933702469,0.2521425485610962,0.3025934100151062,0.3546181917190552,0.2920478880405426,0.3025934100151062,0.2833569645881653,0.2512316405773163,0.9999999403953552,0.28897589445114136,0.1718454360961914
