,what,is,the,weather,type,of,mallee,and,upper,wimmera,?
the,0.42745697498321533,0.5823672413825989,1.0,0.28776681423187256,0.21819381415843964,0.733189046382904,0.2922059893608093,0.5171257257461548,0.35289278626441956,0.2619563341140747,0.22068053483963013
mallee,0.1400732547044754,0.29127639532089233,0.2922059893608093,0.2246541827917099,0.18563266098499298,0.2815718352794647,0.9999999403953552,0.2991047203540802,0.33166876435279846,0.4469400644302368,0.12459731847047806
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.26406481862068176,0.16898801922798157,0.5116966962814331,0.2991047203540802,1.0,0.2172592729330063,0.25405123829841614,0.20544172823429108
upper,0.1592642068862915,0.2177516371011734,0.35289278626441956,0.1959468424320221,0.18142777681350708,0.25818127393722534,0.33166876435279846,0.2172592729330063,1.0000001192092896,0.2838875353336334,0.051342256367206573
wimmera,0.1424316018819809,0.26654693484306335,0.2619563341140747,0.20016446709632874,0.20865780115127563,0.21179942786693573,0.4469400644302368,0.25405123829841614,0.2838875353336334,1.0,0.11529195308685303
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.2277640551328659,0.24155041575431824,0.39081433415412903,0.27964475750923157,0.48576638102531433,0.17645308375358582,0.20226183533668518,0.24591213464736938
victoria,0.1194850504398346,0.1633591204881668,0.2204313427209854,0.16043217480182648,0.1476583331823349,0.2505437433719635,0.4051763713359833,0.24507255852222443,0.16026294231414795,0.41858336329460144,0.12246892601251602
's,0.02692362666130066,0.02396530658006668,-0.01540423184633255,0.06800852715969086,0.05257158726453781,-0.03817026689648628,0.03748954087495804,0.06895173341035843,0.01445639319717884,0.09057238698005676,-0.023395681753754616
warmest,0.18944677710533142,0.2998965382575989,0.2853047251701355,0.4222817122936249,0.14964713156223297,0.23510541021823883,0.2664737403392792,0.19837617874145508,0.22965863347053528,0.34368494153022766,0.2294316589832306
regions,0.22129066288471222,0.28507089614868164,0.36158451437950134,0.21716681122779846,0.21590079367160797,0.3694140613079071,0.24568995833396912,0.30318012833595276,0.25113677978515625,0.1840769350528717,0.11608363687992096
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.17166398465633392,0.1964726597070694,0.41827285289764404,0.2108943611383438,0.5477725267410278,0.1428503692150116,0.23229028284549713,0.2433311939239502
hot,0.1852344572544098,0.23682232201099396,0.25422102212905884,0.3416762351989746,0.2360318899154663,0.18243882060050964,0.18347696959972382,0.26731717586517334,0.13916468620300293,0.2071622908115387,0.1789601445198059
winds,0.18654604256153107,0.2068391889333725,0.2427695244550705,0.4985576868057251,0.11227087676525116,0.21783238649368286,0.24516384303569794,0.2642352879047394,0.21069683134555817,0.1907760500907898,0.1398162990808487
blowing,0.2497945874929428,0.21292366087436676,0.29703277349472046,0.292487233877182,0.17661339044570923,0.22128114104270935,0.2771700620651245,0.2721571922302246,0.2414860874414444,0.20320725440979004,0.15225312113761902
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.23276649415493011,0.1559610366821289,0.4249346852302551,0.2105037122964859,0.3601827025413513,0.21286499500274658,0.13235889375209808,0.19969791173934937
nearby,0.13611137866973877,0.19478072226047516,0.2903098165988922,0.2528174817562103,0.12798413634300232,0.2392946183681488,0.33868324756622314,0.2869149148464203,0.2659287452697754,0.270423024892807,0.07977716624736786
semi-deserts,0.2421218454837799,0.31347963213920593,0.3648710548877716,0.36126574873924255,0.22908228635787964,0.30707812309265137,0.4397370517253876,0.3257910907268524,0.2735460698604584,0.379366010427475,0.18834102153778076
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2610253691673279,0.23195341229438782,0.5352458953857422,0.2614426612854004,0.588965117931366,0.23727275431156158,0.23145996034145355,0.4130953550338745
