,what,was,the,name,of,the,leader,through,the,great,depression,and,world,war,ii,?
following,0.2506418824195862,0.16493390500545502,0.39779382944107056,0.15635080635547638,0.3576679527759552,0.39779382944107056,0.1761302351951599,0.2740316092967987,0.39779382944107056,0.11536132544279099,0.12832820415496826,0.2696467339992523,0.2127237617969513,0.13808639347553253,0.1639295518398285,0.1555173695087433
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.27799519896507263,0.44071322679519653,1.0,0.2822027802467346,0.18764227628707886,0.5171257257461548,0.33604270219802856,0.366199791431427,0.2631464898586273,0.22068053483963013
american,0.1909721940755844,0.31632548570632935,0.24562937021255493,0.14227524399757385,0.22180068492889404,0.24562937021255493,0.22098705172538757,0.12300042062997818,0.24562937021255493,0.13104276359081268,0.15942177176475525,0.32290002703666687,0.2989591062068939,0.2592540383338928,0.22073259949684143,0.18877598643302917
civil,0.15091551840305328,0.24303317070007324,0.2477465271949768,0.11064217239618301,0.24698495864868164,0.2477465271949768,0.22019830346107483,0.11601976305246353,0.2477465271949768,0.16743291914463043,0.1441420167684555,0.25259146094322205,0.18816158175468445,0.5418448448181152,0.2269432097673416,0.1494513899087906
war,0.22516006231307983,0.3560331463813782,0.366199791431427,0.13651461899280548,0.31680163741111755,0.366199791431427,0.251504123210907,0.1426151841878891,0.366199791431427,0.2144670933485031,0.2642529606819153,0.29695844650268555,0.4748530089855194,1.0000001192092896,0.5286030769348145,0.15510529279708862
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.23893310129642487,0.3060276508331299,0.4933079481124878,0.29579275846481323,0.21292750537395477,0.6633074283599854,0.26091980934143066,0.2671184241771698,0.27159881591796875,0.31091248989105225
president,0.1870913952589035,0.2505730390548706,0.24330610036849976,0.15637782216072083,0.21610750257968903,0.24330610036849976,0.35102391242980957,0.156439870595932,0.24330610036849976,0.09505400061607361,0.21474198997020721,0.23286236822605133,0.16886696219444275,0.24631570279598236,0.1959492713212967,0.14148259162902832
charles,0.18606366217136383,0.28342804312705994,0.20777860283851624,0.12928123772144318,0.22512592375278473,0.20777860283851624,0.17546187341213226,0.11828521639108658,0.20777860283851624,0.14393721520900726,0.10279802978038788,0.23640480637550354,0.14879371225833893,0.2567916810512543,0.22827155888080597,0.17366734147071838
w.,-0.0846915990114212,-0.022806311026215553,0.007494001649320126,-0.06417346000671387,-0.0285952165722847,0.007494001649320126,-0.12708666920661926,0.017255298793315887,0.007494001649320126,-0.018048198893666267,-0.04588700458407402,-0.040408916771411896,-0.06213643401861191,-0.05718567222356796,-0.005139844957739115,-0.07353907823562622
eliot,0.20328496396541595,0.23139946162700653,0.15140269696712494,0.12035883963108063,0.16987493634223938,0.15140269696712494,0.14168959856033325,0.1194525882601738,0.15140269696712494,0.15039879083633423,0.11660362035036087,0.22553721070289612,0.13059906661510468,0.19375628232955933,0.1555994302034378,0.2153647243976593
