,what,was,luther,'s,force,within,the,reformation,?
by,0.2455483376979828,0.4752357602119446,0.15382802486419678,-0.010884488001465797,0.24997374415397644,0.28621017932891846,0.4408751428127289,0.1930273026227951,0.17966607213020325
working,0.2846863269805908,0.25099408626556396,0.11256544291973114,-0.0629357099533081,0.11831846833229065,0.1035315990447998,0.25857484340667725,0.1508445143699646,0.17154020071029663
alongside,0.154389888048172,0.186976358294487,0.11106456816196442,-0.04905509576201439,0.19503411650657654,0.2342679500579834,0.2475084811449051,0.10001307725906372,0.20579710602760315
the,0.42745697498321533,0.48711544275283813,0.1759674996137619,-0.01540423184633255,0.2800885736942291,0.39827480912208557,1.0,0.3290504217147827,0.22068053483963013
authorities,0.23251837491989136,0.2960662841796875,0.19037100672721863,0.029109153896570206,0.23963528871536255,0.309158056974411,0.2784515917301178,0.3660154342651367,0.17285770177841187
to,0.455847829580307,0.3636345863342285,0.18029534816741943,0.03782717138528824,0.24496492743492126,0.34980177879333496,0.535392165184021,0.27920275926589966,0.29463258385658264
restore,0.26890912652015686,0.2266969531774521,0.21512478590011597,0.0005254485877230763,0.23994186520576477,0.23613175749778748,0.3155142068862915,0.27398261427879333,0.22407253086566925
public,0.1729622185230255,0.2513592839241028,0.19837835431098938,0.060657959431409836,0.1827256679534912,0.22305725514888763,0.22857438027858734,0.21007069945335388,0.19872993230819702
order,0.16634008288383484,0.16897162795066833,0.15481990575790405,-0.07080218195915222,0.2133701890707016,0.22272643446922302,0.3284194767475128,0.2132800966501236,0.13725648820400238
",",0.3087472915649414,0.45456063747406006,0.23255878686904907,-0.0016132977325469255,0.22091743350028992,0.2513136863708496,0.4933079481124878,0.2554768919944763,0.31091248989105225
he,0.3114890456199646,0.5410010814666748,0.2454872578382492,0.024063590914011,0.21256574988365173,0.17190603911876678,0.4571082592010498,0.23759670555591583,0.2089974731206894
signalled,0.237753227353096,0.24125006794929504,0.15441161394119263,0.05082535371184349,0.2402854859828949,0.2519579231739044,0.37240996956825256,0.32011500000953674,0.08966104686260223
his,0.26976513862609863,0.4405253231525421,0.27093374729156494,0.047556519508361816,0.1886657476425171,0.18191580474376678,0.4394008219242096,0.25813475251197815,0.18075084686279297
reinvention,0.32908371090888977,0.30833157896995544,0.24345049262046814,-0.0057885656133294106,0.16271890699863434,0.1565956175327301,0.2867587208747864,0.2741827964782715,0.25989362597465515
as,0.31749409437179565,0.3677520453929901,0.20242992043495178,-0.05775856226682663,0.19216643273830414,0.2626299560070038,0.48381632566452026,0.2302391082048416,0.27043893933296204
a,0.3320399522781372,0.4508470594882965,0.17967689037322998,0.04866964742541313,0.2451154738664627,0.3858051896095276,0.5829201340675354,0.25626492500305176,0.23916715383529663
conservative,0.1886831820011139,0.23996923863887787,0.1731245219707489,0.01201924029737711,0.20181109011173248,0.14109459519386292,0.19218477606773376,0.31835365295410156,0.1597563922405243
force,0.16915984451770782,0.20879842340946198,0.05617312714457512,0.020782919600605965,1.0000001192092896,0.1941644549369812,0.2800885736942291,0.22769442200660706,0.1650998443365097
within,0.2498195916414261,0.19280311465263367,0.13910457491874695,-0.01527355331927538,0.1941644549369812,1.0,0.39827480912208557,0.31102022528648376,0.1870293766260147
the,0.42745697498321533,0.48711544275283813,0.1759674996137619,-0.01540423184633255,0.2800885736942291,0.39827480912208557,1.0,0.3290504217147827,0.22068053483963013
reformation,0.23052695393562317,0.29210031032562256,0.43711021542549133,0.012000528164207935,0.22769442200660706,0.31102022528648376,0.3290504217147827,1.0,0.14843040704727173
.,0.3567904531955719,0.40146201848983765,0.24907569587230682,-0.003708066651597619,0.2783275842666626,0.2984525263309479,0.5934505462646484,0.29916802048683167,0.4130953550338745
