,with,whom,are,teachers,required,to,register,?
teachers,0.17936164140701294,0.2711348235607147,0.2565288841724396,1.0,0.2004682421684265,0.2668606638908386,0.19366194307804108,0.19522249698638916
are,0.38996943831443787,0.17908456921577454,1.0,0.2565288841724396,0.30105841159820557,0.3504326641559601,0.23211896419525146,0.24591213464736938
required,0.27981439232826233,0.1277817189693451,0.30105841159820557,0.2004682421684265,1.0000001192092896,0.3613971471786499,0.29007795453071594,0.24962718784809113
to,0.4239959120750427,0.3108522593975067,0.3504326641559601,0.2668606638908386,0.3613971471786499,1.0,0.2528383135795593,0.29463258385658264
be,0.36101722717285156,0.21567033231258392,0.5556803941726685,0.20256873965263367,0.3677930235862732,0.4972836375236511,0.25457626581192017,0.3324260413646698
registered,0.15469864010810852,0.2599727213382721,0.2125171422958374,0.222023606300354,0.2894635796546936,0.2159089893102646,0.8081307411193848,0.24155336618423462
with,0.9999999403953552,0.3374587297439575,0.38996943831443787,0.17936164140701294,0.27981439232826233,0.4239959120750427,0.08248954266309738,0.2433311939239502
the,0.4223487675189972,0.23752936720848083,0.40399202704429626,0.22025763988494873,0.27848219871520996,0.535392165184021,0.21045131981372833,0.22068053483963013
teaching,0.17801906168460846,0.21853317320346832,0.23373855650424957,0.6562570333480835,0.18910564482212067,0.2762126624584198,0.17184394598007202,0.20424684882164001
council,0.10649243742227554,0.20361916720867157,0.1583584100008011,0.217071071267128,0.1782836765050888,0.23829470574855804,0.17481711506843567,0.1160062924027443
;,0.12944702804088593,0.07843722403049469,0.15315808355808258,-0.025261476635932922,0.1335560828447342,0.0979827418923378,-0.0005188500508666039,0.10349778085947037
under,0.2667143940925598,0.2538270652294159,0.2196284979581833,0.1150621846318245,0.23857872188091278,0.27177539467811584,0.15105411410331726,0.18233340978622437
section,0.18969540297985077,0.12466837465763092,0.2015407681465149,0.11297409236431122,0.2751210927963257,0.28596532344818115,0.21942853927612305,0.2733710706233978
30,0.15008366107940674,0.029633207246661186,0.08760164678096771,0.05683324858546257,-0.04526675119996071,0.06848903745412827,-0.0617574118077755,-0.08261742442846298
of,0.41827285289764404,0.2070929855108261,0.39081433415412903,0.27737662196159363,0.26183071732521057,0.41548454761505127,0.17440496385097504,0.1826142966747284
