,in,what,years,did,the,show,see,audiences,as,high,as,12,million,?
the,0.6662389636039734,0.42745697498321533,0.2912273406982422,0.34736719727516174,1.0,0.319829523563385,0.3770301640033722,0.30428367853164673,0.48381632566452026,0.28034812211990356,0.48381632566452026,0.28907760977745056,0.277012437582016,0.22068053483963013
second,0.34510284662246704,0.19948028028011322,0.24535776674747467,0.20727969706058502,0.4620301127433777,0.19166497886180878,0.2292553186416626,0.19777436554431915,0.25569814443588257,0.1929800659418106,0.25569814443588257,0.10490497201681137,0.2324155867099762,0.17239587008953094
was,0.45514053106307983,0.22111038863658905,0.35855233669281006,0.41399896144866943,0.48711544275283813,0.20142383873462677,0.17335832118988037,0.31036844849586487,0.3677520453929901,0.19978567957878113,0.3677520453929901,0.13560841977596283,0.24203833937644958,0.18412111699581146
the,0.6662389636039734,0.42745697498321533,0.2912273406982422,0.34736719727516174,1.0,0.319829523563385,0.3770301640033722,0.30428367853164673,0.48381632566452026,0.28034812211990356,0.48381632566452026,0.28907760977745056,0.277012437582016,0.22068053483963013
late,0.3439198434352875,0.1576872020959854,0.29015645384788513,0.27609187364578247,0.31481194496154785,0.296935498714447,0.08818795531988144,0.2452944964170456,0.2612197697162628,0.14656184613704681,0.2612197697162628,0.10518313944339752,0.2426726073026657,0.11339222639799118
1970s,0.057396724820137024,-0.020239217206835747,0.03967338055372238,0.08396200090646744,0.004102230537682772,0.03411072492599487,0.0888393223285675,0.05709277465939522,0.05110866576433182,0.04946811497211456,0.05110866576433182,0.0011647153878584504,0.07845526933670044,0.03861190751194954
",",0.5201468467712402,0.3087472915649414,0.2589467465877533,0.3015086054801941,0.4933079481124878,0.31928569078445435,0.35306161642074585,0.24857722222805023,0.48816442489624023,0.27938312292099,0.48816442489624023,0.20046983659267426,0.24451690912246704,0.31091248989105225
when,0.4431333839893341,0.4700249433517456,0.3409145474433899,0.3228907287120819,0.5091903209686279,0.2859477698802948,0.32646310329437256,0.2827652394771576,0.4437963366508484,0.20577524602413177,0.4437963366508484,0.24838608503341675,0.17012886703014374,0.22841128706932068
tom,0.18922780454158783,0.1886182576417923,0.1437562257051468,0.17506298422813416,0.2116302251815796,0.1766837239265442,0.17003315687179565,0.24788595736026764,0.21561454236507416,0.12165937572717667,0.21561454236507416,-0.018381986767053604,0.07819116115570068,0.15573404729366302
baker,0.1998102366924286,0.1443992257118225,0.19191424548625946,0.12646734714508057,0.23057734966278076,0.1584000587463379,0.14084087312221527,0.08524278551340103,0.29536038637161255,0.12113749980926514,0.29536038637161255,0.05699209123849869,0.10572890937328339,0.1649734377861023
occasionally,0.22227200865745544,0.24931581318378448,0.14678004384040833,0.25732186436653137,0.2797514796257019,0.312400221824646,0.22293896973133087,0.29806095361709595,0.4260934889316559,0.19761992990970612,0.4260934889316559,0.16900035738945007,0.16932833194732666,0.13541953265666962
drew,0.18420524895191193,0.13638709485530853,0.15283703804016113,0.18822981417179108,0.18736809492111206,0.32905611395835876,0.1035931259393692,0.28810200095176697,0.15487995743751526,0.05632401257753372,0.15487995743751526,-0.05585397779941559,0.18955253064632416,0.10364298522472382
audiences,0.28830450773239136,0.3526768088340759,0.18542006611824036,0.31417515873908997,0.30428367853164673,0.3414676785469055,0.20012995600700378,1.0,0.26687362790107727,0.1971440613269806,0.26687362790107727,0.0216920617967844,0.198873370885849,0.2457132339477539
of,0.5696388483047485,0.33290785551071167,0.2904134690761566,0.2513895630836487,0.733189046382904,0.21383242309093475,0.33962661027908325,0.22345969080924988,0.3886612355709076,0.2803038954734802,0.3886612355709076,0.2886716425418854,0.21686489880084991,0.1826142966747284
over,0.3605569899082184,0.28007611632347107,0.3751278817653656,0.2535076439380646,0.39856547117233276,0.198752298951149,0.271750807762146,0.2627270817756653,0.3506779670715332,0.2199782133102417,0.3506779670715332,0.19234560430049896,0.3791847825050354,0.25742942094802856
12,0.18516430258750916,0.1696145385503769,0.0803728774189949,0.11160892248153687,0.28907760977745056,-0.013452226296067238,0.1421077996492386,0.0216920617967844,0.19093585014343262,0.07254208624362946,0.19093585014343262,1.0000001192092896,0.0815117359161377,0.10021790862083435
million,0.2596224844455719,0.22197039425373077,0.4808195233345032,0.1815238744020462,0.277012437582016,0.1627129763364792,0.15907897055149078,0.198873370885849,0.19242988526821136,0.12338022142648697,0.19242988526821136,0.0815117359161377,0.9999999403953552,0.23092924058437347
.,0.5591574311256409,0.3567904531955719,0.31919315457344055,0.35288307070732117,0.5934505462646484,0.3016606271266937,0.3851161599159241,0.29915523529052734,0.515582263469696,0.24301011860370636,0.515582263469696,0.20240069925785065,0.26805803179740906,0.4130953550338745
