,at,a-level,",",what,percentage,of,british,students,attend,fee-paying,schools,?
according,0.25376394391059875,0.08123094588518143,0.3107093870639801,0.2776208221912384,0.18052242696285248,0.3307822346687317,0.14030468463897705,0.20510904490947723,0.19183118641376495,0.1689995378255844,0.2182181030511856,0.21173474192619324
to,0.36524343490600586,0.24453876912593842,0.44245919585227966,0.455847829580307,0.25744274258613586,0.41548454761505127,0.22690963745117188,0.2905822694301605,0.3481958508491516,0.3369658291339874,0.2362271547317505,0.29463258385658264
the,0.457212895154953,0.23485173285007477,0.4933079481124878,0.42745697498321533,0.2736506462097168,0.733189046382904,0.28973397612571716,0.25268980860710144,0.23206810653209686,0.2727442979812622,0.22905772924423218,0.22068053483963013
good,0.2845047116279602,0.22007782757282257,0.3217065632343292,0.3916934132575989,0.2455357164144516,0.2696770131587982,0.1681857705116272,0.2440071702003479,0.1890418976545334,0.33155152201652527,0.2281089574098587,0.3187684714794159
schools,0.21788150072097778,0.19443902373313904,0.2760516405105591,0.1820785105228424,0.1464802473783493,0.265506386756897,0.1199653223156929,0.6169943809509277,0.4374011754989624,0.25693243741989136,1.0,0.18349280953407288
guide,0.14916343986988068,0.10766471177339554,0.21336932480335236,0.20394113659858704,0.12882594764232635,0.16701211035251617,0.1455782800912857,0.23315995931625366,0.14297591149806976,0.13612189888954163,0.17631520330905914,0.17585812509059906
approximately,0.2883029878139496,0.150898739695549,0.3057648837566376,0.21610312163829803,0.3405741751194,0.34526896476745605,0.09731001406908035,0.24933049082756042,0.21110233664512634,0.28037258982658386,0.177535280585289,0.10237617790699005
9,0.009178941138088703,-0.05155134201049805,-0.04171276465058327,-0.048040688037872314,-0.06228327378630638,0.01387986820191145,0.023713145405054092,0.042214781045913696,0.055977944284677505,-0.09530918300151825,0.004186832811683416,-0.026682810857892036
per,0.19678546488285065,0.21920539438724518,0.26711323857307434,0.21384303271770477,0.33415210247039795,0.17468707263469696,0.06905875355005264,0.13741245865821838,0.14754031598567963,0.24916210770606995,0.13300858438014984,0.22323818504810333
cent,0.1505783200263977,0.1107906773686409,0.23339736461639404,0.17630065977573395,0.3120506703853607,0.17454902827739716,0.10621654987335205,0.1852884143590927,0.13284115493297577,0.22364400327205658,0.18740835785865784,0.21050448715686798
of,0.42558613419532776,0.17308586835861206,0.4946078956127167,0.33290785551071167,0.24724560976028442,1.0,0.23701532185077667,0.25513339042663574,0.2297111451625824,0.24557237327098846,0.265506386756897,0.1826142966747284
children,0.2094024121761322,0.14287032186985016,0.28531143069267273,0.22469459474086761,0.15575432777404785,0.1978350728750229,0.19053633511066437,0.351570725440979,0.2907116711139679,0.20284010469913483,0.3170471489429474,0.21788206696510315
being,0.2686914801597595,0.10792342573404312,0.34499165415763855,0.3760843276977539,0.2411126345396042,0.34885138273239136,0.2751213014125824,0.19110555946826935,0.22919948399066925,0.41534653306007385,0.17241530120372772,0.26743772625923157
educated,0.28241196274757385,0.17449256777763367,0.27670419216156006,0.22306500375270844,0.12706783413887024,0.2250576615333557,0.25442326068878174,0.4362543523311615,0.4336859881877899,0.3088517487049103,0.4708879292011261,0.1427479386329651
in,0.4374977946281433,0.22379761934280396,0.5201468467712402,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.23084034025669098,0.2676171064376831,0.2352246344089508,0.24017971754074097,0.2632134258747101,0.20430970191955566
the,0.457212895154953,0.23485173285007477,0.4933079481124878,0.42745697498321533,0.2736506462097168,0.733189046382904,0.28973397612571716,0.25268980860710144,0.23206810653209686,0.2727442979812622,0.22905772924423218,0.22068053483963013
uk,0.2534448504447937,0.11195305734872818,0.2632971405982971,0.17163191735744476,0.17578497529029846,0.21513383090496063,0.38841667771339417,0.2091427743434906,0.16261786222457886,0.1534481793642044,0.21530239284038544,0.20222434401512146
are,0.2074895054101944,0.17147107422351837,0.4062570035457611,0.29724663496017456,0.31028249859809875,0.39081433415412903,0.12250547111034393,0.2835792899131775,0.24206116795539856,0.30180567502975464,0.30816179513931274,0.24591213464736938
