,who,appointed,samuel,phillips,to,man,the,tiger,team,to,find,answers,?
the,0.3733934462070465,0.2626524269580841,0.15008985996246338,0.1886449009180069,0.535392165184021,0.23171134293079376,1.0,0.22069649398326874,0.22564226388931274,0.535392165184021,0.2696352005004883,0.21366693079471588,0.22068053483963013
problems,0.25277501344680786,0.18222874402999878,0.07563076913356781,0.14544960856437683,0.28989166021347046,0.2042948603630066,0.2659202516078949,0.10452646017074585,0.098353810608387,0.28989166021347046,0.29659050703048706,0.3406413495540619,0.2638136148452759
with,0.3282766342163086,0.13655053079128265,0.13008104264736176,0.22208432853221893,0.4239959120750427,0.175505131483078,0.4223487675189972,0.13795848190784454,0.21111343801021576,0.4239959120750427,0.24964970350265503,0.1946248710155487,0.2433311939239502
north,0.11026738584041595,0.1401587575674057,0.12333853542804718,0.20063628256320953,0.2743184268474579,0.07712116837501526,0.36298373341560364,0.12180764228105545,0.13787305355072021,0.2743184268474579,0.12651664018630981,0.05550844222307205,0.11829731613397598
american,0.3093835413455963,0.22847925126552582,0.24069947004318237,0.3670904040336609,0.16338081657886505,0.22423110902309418,0.24562937021255493,0.1581360250711441,0.11424583196640015,0.16338081657886505,0.16049824655056,0.1370743364095688,0.18877598643302917
were,0.3188014328479767,0.19441884756088257,0.16101916134357452,0.17463447153568268,0.31913647055625916,0.2055310159921646,0.3906462490558624,0.09075014293193817,0.16634012758731842,0.31913647055625916,0.17437532544136047,0.19637611508369446,0.17890112102031708
severe,0.16587743163108826,0.1289706975221634,0.07632219046354294,0.16410766541957855,0.24130137264728546,0.13643409311771393,0.2465558648109436,0.15165719389915466,0.08233492076396942,0.24130137264728546,0.13927426934242249,0.08035369962453842,0.19589418172836304
enough,0.29920142889022827,0.10280530154705048,0.11685620993375778,0.10895568132400513,0.43150144815444946,0.22372041642665863,0.304282009601593,0.1543961763381958,0.10586954653263092,0.43150144815444946,0.3564949333667755,0.28010809421539307,0.3526461720466614
in,0.2792111933231354,0.23088723421096802,0.20420196652412415,0.21452437341213226,0.45010748505592346,0.19554144144058228,0.6662389636039734,0.18998859822750092,0.18841172754764557,0.45010748505592346,0.2040027230978012,0.13650743663311005,0.20430970191955566
late,0.19296042621135712,0.15920594334602356,0.13966631889343262,0.1957540065050125,0.25809016823768616,0.20689289271831512,0.31481194496154785,0.11841730028390884,0.151384636759758,0.25809016823768616,0.1380627155303955,0.08601775020360947,0.11339222639799118
1965,0.1256352663040161,0.0662190392613411,-0.04962155595421791,-0.022142142057418823,0.16809216141700745,0.09920579195022583,0.09033208340406418,0.04984071105718613,0.14787746965885162,0.16809216141700745,0.09321009367704391,0.07006756216287613,0.26302391290664673
to,0.42656609416007996,0.21184861660003662,0.07316149771213531,0.19412821531295776,1.0,0.2487562596797943,0.535392165184021,0.10677976906299591,0.23889471590518951,1.0,0.42702093720436096,0.27147388458251953,0.29463258385658264
cause,0.1876615583896637,0.05686041712760925,0.1332354098558426,0.12376637011766434,0.3172815442085266,0.15686307847499847,0.2551237642765045,0.12382920831441879,0.10100723803043365,0.3172815442085266,0.29714450240135193,0.16842816770076752,0.240532785654068
manned,0.20781661570072174,0.24373222887516022,0.18952542543411255,0.15856869518756866,0.21649380028247833,0.2685508131980896,0.2392944097518921,0.09574425965547562,0.16800931096076965,0.21649380028247833,0.16292086243629456,0.18650737404823303,0.17514055967330933
space,0.1441284865140915,0.08340317755937576,0.10103155672550201,0.13035443425178528,0.22712917625904083,0.21570560336112976,0.24495907127857208,0.08349741995334625,0.14264272153377533,0.22712917625904083,0.2332996129989624,0.2047092765569687,0.1885536164045334
flight,0.07788171619176865,0.1562042087316513,0.10380521416664124,0.18751564621925354,0.24953556060791016,0.16361366212368011,0.2498224973678589,0.15031000971794128,0.17153584957122803,0.24953556060791016,0.1919150948524475,0.089962437748909,0.20568472146987915
administrator,0.29738950729370117,0.36824923753738403,0.10341828316450119,0.19987930357456207,0.291531503200531,0.2287950962781906,0.23136885464191437,0.07013792544603348,0.1780249923467636,0.291531503200531,0.17947331070899963,0.2313029021024704,0.2915230691432953
george,0.25805044174194336,0.27711713314056396,0.220236673951149,0.2987090051174164,0.17226167023181915,0.21384727954864502,0.2510760426521301,0.15332786738872528,0.14361397922039032,0.17226167023181915,0.08155333995819092,0.11268623918294907,0.1479024887084961
mueller,0.25541362166404724,0.2127954214811325,0.49152711033821106,0.31965869665145874,0.08670014888048172,0.22424495220184326,0.2319459170103073,0.24510367214679718,0.16966776549816132,0.08670014888048172,0.11198414117097855,0.16465440392494202,0.1575169712305069
to,0.42656609416007996,0.21184861660003662,0.07316149771213531,0.19412821531295776,1.0,0.2487562596797943,0.535392165184021,0.10677976906299591,0.23889471590518951,1.0,0.42702093720436096,0.27147388458251953,0.29463258385658264
appoint,0.3189915716648102,0.838501513004303,0.15438690781593323,0.20275473594665527,0.3012806177139282,0.16377755999565125,0.25431281328201294,0.012134033255279064,0.15010285377502441,0.3012806177139282,0.1405714601278305,0.25846970081329346,0.21547414362430573
program,0.2097788155078888,0.14344049990177155,0.10840321332216263,0.23150035738945007,0.23681028187274933,0.12332320958375931,0.22986935079097748,0.03234601765871048,0.2466873824596405,0.23681028187274933,0.1619601547718048,0.21406503021717072,0.1440187245607376
director,0.19509299099445343,0.3443993031978607,0.1755031943321228,0.27633678913116455,0.1698155552148819,0.19603963196277618,0.19949141144752502,0.12113727629184723,0.19405688345432281,0.1698155552148819,0.07752023637294769,0.10820045322179794,0.09360282123088837
samuel,0.261510968208313,0.2180340588092804,1.0000001192092896,0.2733888626098633,0.07316149771213531,0.18266628682613373,0.15008985996246338,0.13533060252666473,0.1076124832034111,0.07316149771213531,0.0964433029294014,0.18844547867774963,0.09954892843961716
phillips,0.24433107674121857,0.24900004267692566,0.2733888626098633,0.9999998807907104,0.19412821531295776,0.22226621210575104,0.1886449009180069,0.1316000372171402,0.21123676002025604,0.19412821531295776,0.19446928799152374,0.249596506357193,0.15470919013023376
