,what,was,the,name,of,wesley,'s,famous,sermon,in,which,he,warned,against,the,dangers,of,drinking,?
john,0.18237407505512238,0.2875721752643585,0.2230520099401474,0.12458125501871109,0.2407056987285614,0.43004438281059265,-0.1023898646235466,0.22112208604812622,0.25196006894111633,0.22177861630916595,0.20415355265140533,0.24136601388454437,0.15240323543548584,0.12553705275058746,0.2230520099401474,0.06454528868198395,0.2407056987285614,0.14964884519577026,0.13162356615066528
wesley,0.15380223095417023,0.244222953915596,0.1425647884607315,0.14667272567749023,0.18802838027477264,0.9999999403953552,0.015119718387722969,0.2743346095085144,0.3364819884300232,0.14970102906227112,0.157640278339386,0.2580377459526062,0.13421407341957092,0.14759141206741333,0.1425647884607315,0.09592770785093307,0.18802838027477264,0.14823497831821442,0.1662333607673645
warned,0.3375804126262665,0.2775726318359375,0.21100614964962006,0.1378880739212036,0.2130305916070938,0.13421407341957092,-0.020765310153365135,0.15359288454055786,0.22265423834323883,0.10955683887004852,0.202027827501297,0.2673533260822296,1.0,0.32649698853492737,0.21100614964962006,0.35631921887397766,0.2130305916070938,0.14763259887695312,0.2909487187862396
against,0.24561616778373718,0.22972732782363892,0.3090755045413971,0.12129601836204529,0.2669808566570282,0.14759141206741333,-0.0006242102244868875,0.18187788128852844,0.17807912826538086,0.27273955941200256,0.27554041147232056,0.29170042276382446,0.32649698853492737,1.0,0.3090755045413971,0.207906574010849,0.2669808566570282,0.1936313956975937,0.18095137178897858
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,0.1425647884607315,-0.01540423184633255,0.28616565465927124,0.2812419533729553,0.6662389636039734,0.6521818041801453,0.4571082592010498,0.21100614964962006,0.3090755045413971,1.0,0.23784300684928894,0.733189046382904,0.24362654983997345,0.22068053483963013
dangers,0.23715689778327942,0.10250156372785568,0.23784300684928894,0.023387925699353218,0.18729081749916077,0.09592770785093307,-0.004219828639179468,0.13027116656303406,0.1902923583984375,0.17403259873390198,0.2205243706703186,0.20248611271381378,0.35631921887397766,0.207906574010849,0.23784300684928894,0.9999998807907104,0.18729081749916077,0.2980062961578369,0.18444906175136566
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.18802838027477264,-0.03817026689648628,0.3074295222759247,0.23472066223621368,0.5696388483047485,0.5011631846427917,0.38706058263778687,0.2130305916070938,0.2669808566570282,0.733189046382904,0.18729081749916077,1.0,0.23645314574241638,0.1826142966747284
drinking,0.21567115187644958,0.19388309121131897,0.24362654983997345,0.0870734229683876,0.23645314574241638,0.14823497831821442,0.053324051201343536,0.22481343150138855,0.17760121822357178,0.25444042682647705,0.26963698863983154,0.2276725322008133,0.14763259887695312,0.1936313956975937,0.24362654983997345,0.2980062961578369,0.23645314574241638,1.0,0.18765781819820404
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.14970102906227112,-0.037580832839012146,0.34673580527305603,0.22135332226753235,1.0,0.4840516746044159,0.41690486669540405,0.10955683887004852,0.27273955941200256,0.6662389636039734,0.17403259873390198,0.5696388483047485,0.25444042682647705,0.20430970191955566
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.1914493292570114,0.38364991545677185,0.2921638488769531,0.047556519508361816,0.28745037317276,0.23734797537326813,0.3598145842552185,0.32283493876457214,0.7171558737754822,0.25976091623306274,0.26457494497299194,0.4394008219242096,0.20494212210178375,0.38364991545677185,0.23521114885807037,0.18075084686279297
