,where,was,genghis,khan,buried,?
he,0.3705328106880188,0.5410010814666748,0.28288567066192627,0.24136358499526978,0.25827285647392273,0.2089974731206894
was,0.20731619000434875,1.0000001192092896,0.3037589192390442,0.23483267426490784,0.28686758875846863,0.18412111699581146
buried,0.2863103151321411,0.28686758875846863,0.25133416056632996,0.0911133736371994,1.0,0.18487362563610077
in,0.5344807505607605,0.45514053106307983,0.224680557847023,0.1527150720357895,0.2989335358142853,0.20430970191955566
an,0.24824833869934082,0.3694365322589874,0.14007556438446045,0.12960869073867798,0.12651516497135162,0.19793890416622162
unmarked,0.30443745851516724,0.28929996490478516,0.18027254939079285,0.05598466843366623,0.5247368812561035,0.23435813188552856
grave,0.2418641597032547,0.18294581770896912,0.24420137703418732,0.1328037530183792,0.5241690874099731,0.2043718844652176
somewhere,0.47130653262138367,0.17991819977760315,0.17061902582645416,0.09823989123106003,0.23741640150547028,0.4073143005371094
in,0.5344807505607605,0.45514053106307983,0.224680557847023,0.1527150720357895,0.2989335358142853,0.20430970191955566
mongolia,0.2137911468744278,0.12289638072252274,0.4294305145740509,0.37883228063583374,0.14231322705745697,0.12165829539299011
at,0.4402937591075897,0.36707764863967896,0.17962470650672913,0.15931449830532074,0.2751847505569458,0.21978627145290375
an,0.24824833869934082,0.3694365322589874,0.14007556438446045,0.12960869073867798,0.12651516497135162,0.19793890416622162
unknown,0.28788337111473083,0.2385871857404709,0.18681222200393677,0.131158709526062,0.36469098925590515,0.22083927690982819
location,0.3471813499927521,0.1839360147714615,0.15483447909355164,0.10579933226108551,0.11809393763542175,0.15759775042533875
.,0.41390106081962585,0.40146201848983765,0.25373268127441406,0.19819748401641846,0.2254612147808075,0.4130953550338745
