,university,of,chicago,scholars,played,a,major,part,in,what,development,?
university,1.0,0.30646374821662903,0.29005804657936096,0.3846139907836914,0.2068624645471573,0.20256656408309937,0.167424276471138,0.24883095920085907,0.3201795518398285,0.20256435871124268,0.19025695323944092,0.11887256056070328
of,0.30646374821662903,1.0,0.18391016125679016,0.2583930194377899,0.21120788156986237,0.5052502155303955,0.2641255557537079,0.452393114566803,0.5696388483047485,0.33290785551071167,0.28700894117355347,0.1826142966747284
chicago,0.29005804657936096,0.18391016125679016,1.0,0.1491868793964386,0.26855260133743286,0.17899899184703827,0.2002526819705963,0.12448146194219589,0.23921214044094086,0.1521448791027069,0.20306460559368134,0.16446958482265472
scholars,0.3846139907836914,0.2583930194377899,0.1491868793964386,0.9999998807907104,0.08651287853717804,0.1878340095281601,0.1138266921043396,0.15266048908233643,0.137682244181633,0.2640625238418579,0.23333512246608734,0.11279910802841187
have,0.1617986559867859,0.3802283704280853,0.1939457803964615,0.26050499081611633,0.16157019138336182,0.338716596364975,0.2512233257293701,0.25547030568122864,0.36843645572662354,0.39808809757232666,0.2828937768936157,0.32991164922714233
played,0.2068624645471573,0.21120788156986237,0.26855260133743286,0.08651287853717804,1.0,0.2472371906042099,0.20760951936244965,0.20158123970031738,0.27605336904525757,0.14831039309501648,0.14197582006454468,0.14096300303936005
a,0.20256656408309937,0.5052502155303955,0.17899899184703827,0.1878340095281601,0.2472371906042099,1.0,0.22990699112415314,0.3994528353214264,0.539380669593811,0.3320399522781372,0.2762584090232849,0.23916715383529663
major,0.167424276471138,0.2641255557537079,0.2002526819705963,0.1138266921043396,0.20760951936244965,0.22990699112415314,0.9999998807907104,0.22967763245105743,0.3249945342540741,0.21026742458343506,0.24778911471366882,0.19788557291030884
role,0.12393464893102646,0.1797693818807602,0.14234796166419983,0.04537267982959747,0.3676716685295105,0.22880133986473083,0.21057923138141632,0.30847007036209106,0.243671715259552,0.22614215314388275,0.2680355906486511,0.18676944077014923
in,0.3201795518398285,0.5696388483047485,0.23921214044094086,0.137682244181633,0.27605336904525757,0.539380669593811,0.3249945342540741,0.4499994218349457,1.0,0.30808621644973755,0.2550492286682129,0.20430970191955566
