,what,may,a,force,on,one,part,of,an,object,affect,?
however,0.4480680823326111,0.34008944034576416,0.38150349259376526,0.23566965758800507,0.3940407931804657,0.44038087129592896,0.3304117023944855,0.3800618350505829,0.2464427500963211,0.2830101251602173,0.42100343108177185,0.2152075469493866
",",0.3087472915649414,0.5007920861244202,0.427140474319458,0.22091743350028992,0.49057599902153015,0.3696635365486145,0.3376222252845764,0.4946078956127167,0.3581022024154663,0.149229496717453,0.24902932345867157,0.31091248989105225
in,0.30808621644973755,0.3424151837825775,0.539380669593811,0.21744468808174133,0.46853652596473694,0.4129433035850525,0.4499994218349457,0.5696388483047485,0.2605783939361572,0.18661287426948547,0.31448644399642944,0.20430970191955566
real,0.27036693692207336,0.2417542189359665,0.269746869802475,0.1375405490398407,0.1512499749660492,0.25180649757385254,0.1562182456254959,0.19599324464797974,0.21363483369350433,0.2392853945493698,0.23090128600597382,0.20019613206386566
life,0.24693015217781067,0.206627756357193,0.27076753973960876,0.1253519058227539,0.19639495015144348,0.21805667877197266,0.19271664321422577,0.2788603901863098,0.22073830664157867,0.1407351940870285,0.20480063557624817,0.21677987277507782
",",0.3087472915649414,0.5007920861244202,0.427140474319458,0.22091743350028992,0.49057599902153015,0.3696635365486145,0.3376222252845764,0.4946078956127167,0.3581022024154663,0.149229496717453,0.24902932345867157,0.31091248989105225
matter,0.41697224974632263,0.2518509030342102,0.25967463850975037,0.238060861825943,0.26765185594558716,0.2918330132961273,0.18836624920368195,0.2804143726825714,0.21144568920135498,0.4301145672798157,0.36935004591941833,0.269619345664978
has,0.20338068902492523,0.2377731204032898,0.4670248031616211,0.15953533351421356,0.34604379534721375,0.43032392859458923,0.33699411153793335,0.3909035325050354,0.2991473078727722,0.19348588585853577,0.23504148423671722,0.15994466841220856
extended,0.20863614976406097,0.21003976464271545,0.24976085126399994,0.14277556538581848,0.3204180896282196,0.24283982813358307,0.3275521695613861,0.2843494713306427,0.1627131849527359,0.19097283482551575,0.18486091494560242,0.17568568885326385
structure,0.27351704239845276,0.2035469114780426,0.33968499302864075,0.1445331573486328,0.21283137798309326,0.27819859981536865,0.259334921836853,0.2599511742591858,0.1671210676431656,0.3029397428035736,0.2862115204334259,0.1770772784948349
and,0.31309178471565247,0.34598252177238464,0.3739250600337982,0.24372100830078125,0.4077630043029785,0.42438167333602905,0.35301485657691956,0.5116966962814331,0.2838519215583801,0.17470528185367584,0.3258028030395508,0.20544172823429108
forces,0.2112482488155365,0.198151096701622,0.17848460376262665,0.6498695015907288,0.220676988363266,0.14723527431488037,0.20870740711688995,0.3090144991874695,0.16929563879966736,0.23975132405757904,0.2229362279176712,0.16984491050243378
that,0.6297725439071655,0.4234136641025543,0.47537946701049805,0.26810982823371887,0.42569106817245483,0.5133185982704163,0.37747326493263245,0.41498205065727234,0.365763783454895,0.3378750681877136,0.3903253972530365,0.32716336846351624
act,0.2622668445110321,0.16605353355407715,0.2060188204050064,0.26389411091804504,0.17222115397453308,0.19140365719795227,0.22309119999408722,0.2802577316761017,0.20058928430080414,0.2549629211425781,0.3346015512943268,0.1482519507408142
on,0.34226128458976746,0.3428080081939697,0.3848365545272827,0.1764998733997345,0.9999999403953552,0.3601475656032562,0.3598494827747345,0.3966929316520691,0.3192969560623169,0.18476571142673492,0.31676557660102844,0.2714994251728058
one,0.376489520072937,0.2514621615409851,0.4910551905632019,0.23989498615264893,0.3601475656032562,1.0000001192092896,0.38682618737220764,0.4999135136604309,0.2829729914665222,0.3014896810054779,0.28924205899238586,0.2673267424106598
