,when,did,tesla,admit,to,a,reporter,that,maybe,he,'d,sacrificed,too,much,by,not,having,a,relationship,?
:33,0.04074342921376228,0.042483266443014145,0.0042181434109807014,-0.02655164711177349,0.04963487759232521,0.07141105830669403,0.11911008507013321,0.04909951984882355,0.0327567420899868,0.05369831249117851,-0.21402733027935028,0.021695466712117195,0.07662472873926163,0.007283995393663645,0.08879637718200684,0.06525326520204544,0.07151461392641068,0.07141105830669403,0.04477126896381378,0.02699214033782482
however,0.5574322938919067,0.5603718757629395,0.1715826392173767,0.4117744565010071,0.5474119186401367,0.38150349259376526,0.2539273500442505,0.6336373090744019,0.3924851417541504,0.3323216438293457,-0.027001503854990005,0.24503567814826965,0.4945617616176605,0.5116350650787354,0.34889668226242065,0.6236329078674316,0.49324384331703186,0.38150349259376526,0.31787392497062683,0.2152075469493866
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.2409670203924179,0.44245919585227966,0.427140474319458,0.278059720993042,0.4137537479400635,0.25553908944129944,0.40251094102859497,0.11865904182195663,0.19152215123176575,0.30976784229278564,0.36182254552841187,0.3680937886238098,0.3769696354866028,0.3154076039791107,0.427140474319458,0.23936419188976288,0.31091248989105225
toward,0.34187865257263184,0.1586475372314453,0.0843176618218422,0.22933319211006165,0.3459627032279968,0.2229166328907013,0.08937930315732956,0.29561343789100647,0.15708278119564056,0.20798923075199127,-0.06203892454504967,0.22925007343292236,0.23459582030773163,0.2587328553199768,0.21670615673065186,0.24587097764015198,0.21254020929336548,0.2229166328907013,0.20665425062179565,0.09989774227142334
the,0.5091903209686279,0.34736719727516174,0.1324402391910553,0.21935626864433289,0.535392165184021,0.5829201340675354,0.2277432680130005,0.5473989248275757,0.26406949758529663,0.4571082592010498,0.0335611067712307,0.18935535848140717,0.26985910534858704,0.35023224353790283,0.4408751428127289,0.4310511648654938,0.3821379244327545,0.5829201340675354,0.21018025279045105,0.22068053483963013
end,0.3228412866592407,0.18808481097221375,0.05453544855117798,0.25096067786216736,0.3229445815086365,0.28924596309661865,0.11575621366500854,0.3221861720085144,0.15584425628185272,0.25187915563583374,-0.045660048723220825,0.16410726308822632,0.23560084402561188,0.20683908462524414,0.19136181473731995,0.26028093695640564,0.2326798141002655,0.28924596309661865,0.2079348862171173,0.12543344497680664
of,0.3757161796092987,0.2513895630836487,0.18837453424930573,0.17787644267082214,0.41548454761505127,0.5052502155303955,0.16590984165668488,0.41498205065727234,0.24428507685661316,0.38706058263778687,0.14069612324237823,0.18518298864364624,0.22150669991970062,0.2671096920967102,0.3646814823150635,0.3307090103626251,0.38889452815055847,0.5052502155303955,0.22000651061534882,0.1826142966747284
his,0.37120407819747925,0.3546801507472992,0.1580733060836792,0.2538642883300781,0.3715193271636963,0.3497250974178314,0.28142592310905457,0.3173833191394806,0.23554201424121857,0.7171558737754822,-0.010539223439991474,0.3496643304824829,0.21271850168704987,0.23178109526634216,0.3107621967792511,0.2710725963115692,0.34516337513923645,0.3497250974178314,0.2530630826950073,0.18075084686279297
life,0.20499193668365479,0.22298283874988556,0.07371766865253448,0.19100651144981384,0.24560359120368958,0.27076753973960876,0.2019501030445099,0.2885509729385376,0.2317028045654297,0.2685181796550751,-0.019423818215727806,0.37823373079299927,0.26880553364753723,0.3077531158924103,0.18554949760437012,0.2449619174003601,0.18840017914772034,0.27076753973960876,0.34486138820648193,0.21677987277507782
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.2409670203924179,0.44245919585227966,0.427140474319458,0.278059720993042,0.4137537479400635,0.25553908944129944,0.40251094102859497,0.11865904182195663,0.19152215123176575,0.30976784229278564,0.36182254552841187,0.3680937886238098,0.3769696354866028,0.3154076039791107,0.427140474319458,0.23936419188976288,0.31091248989105225
he,0.39115971326828003,0.3292143940925598,0.12373391538858414,0.2937401533126831,0.385390967130661,0.4393508732318878,0.3457992672920227,0.36068853735923767,0.2347385287284851,1.0000001192092896,0.1074356883764267,0.19190570712089539,0.22451673448085785,0.21974919736385345,0.2485479861497879,0.29440581798553467,0.354722797870636,0.4393508732318878,0.22828099131584167,0.2089974731206894
told,0.33503323793411255,0.5070855021476746,0.10524079948663712,0.38877713680267334,0.36673256754875183,0.18592841923236847,0.374237596988678,0.39794859290122986,0.31544607877731323,0.3739995062351227,-0.07988619059324265,0.2952594757080078,0.2964830994606018,0.2036663442850113,0.25847041606903076,0.3256034553050995,0.25500360131263733,0.18592841923236847,0.19040824472904205,0.28178566694259644
a,0.44397395849227905,0.2552328109741211,0.2211925983428955,0.2463129758834839,0.45503583550453186,1.0,0.24925528466701508,0.47537946701049805,0.3954240381717682,0.4393508732318878,0.023557579144835472,0.22124114632606506,0.32342976331710815,0.2958075702190399,0.32094135880470276,0.3791346549987793,0.3929923176765442,1.0,0.25691166520118713,0.23916715383529663
reporter,0.21040159463882446,0.23536071181297302,0.15096569061279297,0.2641720771789551,0.19395318627357483,0.24925528466701508,1.0,0.2176346629858017,0.17052528262138367,0.3457992672920227,-0.05348539724946022,0.10197734832763672,0.11808575689792633,0.16407166421413422,0.2150280624628067,0.17694291472434998,0.1794821321964264,0.24925528466701508,0.14343908429145813,0.17684806883335114
