,to,whom,was,the,large,catechism,directed,?
in,0.45010748505592346,0.20012985169887543,0.45514053106307983,0.6662389636039734,0.2841601073741913,0.21601755917072296,0.1949853003025055,0.20430970191955566
1529,0.12553973495960236,0.11008349806070328,0.3086448013782501,0.17264190316200256,-0.037392664700746536,0.12433405220508575,0.1931224912405014,0.17319193482398987
",",0.44245919585227966,0.25587570667266846,0.45456063747406006,0.4933079481124878,0.2263888567686081,0.24122951924800873,0.2004583775997162,0.31091248989105225
he,0.385390967130661,0.3327956199645996,0.5410010814666748,0.4571082592010498,0.22765910625457764,0.15769653022289276,0.14907824993133545,0.2089974731206894
wrote,0.18888387084007263,0.22136400640010834,0.40092042088508606,0.2426944375038147,0.13745948672294617,0.28584668040275574,0.3132722079753876,0.19322504103183746
the,0.535392165184021,0.23752936720848083,0.48711544275283813,1.0,0.3828733265399933,0.23989783227443695,0.21284286677837372,0.22068053483963013
large,0.3150999844074249,0.13505972921848297,0.21717436611652374,0.3828733265399933,1.0000001192092896,0.1455680876970291,0.13145838677883148,0.1355665624141693
catechism,0.1810305118560791,0.24065236747264862,0.21933825314044952,0.23989783227443695,0.1455680876970291,0.9999998807907104,0.17050300538539886,0.25135189294815063
",",0.44245919585227966,0.25587570667266846,0.45456063747406006,0.4933079481124878,0.2263888567686081,0.24122951924800873,0.2004583775997162,0.31091248989105225
a,0.45503583550453186,0.21455949544906616,0.4508470594882965,0.5829201340675354,0.3740714490413666,0.1963084191083908,0.15248838067054749,0.23916715383529663
manual,0.19018103182315826,0.048241596668958664,0.07942535728216171,0.17641127109527588,0.1574595421552658,0.26480233669281006,0.06739641726016998,0.2593449652194977
for,0.4451248347759247,0.24361787736415863,0.3863949179649353,0.4739971458911896,0.22967137396335602,0.14362718164920807,0.1671864539384842,0.264628142118454
pastors,0.24736544489860535,0.26980406045913696,0.23307035863399506,0.1971966028213501,0.15415680408477783,0.29629746079444885,0.10270743817090988,0.17702129483222961
and,0.48971283435821533,0.3148667514324188,0.3740963041782379,0.5171257257461548,0.3404269814491272,0.19267821311950684,0.229026198387146,0.20544172823429108
teachers,0.2668606638908386,0.2711348235607147,0.18821726739406586,0.22025763988494873,0.16339638829231262,0.2450447827577591,0.14542707800865173,0.19522249698638916
",",0.44245919585227966,0.25587570667266846,0.45456063747406006,0.4933079481124878,0.2263888567686081,0.24122951924800873,0.2004583775997162,0.31091248989105225
as,0.42092081904411316,0.31695985794067383,0.3677520453929901,0.48381632566452026,0.24282054603099823,0.2166789472103119,0.2394440919160843,0.27043893933296204
well,0.3422003388404846,0.2689387798309326,0.3130364418029785,0.42630070447921753,0.3585031032562256,0.1581500917673111,0.1659061759710312,0.24815571308135986
as,0.42092081904411316,0.31695985794067383,0.3677520453929901,0.48381632566452026,0.24282054603099823,0.2166789472103119,0.2394440919160843,0.27043893933296204
a,0.45503583550453186,0.21455949544906616,0.4508470594882965,0.5829201340675354,0.3740714490413666,0.1963084191083908,0.15248838067054749,0.23916715383529663
synopsis,0.13372543454170227,0.03510031849145889,0.10033941268920898,0.21179591119289398,0.2034904509782791,0.3497752249240875,0.0913340300321579,0.25646844506263733
",",0.44245919585227966,0.25587570667266846,0.45456063747406006,0.4933079481124878,0.2263888567686081,0.24122951924800873,0.2004583775997162,0.31091248989105225
the,0.535392165184021,0.23752936720848083,0.48711544275283813,1.0,0.3828733265399933,0.23989783227443695,0.21284286677837372,0.22068053483963013
small,0.3054737150669098,0.12471918761730194,0.16572418808937073,0.39655908942222595,0.7174716591835022,0.1314304769039154,0.1409115493297577,0.13914890587329865
catechism,0.1810305118560791,0.24065236747264862,0.21933825314044952,0.23989783227443695,0.1455680876970291,0.9999998807907104,0.17050300538539886,0.25135189294815063
",",0.44245919585227966,0.25587570667266846,0.45456063747406006,0.4933079481124878,0.2263888567686081,0.24122951924800873,0.2004583775997162,0.31091248989105225
to,1.0,0.3108522593975067,0.3636345863342285,0.535392165184021,0.3150999844074249,0.1810305118560791,0.16784803569316864,0.29463258385658264
be,0.4972836375236511,0.21567033231258392,0.42228707671165466,0.4248143136501312,0.2907196581363678,0.15582312643527985,0.12974007427692413,0.3324260413646698
memorised,0.17127351462841034,0.2918160557746887,0.2104194313287735,0.2894894778728485,0.19095486402511597,0.1539127379655838,0.2254054695367813,0.15994299948215485
by,0.33534231781959534,0.28481900691986084,0.4752357602119446,0.4408751428127289,0.2555539309978485,0.18735504150390625,0.41976529359817505,0.17966607213020325
the,0.535392165184021,0.23752936720848083,0.48711544275283813,1.0,0.3828733265399933,0.23989783227443695,0.21284286677837372,0.22068053483963013
people,0.37275731563568115,0.22432920336723328,0.2518421411514282,0.36838498711586,0.26447445154190063,0.1761261522769928,0.05765819549560547,0.23739641904830933
themselves,0.37259936332702637,0.2651185691356659,0.1582118272781372,0.3444426357746124,0.30943864583969116,0.19605743885040283,0.08918123692274094,0.20170879364013672
.,0.4645031690597534,0.26115289330482483,0.40146201848983765,0.5934505462646484,0.2304532378911972,0.22610440850257874,0.21717123687267303,0.4130953550338745
