,what,is,very,important,for,the,growth,of,the,economy,?
this,0.5489566326141357,0.480927973985672,0.48376014828681946,0.4004398584365845,0.5082864165306091,0.6274310946464539,0.2538136839866638,0.45148900151252747,0.6274310946464539,0.25099337100982666,0.3155723512172699
decrease,0.20072416961193085,0.18432794511318207,0.24080945551395416,0.18273568153381348,0.20651747286319733,0.2781965136528015,0.4244953691959381,0.2226300835609436,0.2781965136528015,0.29121994972229004,0.08518534898757935
in,0.30808621644973755,0.5394441485404968,0.3209688663482666,0.3796374499797821,0.4322226941585541,0.6662389636039734,0.2819603681564331,0.5696388483047485,0.6662389636039734,0.2588731348514557,0.20430970191955566
wages,0.20351257920265198,0.11061973869800568,0.1720782220363617,0.13500641286373138,0.28834453225135803,0.15546856820583344,0.31548380851745605,0.17478904128074646,0.15546856820583344,0.4250490367412567,0.19884631037712097
caused,0.22264783084392548,0.16288428008556366,0.31172728538513184,0.16862618923187256,0.1862620860338211,0.24990202486515045,0.22681869566440582,0.29665443301200867,0.24990202486515045,0.1601213961839676,0.20679491758346558
a,0.3320399522781372,0.658733606338501,0.45312565565109253,0.2963852882385254,0.44038116931915283,0.5829201340675354,0.21544985473155975,0.5052502155303955,0.5829201340675354,0.24415728449821472,0.23916715383529663
period,0.24507179856300354,0.1838376820087433,0.2422863394021988,0.22788098454475403,0.27999383211135864,0.3125074505805969,0.18242742121219635,0.2698146104812622,0.3125074505805969,0.18796338140964508,0.18706195056438446
of,0.33290785551071167,0.4854315221309662,0.34437474608421326,0.43301743268966675,0.4185989499092102,0.733189046382904,0.2679378092288971,1.0,0.733189046382904,0.2583308815956116,0.1826142966747284
compression,0.23375190794467926,0.2661573588848114,0.2771662473678589,0.16429200768470764,0.2499852478504181,0.24867193400859833,0.2624344825744629,0.2915203273296356,0.24867193400859833,0.2561485171318054,0.18572697043418884
and,0.31309178471565247,0.3859752118587494,0.4546867609024048,0.37549954652786255,0.5064792633056641,0.5171257257461548,0.2731747627258301,0.5116966962814331,0.5171257257461548,0.26484790444374084,0.20544172823429108
decreased,0.17693571746349335,0.15252377092838287,0.2645214796066284,0.22017191350460052,0.22295188903808594,0.27965670824050903,0.42078885436058044,0.2523523271083832,0.27965670824050903,0.30787205696105957,0.08292442560195923
inequality,0.30072227120399475,0.1953488290309906,0.21806247532367706,0.32523176074028015,0.256974995136261,0.23508106172084808,0.3248327970504761,0.27910974621772766,0.23508106172084808,0.41350439190864563,0.23619021475315094
between,0.2462156116962433,0.26809602975845337,0.23199264705181122,0.26314592361450195,0.24671313166618347,0.39067012071609497,0.15071266889572144,0.3737983703613281,0.39067012071609497,0.17449726164340973,0.12887074053287506
skilled,0.23161742091178894,0.14615164697170258,0.3653911352157593,0.29755792021751404,0.28267210721969604,0.15767402946949005,0.13487321138381958,0.19600097835063934,0.15767402946949005,0.24059592187404633,0.1555546671152115
and,0.31309178471565247,0.3859752118587494,0.4546867609024048,0.37549954652786255,0.5064792633056641,0.5171257257461548,0.2731747627258301,0.5116966962814331,0.5171257257461548,0.26484790444374084,0.20544172823429108
unskilled,0.22583582997322083,0.1659868359565735,0.32703691720962524,0.24335047602653503,0.30245548486709595,0.2347663789987564,0.20325563848018646,0.2879078686237335,0.2347663789987564,0.3330969512462616,0.17135822772979736
workers,0.21390831470489502,0.16085883975028992,0.16156096756458282,0.1880708932876587,0.2527289092540741,0.23066683113574982,0.1811123639345169,0.20827822387218475,0.23066683113574982,0.32930848002433777,0.1706571877002716
.,0.3567904531955719,0.4569662809371948,0.3872767388820648,0.33938494324684143,0.4726039469242096,0.5934505462646484,0.2825547754764557,0.5352458953857422,0.5934505462646484,0.2477293759584427,0.4130953550338745
