,what,did,the,nif,try,to,unify,islamist,opposition,against,?
the,0.42745697498321533,0.34736719727516174,1.0,0.30787211656570435,0.28568562865257263,0.535392165184021,0.2526540756225586,0.2459319531917572,0.26783087849617004,0.3090755045413971,0.22068053483963013
nif,0.27556341886520386,0.18734052777290344,0.30787211656570435,1.0,0.28758400678634644,0.2323044389486313,0.3425084054470062,0.3367355167865753,0.1529027372598648,0.145121768116951,0.3096572160720825
regime,0.17682157456874847,0.18920215964317322,0.23305538296699524,0.18179436028003693,0.19663849472999573,0.25591278076171875,0.24412378668785095,0.37900856137275696,0.41815435886383057,0.332268625497818,0.15561191737651825
also,0.42747777700424194,0.39334940910339355,0.6021018624305725,0.31554722785949707,0.3221021294593811,0.5348826050758362,0.20942455530166626,0.21763689815998077,0.25369539856910706,0.29948410391807556,0.21848613023757935
harbored,0.2409910410642624,0.199815034866333,0.22701945900917053,0.21826742589473724,0.2644313871860504,0.2045583426952362,0.1377442628145218,0.22057269513607025,0.19492843747138977,0.17088203132152557,0.2342720329761505
osama,0.27870801091194153,0.1628030687570572,0.24427366256713867,0.331635981798172,0.19074784219264984,0.23866987228393555,0.1585261970758438,0.4982489049434662,0.27516376972198486,0.18163277208805084,0.2064143270254135
bin,0.1520003378391266,0.10957983136177063,0.15085823833942413,0.39539095759391785,0.19579695165157318,0.23488257825374603,0.20085443556308746,0.4620305597782135,0.156812384724617,0.13784396648406982,0.18378846347332
laden,0.23280669748783112,0.14622172713279724,0.24923722445964813,0.323975145816803,0.18224182724952698,0.2702222466468811,0.11118145287036896,0.4912815988063812,0.23559238016605377,0.1577356606721878,0.17972345650196075
for,0.3017193675041199,0.318512886762619,0.4739971458911896,0.22029340267181396,0.27246251702308655,0.4451248347759247,0.19352933764457703,0.11837603896856308,0.2402389794588089,0.3262052536010742,0.264628142118454
a,0.3320399522781372,0.2552328109741211,0.5829201340675354,0.3195236325263977,0.2632726728916168,0.45503583550453186,0.1509355753660202,0.2404065877199173,0.22200161218643188,0.2227657586336136,0.23916715383529663
time,0.36319252848625183,0.3567926585674286,0.43061500787734985,0.2712383568286896,0.2943682074546814,0.3679993152618408,0.3290661573410034,0.15526477992534637,0.2251998335123062,0.22697563469409943,0.27391523122787476
(,0.2411840260028839,0.18979617953300476,0.33289089798927307,0.35697418451309204,0.19152428209781647,0.30882009863853455,0.2386346310377121,0.12686777114868164,0.18016177415847778,0.17481690645217896,0.40561532974243164
before,0.3801657259464264,0.33642593026161194,0.45900648832321167,0.26368987560272217,0.31131309270858765,0.4190867841243744,0.1958666294813156,0.18667256832122803,0.1917210966348648,0.24549540877342224,0.2507109045982361
9/11,0.0893675833940506,-0.006570522673428059,-0.02810836210846901,0.18894517421722412,-0.033387649804353714,-0.041428953409194946,0.09189186990261078,0.02292121946811676,-0.016055092215538025,-0.08643380552530289,0.06211625784635544
),0.26259949803352356,0.18584993481636047,0.3456730246543884,0.37550508975982666,0.20285815000534058,0.31236231327056885,0.24103322625160217,0.16155245900154114,0.1945139318704605,0.17787303030490875,0.42300865054130554
