,if,the,average,u.s.,worker,were,to,complete,an,additional,year,of,school,",",what,amount,of,growth,would,be,generated,over,5,years,?
it,0.35967332124710083,0.6251175999641418,0.25883322954177856,0.011612125672399998,0.17925772070884705,0.25487732887268066,0.513711154460907,0.23172526061534882,0.39472338557243347,0.14385353028774261,0.2363913208246231,0.38761502504348755,0.22964634001255035,0.48329564929008484,0.45803478360176086,0.3270067572593689,0.38761502504348755,0.2740481495857239,0.36398744583129883,0.5203388929367065,0.21769145131111145,0.3669605255126953,0.03559829667210579,0.21688692271709442,0.25732165575027466
estimated,0.21445173025131226,0.29184040427207947,0.4024166464805603,-0.00517821591347456,0.17563435435295105,0.27105018496513367,0.2046545445919037,0.1759796440601349,0.19258958101272583,0.2571481168270111,0.21475832164287567,0.30473583936691284,0.11091415584087372,0.2654368579387665,0.19670580327510834,0.36823832988739014,0.30473583936691284,0.25213170051574707,0.23315586149692535,0.21316911280155182,0.295011043548584,0.35031139850616455,0.035070907324552536,0.3141830861568451,0.18149758875370026
that,0.5634250640869141,0.5473989248275757,0.2513456642627716,0.006652553100138903,0.18495090305805206,0.35517072677612305,0.5436353087425232,0.30512917041778564,0.365763783454895,0.2874574661254883,0.2826407253742218,0.41498205065727234,0.2190830111503601,0.4137537479400635,0.6297725439071655,0.3969508707523346,0.41498205065727234,0.26227322220802307,0.5895259380340576,0.6036020517349243,0.3362995386123657,0.3882925808429718,0.06977073848247528,0.27599525451660156,0.32716336846351624
if,1.0,0.33724796772003174,0.24052950739860535,0.12482057511806488,0.1652984768152237,0.1688997447490692,0.4559597074985504,0.26859959959983826,0.26347705721855164,0.2871832549571991,0.23539488017559052,0.2557544410228729,0.09458249062299728,0.257730096578598,0.5277165174484253,0.4133574068546295,0.2557544410228729,0.17337800562381744,0.5543612837791443,0.5628611445426941,0.3491567373275757,0.2865285277366638,0.08536272495985031,0.2103022336959839,0.4441644251346588
the,0.33724796772003174,1.0,0.27058175206184387,0.06592652946710587,0.19223305583000183,0.3906462490558624,0.535392165184021,0.277624249458313,0.4207492768764496,0.2539002597332001,0.3609684407711029,0.733189046382904,0.22953221201896667,0.4933079481124878,0.42745697498321533,0.3336862325668335,0.733189046382904,0.2912366986274719,0.4133751392364502,0.4248143136501312,0.27684199810028076,0.39856547117233276,0.09255307912826538,0.2912273406982422,0.22068053483963013
average,0.24052950739860535,0.27058175206184387,1.0,0.07241999357938766,0.1216302141547203,0.17036251723766327,0.2572915256023407,0.1755516082048416,0.27438971400260925,0.1379101574420929,0.2935159504413605,0.23717734217643738,0.10084234923124313,0.23098047077655792,0.24068789184093475,0.41291627287864685,0.23717734217643738,0.3035612404346466,0.205789715051651,0.20954380929470062,0.1477978378534317,0.23075373470783234,0.013141149654984474,0.20038852095603943,0.21764592826366425
united,0.21529598534107208,0.34367692470550537,0.15646378695964813,-0.016844162717461586,0.11534576117992401,0.21928317844867706,0.2715383470058441,0.10716066509485245,0.15972375869750977,0.16237109899520874,0.23911906778812408,0.3187655806541443,0.2464505136013031,0.3053959608078003,0.20036718249320984,0.19266128540039062,0.3187655806541443,0.17530947923660278,0.20624218881130219,0.20382754504680634,0.1939759999513626,0.25157564878463745,0.07590769976377487,0.2736840844154358,0.17266890406608582
states,0.2322414666414261,0.3463578522205353,0.15653255581855774,-0.013163301162421703,0.1103583499789238,0.19797217845916748,0.2828785181045532,0.1421813815832138,0.2041347622871399,0.1584399938583374,0.24276629090309143,0.30884552001953125,0.23234744369983673,0.3315127193927765,0.21526020765304565,0.1908635050058365,0.30884552001953125,0.1767372190952301,0.2281532734632492,0.24637973308563232,0.19377534091472626,0.2563806474208832,0.06689280271530151,0.28678232431411743,0.16272737085819244
worker,0.1652984768152237,0.19223305583000183,0.1216302141547203,-0.04734101518988609,1.0000001192092896,0.15384475886821747,0.16837060451507568,0.12631770968437195,0.21032008528709412,0.14683866500854492,0.14482562243938446,0.1631152182817459,0.17530307173728943,0.22260382771492004,0.17877663671970367,0.14789994060993195,0.1631152182817459,0.1726529449224472,0.22588400542736053,0.22217270731925964,0.07844549417495728,0.1379523128271103,0.03772539272904396,0.1746581792831421,0.1447860300540924
had,0.2436254769563675,0.3875846862792969,0.20466576516628265,0.11019495129585266,0.18191330134868622,0.6150832772254944,0.37984350323677063,0.23044535517692566,0.22327841818332672,0.25850483775138855,0.29678046703338623,0.37755560874938965,0.20507600903511047,0.35487717390060425,0.23849567770957947,0.26123666763305664,0.37755560874938965,0.1700197458267212,0.5436059832572937,0.35315439105033875,0.1700751632452011,0.3937615752220154,0.030117131769657135,0.36797329783439636,0.20728366076946259
