,how,many,cases,of,malaria,did,kenya,report,in,2006,?
kenya,0.17591707408428192,0.21882791817188263,0.08867434412240982,0.22226637601852417,0.22059012949466705,0.16214214265346527,1.0,0.1309794783592224,0.23621977865695953,-0.0975489616394043,0.17197901010513306
had,0.2549138069152832,0.40130746364593506,0.24723239243030548,0.37755560874938965,0.17106881737709045,0.540525496006012,0.16732941567897797,0.2547707259654999,0.385026752948761,-0.0334196574985981,0.20728366076946259
an,0.2520636022090912,0.2465583086013794,0.2589341998100281,0.32280945777893066,0.19325269758701324,0.22598257660865784,0.1525012105703354,0.18313995003700256,0.2605783939361572,0.0447457917034626,0.19793890416622162
estimated,0.21406520903110504,0.25811848044395447,0.20872820913791656,0.30473583936691284,0.2157878279685974,0.14494213461875916,0.17585888504981995,0.3419439494609833,0.2508986294269562,0.09714456647634506,0.18149758875370026
15,-0.005761355627328157,-0.02712528221309185,-0.134767547249794,-0.02319195494055748,0.013405608013272285,0.03605250269174576,0.03750402107834816,-0.04430293291807175,0.02424248494207859,0.020761361345648766,-0.010706285014748573
million,0.21114659309387207,0.3520967364311218,0.1843506395816803,0.21686489880084991,0.18089349567890167,0.1815238744020462,0.27429839968681335,0.208677738904953,0.2596224844455719,0.028120392933487892,0.23092924058437347
cases,0.28203916549682617,0.33842039108276367,1.0,0.31000128388404846,0.2988308072090149,0.16506758332252502,0.08867434412240982,0.25777921080589294,0.24487079679965973,0.1466808170080185,0.25599566102027893
of,0.2480744868516922,0.37253960967063904,0.31000128388404846,1.0,0.26847997307777405,0.2513895630836487,0.22226637601852417,0.22992923855781555,0.5696388483047485,0.10009169578552246,0.1826142966747284
malaria,0.25543704628944397,0.3072321116924286,0.2988308072090149,0.26847997307777405,1.0,0.1960831731557846,0.22059012949466705,0.17293335497379303,0.268545001745224,0.05131778120994568,0.2527943551540375
in,0.2601168751716614,0.41474202275276184,0.24487079679965973,0.5696388483047485,0.268545001745224,0.2593238651752472,0.23621977865695953,0.204250767827034,1.0,-0.04600946605205536,0.20430970191955566
2006,0.10067587345838547,0.10145369172096252,0.1466808170080185,0.10009169578552246,0.05131778120994568,-0.07636451721191406,-0.0975489616394043,-0.029079433530569077,-0.04600946605205536,1.0,-0.1194092258810997
.,0.3287222981452942,0.3974229395389557,0.29929009079933167,0.5352458953857422,0.28691521286964417,0.35288307070732117,0.24234211444854736,0.277835488319397,0.5591574311256409,-0.13838863372802734,0.4130953550338745
