,what,was,the,defeat,of,the,arab,troops,at,the,hand,of,the,israeli,troops,during,the,six-day,war,?
the,0.42745697498321533,0.48711544275283813,1.0,0.3182816207408905,0.733189046382904,1.0,0.2674407660961151,0.3229958415031433,0.457212895154953,1.0,0.253619521856308,0.733189046382904,1.0,0.14381162822246552,0.3229958415031433,0.4838213622570038,1.0,0.27213576436042786,0.366199791431427,0.22068053483963013
quick,0.2555945813655853,0.13649864494800568,0.23670247197151184,0.11445993185043335,0.18324702978134155,0.23670247197151184,0.12540879845619202,0.15906581282615662,0.2041032761335373,0.23670247197151184,0.28358548879623413,0.18324702978134155,0.23670247197151184,0.10403396189212799,0.15906581282615662,0.15327954292297363,0.23670247197151184,0.1912078857421875,0.14879991114139557,0.29684531688690186
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.23815137147903442,0.5116966962814331,0.5171257257461548,0.25018808245658875,0.23100681602954865,0.3571503460407257,0.5171257257461548,0.27956733107566833,0.5116966962814331,0.5171257257461548,0.21684624254703522,0.23100681602954865,0.36462149024009705,0.5171257257461548,0.2825620472431183,0.29695844650268555,0.20544172823429108
decisive,0.2539401054382324,0.23727372288703918,0.35583993792533875,0.5107356905937195,0.3097182810306549,0.35583993792533875,0.2470887452363968,0.4189513921737671,0.22970065474510193,0.35583993792533875,0.19940941035747528,0.3097182810306549,0.35583993792533875,0.16576814651489258,0.4189513921737671,0.2865365743637085,0.35583993792533875,0.1502477079629898,0.43133634328842163,0.22683534026145935
defeat,0.16252544522285461,0.24067381024360657,0.3182816207408905,1.0000001192092896,0.2543899118900299,0.3182816207408905,0.1281229704618454,0.48782339692115784,0.13423499464988708,0.3182816207408905,0.0980907529592514,0.2543899118900299,0.3182816207408905,0.12332063913345337,0.48782339692115784,0.2802099883556366,0.3182816207408905,0.1373395323753357,0.3819405138492584,0.12980464100837708
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2543899118900299,1.0,0.733189046382904,0.22039446234703064,0.23602326214313507,0.42558613419532776,0.733189046382904,0.18184109032154083,1.0,0.733189046382904,0.07325319200754166,0.23602326214313507,0.3869180977344513,0.733189046382904,0.18793506920337677,0.31680163741111755,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.3182816207408905,0.733189046382904,1.0,0.2674407660961151,0.3229958415031433,0.457212895154953,1.0,0.253619521856308,0.733189046382904,1.0,0.14381162822246552,0.3229958415031433,0.4838213622570038,1.0,0.27213576436042786,0.366199791431427,0.22068053483963013
arab,0.14742176234722137,0.20103047788143158,0.2674407660961151,0.1281229704618454,0.22039446234703064,0.2674407660961151,1.0,0.1967766433954239,0.11958547681570053,0.2674407660961151,0.042335037142038345,0.22039446234703064,0.2674407660961151,0.4360867142677307,0.1967766433954239,0.24468789994716644,0.2674407660961151,0.21004585921764374,0.24031506478786469,0.18450474739074707
troops,0.18311697244644165,0.2910937964916229,0.3229958415031433,0.48782339692115784,0.23602326214313507,0.3229958415031433,0.1967766433954239,1.0000001192092896,0.23513081669807434,0.3229958415031433,0.1442360132932663,0.23602326214313507,0.3229958415031433,0.20644041895866394,1.0000001192092896,0.34273743629455566,0.3229958415031433,0.12905867397785187,0.4551744759082794,0.14329779148101807
during,0.24137552082538605,0.4470829963684082,0.4838213622570038,0.2802099883556366,0.3869180977344513,0.4838213622570038,0.24468789994716644,0.34273743629455566,0.372769296169281,0.4838213622570038,0.18566516041755676,0.3869180977344513,0.4838213622570038,0.1417599618434906,0.34273743629455566,1.0,0.4838213622570038,0.33673596382141113,0.4802435040473938,0.1325719803571701
the,0.42745697498321533,0.48711544275283813,1.0,0.3182816207408905,0.733189046382904,1.0,0.2674407660961151,0.3229958415031433,0.457212895154953,1.0,0.253619521856308,0.733189046382904,1.0,0.14381162822246552,0.3229958415031433,0.4838213622570038,1.0,0.27213576436042786,0.366199791431427,0.22068053483963013
six-day,0.26781347393989563,0.36053356528282166,0.27213576436042786,0.1373395323753357,0.18793506920337677,0.27213576436042786,0.21004585921764374,0.12905867397785187,0.3303956091403961,0.27213576436042786,0.2012268751859665,0.18793506920337677,0.27213576436042786,0.18835534155368805,0.12905867397785187,0.33673596382141113,0.27213576436042786,1.0000001192092896,0.25230273604393005,0.2636443078517914
war,0.22516006231307983,0.3560331463813782,0.366199791431427,0.3819405138492584,0.31680163741111755,0.366199791431427,0.24031506478786469,0.4551744759082794,0.23910050094127655,0.366199791431427,0.20946207642555237,0.31680163741111755,0.366199791431427,0.2457856386899948,0.4551744759082794,0.4802435040473938,0.366199791431427,0.25230273604393005,1.0000001192092896,0.15510529279708862
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.22488872706890106,0.3646814823150635,0.4408751428127289,0.18655696511268616,0.2625257074832916,0.2368064820766449,0.4408751428127289,0.24163919687271118,0.3646814823150635,0.4408751428127289,0.19080610573291779,0.2625257074832916,0.3220438063144684,0.4408751428127289,0.22042247653007507,0.18974854052066803,0.17966607213020325
israeli,0.09620342403650284,0.22456848621368408,0.14381162822246552,0.12332063913345337,0.07325319200754166,0.14381162822246552,0.4360867142677307,0.20644041895866394,0.11355647444725037,0.14381162822246552,0.09268157184123993,0.07325319200754166,0.14381162822246552,1.0,0.20644041895866394,0.1417599618434906,0.14381162822246552,0.18835534155368805,0.2457856386899948,0.12899450957775116
troops,0.18311697244644165,0.2910937964916229,0.3229958415031433,0.48782339692115784,0.23602326214313507,0.3229958415031433,0.1967766433954239,1.0000001192092896,0.23513081669807434,0.3229958415031433,0.1442360132932663,0.23602326214313507,0.3229958415031433,0.20644041895866394,1.0000001192092896,0.34273743629455566,0.3229958415031433,0.12905867397785187,0.4551744759082794,0.14329779148101807
constituted,0.22958192229270935,0.2563793361186981,0.3523770868778229,0.20576006174087524,0.38538259267807007,0.3523770868778229,0.16240710020065308,0.2760649621486664,0.16481775045394897,0.3523770868778229,0.12408292293548584,0.38538259267807007,0.3523770868778229,0.07098878175020218,0.2760649621486664,0.2312130331993103,0.3523770868778229,0.14052806794643402,0.27654051780700684,0.18476234376430511
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.14495371282100677,0.5052502155303955,0.5829201340675354,0.1530216783285141,0.16708239912986755,0.3095070421695709,0.5829201340675354,0.2662425637245178,0.5052502155303955,0.5829201340675354,0.19268427789211273,0.16708239912986755,0.30341604351997375,0.5829201340675354,0.25002118945121765,0.2368277609348297,0.23916715383529663
pivotal,0.38660821318626404,0.3064550459384918,0.4188881814479828,0.2317901849746704,0.354938805103302,0.4188881814479828,0.17749004065990448,0.19105790555477142,0.21561850607395172,0.4188881814479828,0.31675848364830017,0.354938805103302,0.4188881814479828,0.18980437517166138,0.19105790555477142,0.3590060770511627,0.4188881814479828,0.3196454346179962,0.2555028796195984,0.21733060479164124
