,which,provinces,in,canada,limit,the,rights,of,pharmacists,in,prescribing,?
in,0.4840516746044159,0.21957094967365265,1.0,0.3175714612007141,0.18465836346149445,0.6662389636039734,0.17772755026817322,0.5696388483047485,0.22358480095863342,1.0,0.20819683372974396,0.20430970191955566
canada,0.25447994470596313,0.30629655718803406,0.3175714612007141,0.9999999403953552,0.16790227591991425,0.2934837341308594,0.19427800178527832,0.24765145778656006,0.18183308839797974,0.3175714612007141,0.16592112183570862,0.15722735226154327
",",0.3658004403114319,0.23710061609745026,0.5201468467712402,0.2656905949115753,0.2177477329969406,0.4933079481124878,0.2595706284046173,0.4946078956127167,0.22197484970092773,0.5201468467712402,0.155979186296463,0.31091248989105225
pharmacists,0.22686466574668884,0.112025685608387,0.22358480095863342,0.18183308839797974,0.20286022126674652,0.24311043322086334,0.1777670979499817,0.20506609976291656,1.0,0.22358480095863342,0.4358256757259369,0.1797308325767517
in,0.4840516746044159,0.21957094967365265,1.0,0.3175714612007141,0.18465836346149445,0.6662389636039734,0.17772755026817322,0.5696388483047485,0.22358480095863342,1.0,0.20819683372974396,0.20430970191955566
certain,0.5292714238166809,0.09808921813964844,0.2942397892475128,0.19198812544345856,0.41537848114967346,0.392071396112442,0.23865830898284912,0.40204232931137085,0.3926716446876526,0.2942397892475128,0.5185425877571106,0.2516106069087982
provinces,0.21791943907737732,1.0,0.21957094967365265,0.30629655718803406,0.17947562038898468,0.2539168894290924,0.07239508628845215,0.2959076762199402,0.112025685608387,0.21957094967365265,0.1190926656126976,0.10239427536725998
have,0.49652695655822754,0.13042975962162018,0.36843645572662354,0.19778946042060852,0.34179770946502686,0.40389683842658997,0.23298367857933044,0.3802283704280853,0.3271150588989258,0.36843645572662354,0.30074426531791687,0.32991164922714233
limited,0.3224162459373474,0.1473291516304016,0.23956921696662903,0.23456722497940063,0.44797009229660034,0.2757521867752075,0.30110180377960205,0.3373238146305084,0.20617042481899261,0.23956921696662903,0.2584596574306488,0.09444807469844818
prescribing,0.2823367714881897,0.1190926656126976,0.20819683372974396,0.16592112183570862,0.2807754874229431,0.1965688169002533,0.21753844618797302,0.20379936695098877,0.4358256757259369,0.20819683372974396,0.9999998807907104,0.19850890338420868
rights,0.1689544916152954,0.07239508628845215,0.17772755026817322,0.19427800178527832,0.21663568913936615,0.2579100430011749,0.9999999403953552,0.19425496459007263,0.1777670979499817,0.17772755026817322,0.21753844618797302,0.21814769506454468
(,0.2589828372001648,0.2196645438671112,0.3087427020072937,0.1885313093662262,0.25329461693763733,0.33289089798927307,0.17563141882419586,0.35032153129577637,0.14513295888900757,0.3087427020072937,0.11530140042304993,0.40561532974243164
as,0.41006597876548767,0.15771014988422394,0.3887844979763031,0.17753809690475464,0.2326194792985916,0.48381632566452026,0.23479478061199188,0.3886612355709076,0.21945327520370483,0.3887844979763031,0.2060590535402298,0.27043893933296204
in,0.4840516746044159,0.21957094967365265,1.0,0.3175714612007141,0.18465836346149445,0.6662389636039734,0.17772755026817322,0.5696388483047485,0.22358480095863342,1.0,0.20819683372974396,0.20430970191955566
alberta,0.17381179332733154,0.261314332485199,0.24256305396556854,0.5650766491889954,0.17509780824184418,0.21411189436912537,0.20394760370254517,0.18705151975154877,0.19061559438705444,0.24256305396556854,0.10114647448062897,0.1571173518896103
and,0.506277859210968,0.21712972223758698,0.4954058527946472,0.24275894463062286,0.2629512846469879,0.5171257257461548,0.26346641778945923,0.5116966962814331,0.26810887455940247,0.4954058527946472,0.2256254255771637,0.20544172823429108
british,0.2002234309911728,0.1477542668581009,0.23084034025669098,0.3552570641040802,0.09696395695209503,0.28973397612571716,0.14913320541381836,0.23701532185077667,0.18111710250377655,0.23084034025669098,0.18424127995967865,0.09711728990077972
columbia,0.2009134739637375,0.21724408864974976,0.23585394024848938,0.4484339654445648,0.1183331310749054,0.28484445810317993,0.16851425170898438,0.22274349629878998,0.2211679071187973,0.23585394024848938,0.10212025046348572,0.06882096827030182
),0.2758678197860718,0.2101515829563141,0.3326910734176636,0.20059916377067566,0.24518834054470062,0.3456730246543884,0.18886376917362213,0.3680361211299896,0.1354888379573822,0.3326910734176636,0.11341045796871185,0.42300865054130554
or,0.5105096101760864,0.19257672131061554,0.3586423695087433,0.19573712348937988,0.2768973112106323,0.4174870550632477,0.15300032496452332,0.3792596757411957,0.3148721754550934,0.3586423695087433,0.4153478145599365,0.32389625906944275
are,0.42922598123550415,0.21909941732883453,0.3841303884983063,0.1953287422657013,0.2355981469154358,0.40399202704429626,0.1375609040260315,0.39081433415412903,0.33935052156448364,0.3841303884983063,0.2667143940925598,0.24591213464736938
remunerated,0.35517826676368713,0.2871623635292053,0.25314000248908997,0.18521742522716522,0.19372136890888214,0.3282577693462372,0.1539071798324585,0.35700324177742004,0.09104456007480621,0.25314000248908997,0.3039165437221527,0.24853424727916718
by,0.40543368458747864,0.18567101657390594,0.370934396982193,0.16533993184566498,0.2317083477973938,0.4408751428127289,0.19225828349590302,0.3646814823150635,0.22679635882377625,0.370934396982193,0.18207333981990814,0.17966607213020325
