,what,are,the,``,big,five,'',animals,in,kenya,?
the,0.42745697498321533,0.40399202704429626,1.0,0.029072100296616554,0.308749794960022,0.41977158188819885,0.041273195296525955,0.2939487397670746,0.6662389636039734,0.21657514572143555,0.22068053483963013
``,0.008517155423760414,0.12624181807041168,0.029072100296616554,1.0,-0.0069975960068404675,0.09957177191972733,-0.09173435717821121,0.0818617045879364,0.04765888676047325,0.06875105202198029,0.0685480609536171
big,0.2788069546222687,0.22227714955806732,0.308749794960022,-0.0069975960068404675,1.0,0.20794814825057983,0.05268444865942001,0.22614343464374542,0.2359251081943512,0.13476471602916718,0.20497842133045197
five,0.18688078224658966,0.35638514161109924,0.41977158188819885,0.09957177191972733,0.20794814825057983,1.0,0.014149075374007225,0.16093134880065918,0.3634254038333893,0.16444720327854156,0.18342848122119904
'',0.08143015950918198,0.0263817198574543,0.041273195296525955,-0.09173435717821121,0.05268444865942001,0.014149075374007225,1.0,0.033727724105119705,0.07432962208986282,-0.08265174180269241,0.018684765323996544
game,0.2246788740158081,0.2047397643327713,0.285271555185318,-0.06292625516653061,0.20332641899585724,0.22464454174041748,0.07443881779909134,0.18921783566474915,0.23986028134822845,0.09808872640132904,0.1829071193933487
animals,0.26212990283966064,0.37765127420425415,0.2939487397670746,0.0818617045879364,0.22614343464374542,0.16093134880065918,0.033727724105119705,1.0000001192092896,0.26300355792045593,0.19450241327285767,0.16430135071277618
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.06780257821083069,0.2513701021671295,0.3980514109134674,0.13035868108272552,0.2599885165691376,0.5696388483047485,0.22226637601852417,0.1826142966747284
africa,0.19696469604969025,0.19885441660881042,0.2903064787387848,0.07715797424316406,0.16276459395885468,0.21902231872081757,-0.06821451336145401,0.30879464745521545,0.27806714177131653,0.4904056489467621,0.12926554679870605
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.09681109338998795,0.30276864767074585,0.3101605772972107,-0.037358131259679794,0.23067066073417664,0.5201468467712402,0.23432263731956482,0.31091248989105225
