,what,architecture,type,came,before,norman,in,england,?
in,0.30808621644973755,0.2624244689941406,0.20604541897773743,0.29996100068092346,0.4155850410461426,0.17613162100315094,1.0,0.33311840891838074,0.20430970191955566
england,0.21399550139904022,0.19321592152118683,0.12399406731128693,0.23194555938243866,0.23043961822986603,0.3501497805118561,0.33311840891838074,0.9999998807907104,0.13436897099018097
",",0.3087472915649414,0.2120368629693985,0.1804078221321106,0.3049119710922241,0.3156566619873047,0.20281735062599182,0.5201468467712402,0.2732875645160675,0.31091248989105225
the,0.42745697498321533,0.24488379061222076,0.21819381415843964,0.39390382170677185,0.45900648832321167,0.23459704220294952,0.6662389636039734,0.28280043601989746,0.22068053483963013
period,0.24507179856300354,0.24041076004505157,0.19952473044395447,0.24730585515499115,0.4123643934726715,0.13971193134784698,0.23051127791404724,0.214773491024971,0.18706195056438446
of,0.33290785551071167,0.2756515443325043,0.18112817406654358,0.3201526999473572,0.3282964527606964,0.15827171504497528,0.5696388483047485,0.24624483287334442,0.1826142966747284
norman,0.12319435924291611,0.28170034289360046,0.10488475859165192,0.21149052679538727,0.15565218031406403,1.0000001192092896,0.17613162100315094,0.3501497805118561,0.12243545055389404
architecture,0.23286667466163635,1.0,0.12609367072582245,0.1715448647737503,0.14299467206001282,0.28170034289360046,0.2624244689941406,0.19321592152118683,0.14343059062957764
immediately,0.3574325740337372,0.07935620844364166,0.13247986137866974,0.2594348192214966,0.4790164828300476,0.1361624151468277,0.30551162362098694,0.24976584315299988,0.21004259586334229
succeeds,0.15096993744373322,0.16750328242778778,0.06698261201381683,0.14951960742473602,0.21064603328704834,0.07658962905406952,0.12395995855331421,0.10823537409305573,0.19646503031253815
that,0.6297725439071655,0.21658357977867126,0.25817251205444336,0.31804272532463074,0.40745505690574646,0.14259429275989532,0.435920387506485,0.2558189034461975,0.32716336846351624
of,0.33290785551071167,0.2756515443325043,0.18112817406654358,0.3201526999473572,0.3282964527606964,0.15827171504497528,0.5696388483047485,0.24624483287334442,0.1826142966747284
the,0.42745697498321533,0.24488379061222076,0.21819381415843964,0.39390382170677185,0.45900648832321167,0.23459704220294952,0.6662389636039734,0.28280043601989746,0.22068053483963013
anglo-saxon,0.21924586594104767,0.23032958805561066,0.1509607434272766,0.2833956778049469,0.14447493851184845,0.4401918649673462,0.2107788622379303,0.4219241440296173,0.1810905784368515
and,0.31309178471565247,0.2369556725025177,0.16898801922798157,0.3049735128879547,0.3518902659416199,0.21611377596855164,0.4954058527946472,0.35173749923706055,0.20544172823429108
precedes,0.1915089339017868,0.2179781049489975,0.15074075758457184,0.15590716898441315,0.3102388381958008,0.1776377558708191,0.2101694941520691,0.14114288985729218,0.23953388631343842
the,0.42745697498321533,0.24488379061222076,0.21819381415843964,0.39390382170677185,0.45900648832321167,0.23459704220294952,0.6662389636039734,0.28280043601989746,0.22068053483963013
early,0.2454567849636078,0.23402099311351776,0.24463579058647156,0.43774276971817017,0.3959808051586151,0.23711061477661133,0.34672921895980835,0.2534618377685547,0.15272949635982513
gothic,0.19246235489845276,0.5176064968109131,0.20049333572387695,0.1827124059200287,0.1472206711769104,0.3267918527126312,0.28628116846084595,0.25198426842689514,0.16695094108581543
.,0.3567904531955719,0.21623484790325165,0.23195341229438782,0.26265060901641846,0.36693984270095825,0.24800069630146027,0.5591574311256409,0.31012484431266785,0.4130953550338745
