,what,second,part,of,air,was,deemed,lifeless,by,lavoisier,?
in,0.30808621644973755,0.34510284662246704,0.4499994218349457,0.5696388483047485,0.22172939777374268,0.45514053106307983,0.2179366648197174,0.24200990796089172,0.370934396982193,0.324543833732605,0.20430970191955566
that,0.6297725439071655,0.25411489605903625,0.37747326493263245,0.41498205065727234,0.19720019400119781,0.33670201897621155,0.34572604298591614,0.3930407762527466,0.37496164441108704,0.2734697759151459,0.32716336846351624
work,0.3762225806713104,0.16995584964752197,0.2006094753742218,0.23473061621189117,0.15196478366851807,0.24745555222034454,0.1974445879459381,0.24592512845993042,0.25005507469177246,0.2726167142391205,0.2621155381202698
",",0.3087472915649414,0.29927265644073486,0.3376222252845764,0.4946078956127167,0.24731357395648956,0.45456063747406006,0.24307559430599213,0.24336209893226624,0.3680937886238098,0.3282681107521057,0.31091248989105225
he,0.3114890456199646,0.2751937806606293,0.2723296284675598,0.38706058263778687,0.1551557034254074,0.5410010814666748,0.22965164482593536,0.25889238715171814,0.2485479861497879,0.2724253535270691,0.2089974731206894
proved,0.23704653978347778,0.19683311879634857,0.1547333002090454,0.2446507066488266,0.13091477751731873,0.3044681251049042,0.2824091911315918,0.2672271728515625,0.266084223985672,0.33592984080314636,0.1678566187620163
that,0.6297725439071655,0.25411489605903625,0.37747326493263245,0.41498205065727234,0.19720019400119781,0.33670201897621155,0.34572604298591614,0.3930407762527466,0.37496164441108704,0.2734697759151459,0.32716336846351624
air,0.10361403971910477,0.1602908968925476,0.15813080966472626,0.24196814000606537,1.0000001192092896,0.18898457288742065,0.09272561967372894,0.19626200199127197,0.19110813736915588,0.19386497139930725,0.1491677612066269
is,0.28837618231773376,0.3161451518535614,0.4582172930240631,0.4854315221309662,0.2280944287776947,0.5810302495956421,0.25401318073272705,0.2296481430530548,0.3899846076965332,0.22017990052700043,0.22961433231830597
a,0.3320399522781372,0.3655064105987549,0.3994528353214264,0.5052502155303955,0.23199330270290375,0.4508470594882965,0.20292270183563232,0.310132771730423,0.32094135880470276,0.27951565384864807,0.23916715383529663
mixture,0.187636598944664,0.0752318874001503,0.23427104949951172,0.2121577262878418,0.2197832614183426,0.19169344007968903,0.15565945208072662,0.21493272483348846,0.1752292662858963,0.2589784562587738,0.17455407977104187
of,0.33290785551071167,0.353416383266449,0.452393114566803,1.0,0.24196814000606537,0.4069072902202606,0.20366573333740234,0.284191757440567,0.3646814823150635,0.2657543122768402,0.1826142966747284
two,0.23363454639911652,0.3657524287700653,0.26158973574638367,0.37726253271102905,0.1828611046075821,0.27166637778282166,0.12504585087299347,0.16420774161815643,0.33852577209472656,0.21463671326637268,0.19645625352859497
gases,0.24276718497276306,0.12476241588592529,0.15013444423675537,0.217218816280365,0.41296401619911194,0.1416511833667755,0.12833981215953827,0.31726720929145813,0.21578241884708405,0.4282507598400116,0.1804526448249817
;,0.10986888408660889,0.037661533802747726,0.17379768192768097,0.054534342139959335,0.05248349905014038,0.0754367932677269,0.0514335110783577,0.05082530528306961,0.10469875484704971,0.0375005342066288,0.10349778085947037
