,along,with,poppet,valve,gears,",",what,type,of,gears,utilized,separate,admission,and,exhaust,valves,to,give,ideal,events,?
this,0.19873085618019104,0.36358317732810974,0.32584884762763977,0.2512601912021637,0.31708693504333496,0.4316047728061676,0.5489566326141357,0.36936521530151367,0.45148900151252747,0.31708693504333496,0.2632894217967987,0.3903748691082001,0.27523162961006165,0.42353692650794983,0.34295693039894104,0.2473006695508957,0.5759071707725525,0.3482663631439209,0.34491389989852905,0.29124999046325684,0.3155723512172699
expedient,0.18374799191951752,0.17150336503982544,0.2244250625371933,0.18242715299129486,0.16982167959213257,0.1746675670146942,0.23876047134399414,0.16201213002204895,0.22862349450588226,0.16982167959213257,0.2318337857723236,0.126801997423172,0.23529741168022156,0.25144314765930176,0.2689584493637085,0.18195925652980804,0.2719184458255768,0.17894864082336426,0.2729165256023407,0.17472194135189056,0.13108478486537933
has,0.27603578567504883,0.44092974066734314,0.2670822739601135,0.20150963962078094,0.20334264636039734,0.3734780251979828,0.20338068902492523,0.1795734018087387,0.3909035325050354,0.20334264636039734,0.14053016901016235,0.3094068467617035,0.2254832684993744,0.43716782331466675,0.1956801563501358,0.18650822341442108,0.3619994819164276,0.27658388018608093,0.21815840899944305,0.1587831825017929,0.15994466841220856
since,0.17021682858467102,0.3120420575141907,0.27098196744918823,0.18555669486522675,0.1902177780866623,0.3991432189941406,0.29783400893211365,0.17056550085544586,0.35513219237327576,0.1902177780866623,0.17945779860019684,0.24544517695903778,0.22100208699703217,0.3515571057796478,0.14194250106811523,0.16598378121852875,0.3733763098716736,0.20900897681713104,0.21808834373950958,0.1887703537940979,0.2876587212085724
been,0.235473170876503,0.2804456949234009,0.26471880078315735,0.17950855195522308,0.19887541234493256,0.34873589873313904,0.2567804455757141,0.19062602519989014,0.31685134768486023,0.19887541234493256,0.23656408488750458,0.3089825212955475,0.24673409759998322,0.3424558639526367,0.18835905194282532,0.16363081336021423,0.34945759177207947,0.23901012539863586,0.19329781830310822,0.18319553136825562,0.24354910850524902
generally,0.24098333716392517,0.33641812205314636,0.18107149004936218,0.16272683441638947,0.2577497363090515,0.29679131507873535,0.40614598989486694,0.30597037076950073,0.3127037584781647,0.2577497363090515,0.32958897948265076,0.3436586558818817,0.2598407566547394,0.4087323546409607,0.2670588493347168,0.23631471395492554,0.3871513605117798,0.2727033793926239,0.36857861280441284,0.20270936191082,0.23411904275417328
considered,0.1839529424905777,0.24176937341690063,0.1511024832725525,0.07935924082994461,0.20640739798545837,0.32932984828948975,0.2834889590740204,0.1710023581981659,0.4190242290496826,0.20640739798545837,0.276004433631897,0.2296890765428543,0.2404370903968811,0.3359341621398926,0.192369282245636,0.11363283544778824,0.2954166829586029,0.21368272602558136,0.3185499608516693,0.1796482503414154,0.19909770786762238
satisfactory,0.16553473472595215,0.27711203694343567,0.31054893136024475,0.17715710401535034,0.19751712679862976,0.18395842611789703,0.35536426305770874,0.17450512945652008,0.2102595567703247,0.19751712679862976,0.22140327095985413,0.15135060250759125,0.3329945206642151,0.20441359281539917,0.3109390437602997,0.19703030586242676,0.25405704975128174,0.3283751308917999,0.3567573130130768,0.1977515071630478,0.3431724011898041
for,0.249526709318161,0.39140474796295166,0.2628621459007263,0.15138281881809235,0.28432098031044006,0.4464869201183319,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.28432098031044006,0.2841069996356964,0.2631097137928009,0.27035728096961975,0.5064792633056641,0.261863648891449,0.12008462101221085,0.4451248347759247,0.41813769936561584,0.31194546818733215,0.2524527311325073,0.264628142118454
most,0.2380090206861496,0.336320698261261,0.23637603223323822,0.1752387434244156,0.25331592559814453,0.3636029064655304,0.3219912350177765,0.24228660762310028,0.4178851246833801,0.25331592559814453,0.2715805172920227,0.22655929625034332,0.15757904946804047,0.4309377074241638,0.18761076033115387,0.19750158488750458,0.321603000164032,0.26406097412109375,0.23521648347377777,0.21035604178905487,0.2107497900724411
purposes,0.16797716915607452,0.18704469501972198,0.1387750208377838,0.1655862182378769,0.3231664299964905,0.2406408190727234,0.2370537966489792,0.20196308195590973,0.2639778256416321,0.3231664299964905,0.3864190876483917,0.3397979140281677,0.31160491704940796,0.31643474102020264,0.23688121140003204,0.2455313503742218,0.31766510009765625,0.28419336676597595,0.2815343737602234,0.2595045566558838,0.15262550115585327
and,0.4213258922100067,0.5477725267410278,0.25431522727012634,0.2032567858695984,0.24915237724781036,0.6633074283599854,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.24915237724781036,0.24055632948875427,0.334524005651474,0.20120634138584137,1.0,0.2602611184120178,0.23570813238620758,0.48971283435821533,0.3040338158607483,0.24742640554904938,0.2040661722421646,0.20544172823429108
makes,0.22448304295539856,0.33933931589126587,0.23425446450710297,0.29504913091659546,0.3299805521965027,0.2926395535469055,0.2867553234100342,0.22716666758060455,0.2927091419696808,0.3299805521965027,0.22803832590579987,0.17887164652347565,0.19140395522117615,0.34688496589660645,0.2630070149898529,0.30302974581718445,0.35811367630958557,0.3750253915786743,0.24853166937828064,0.13319021463394165,0.22145044803619385
possible,0.16032437980175018,0.2800780236721039,0.19300265610218048,0.2671980559825897,0.26060694456100464,0.3032452464103699,0.3281886577606201,0.2157941311597824,0.3314395844936371,0.26060694456100464,0.29640519618988037,0.29453742504119873,0.24174925684928894,0.29339438676834106,0.31860849261283875,0.30596014857292175,0.4506641626358032,0.3287350833415985,0.4004894196987152,0.17751778662204742,0.3059970438480377
