,who,did,luther,remind,the,peasants,to,obey,?
luther,0.21013082563877106,0.23667675256729126,1.0,0.15281055867671967,0.1759674996137619,0.12856873869895935,0.18029534816741943,0.2040577530860901,0.1732746809720993
sympathised,0.33268362283706665,0.3554147779941559,0.2317713052034378,0.21933427453041077,0.3322198987007141,0.39184027910232544,0.28349289298057556,0.2704363465309143,0.10431460291147232
with,0.3282766342163086,0.25472134351730347,0.14705438911914825,0.30127349495887756,0.4223487675189972,0.18589089810848236,0.4239959120750427,0.21705478429794312,0.2433311939239502
some,0.3978389501571655,0.42553430795669556,0.2097044140100479,0.35954761505126953,0.4566698372364044,0.2769135534763336,0.4636894166469574,0.29190510511398315,0.2562315762042999
of,0.2827862501144409,0.2513895630836487,0.1719115972518921,0.2679741084575653,0.733189046382904,0.23470257222652435,0.41548454761505127,0.2418874055147171,0.1826142966747284
the,0.3733934462070465,0.34736719727516174,0.1759674996137619,0.31540173292160034,1.0,0.29513445496559143,0.535392165184021,0.20167401432991028,0.22068053483963013
peasants,0.32341358065605164,0.283174604177475,0.12856873869895935,0.15151259303092957,0.29513445496559143,0.9999998807907104,0.24425914883613586,0.2481650561094284,0.14431370794773102
',0.22534559667110443,0.25488927960395813,0.142246812582016,0.21398894488811493,0.474788099527359,0.15440165996551514,0.34544456005096436,0.13608360290527344,0.330942302942276
grievances,0.3035542964935303,0.2807956039905548,0.2737121284008026,0.36882802844047546,0.29952749609947205,0.44703131914138794,0.341432124376297,0.2983607351779938,0.2245728075504303
",",0.3365725874900818,0.3015086054801941,0.23255878686904907,0.26736217737197876,0.4933079481124878,0.23394730687141418,0.44245919585227966,0.19555585086345673,0.31091248989105225
as,0.3923053741455078,0.3596470057964325,0.20242992043495178,0.3042794466018677,0.48381632566452026,0.20992252230644226,0.42092081904411316,0.23308977484703064,0.27043893933296204
he,0.5500732064247131,0.3292143940925598,0.2454872578382492,0.20785747468471527,0.4571082592010498,0.26979172229766846,0.385390967130661,0.26385730504989624,0.2089974731206894
showed,0.2253786325454712,0.36768215894699097,0.1428154706954956,0.2034754902124405,0.3101346790790558,0.1269533783197403,0.2083204984664917,0.2598411440849304,0.17389845848083496
in,0.2792111933231354,0.2593238651752472,0.20523880422115326,0.18281453847885132,0.6662389636039734,0.2750670909881592,0.45010748505592346,0.16623938083648682,0.20430970191955566
his,0.44966956973075867,0.3546801507472992,0.27093374729156494,0.22014057636260986,0.4394008219242096,0.26120516657829285,0.3715193271636963,0.2378380447626114,0.18075084686279297
response,0.2218329906463623,0.23455248773097992,0.21941745281219482,0.30881235003471375,0.28909924626350403,0.16990062594413757,0.277526319026947,0.2721728980541229,0.2007838636636734
to,0.42656609416007996,0.4452643394470215,0.18029534816741943,0.3431864380836487,0.535392165184021,0.24425914883613586,1.0,0.2649046778678894,0.29463258385658264
the,0.3733934462070465,0.34736719727516174,0.1759674996137619,0.31540173292160034,1.0,0.29513445496559143,0.535392165184021,0.20167401432991028,0.22068053483963013
twelve,0.22181583940982819,0.1956946700811386,0.18882647156715393,0.18860770761966705,0.3255734145641327,0.14129680395126343,0.24784527719020844,0.19668351113796234,0.06192852556705475
articles,0.2812257707118988,0.23725460469722748,0.1518269032239914,0.27807995676994324,0.29016247391700745,0.18781790137290955,0.3171195685863495,0.16212806105613708,0.44680753350257874
in,0.2792111933231354,0.2593238651752472,0.20523880422115326,0.18281453847885132,0.6662389636039734,0.2750670909881592,0.45010748505592346,0.16623938083648682,0.20430970191955566
may,0.23082798719406128,0.3038632869720459,0.16082176566123962,0.20550937950611115,0.2694292366504669,0.183795765042305,0.391582727432251,0.12327372282743454,0.2768254578113556
1525,0.1364392787218094,0.19781608879566193,0.1513497233390808,0.11685608327388763,0.1667099893093109,0.18582522869110107,0.11687613278627396,0.22768805921077728,0.09607826918363571
",",0.3365725874900818,0.3015086054801941,0.23255878686904907,0.26736217737197876,0.4933079481124878,0.23394730687141418,0.44245919585227966,0.19555585086345673,0.31091248989105225
but,0.4487357437610626,0.49033689498901367,0.20694120228290558,0.43764516711235046,0.4859698414802551,0.25131332874298096,0.5542377829551697,0.3085176348686218,0.27921953797340393
he,0.5500732064247131,0.3292143940925598,0.2454872578382492,0.20785747468471527,0.4571082592010498,0.26979172229766846,0.385390967130661,0.26385730504989624,0.2089974731206894
reminded,0.3605627119541168,0.31783339381217957,0.15495644509792328,0.8229423761367798,0.3055819272994995,0.19430406391620636,0.3383727967739105,0.2773279547691345,0.33089837431907654
the,0.3733934462070465,0.34736719727516174,0.1759674996137619,0.31540173292160034,1.0,0.29513445496559143,0.535392165184021,0.20167401432991028,0.22068053483963013
aggrieved,0.2675955891609192,0.2639029026031494,0.2146090716123581,0.17896313965320587,0.24879460036754608,0.2275649756193161,0.24543610215187073,0.16618132591247559,0.29966026544570923
to,0.42656609416007996,0.4452643394470215,0.18029534816741943,0.3431864380836487,0.535392165184021,0.24425914883613586,1.0,0.2649046778678894,0.29463258385658264
obey,0.33251282572746277,0.343299001455307,0.2040577530860901,0.2819739878177643,0.20167401432991028,0.2481650561094284,0.2649046778678894,0.9999999403953552,0.20692269504070282
the,0.3733934462070465,0.34736719727516174,0.1759674996137619,0.31540173292160034,1.0,0.29513445496559143,0.535392165184021,0.20167401432991028,0.22068053483963013
temporal,0.14885669946670532,0.09875960648059845,0.12009754776954651,0.17708300054073334,0.2737490236759186,0.12268698960542679,0.17631512880325317,0.11610569059848785,0.12547989189624786
authorities,0.22600257396697998,0.30031415820121765,0.19037100672721863,0.18390226364135742,0.2784515917301178,0.3952372968196869,0.29137885570526123,0.31195366382598877,0.17285770177841187
.,0.3541337847709656,0.35288307070732117,0.24907569587230682,0.32572871446609497,0.5934505462646484,0.19590462744235992,0.4645031690597534,0.20665310323238373,0.4130953550338745
