,why,do,police,and,fire,services,fall,under,the,purview,of,the,scottish,parliament,?
all,0.3601224720478058,0.38664430379867554,0.12135450541973114,0.4542157053947449,0.20096057653427124,0.2722949981689453,0.248524472117424,0.27064406871795654,0.4860881567001343,0.20258677005767822,0.42798417806625366,0.4860881567001343,0.10985156148672104,0.15717768669128418,0.29575422406196594
matters,0.32092511653900146,0.29232457280158997,0.24731837213039398,0.3753611743450165,0.13092832267284393,0.3393048942089081,0.15469200909137726,0.2166360467672348,0.32925453782081604,0.2780410349369049,0.298933744430542,0.32925453782081604,0.19743740558624268,0.33087170124053955,0.3182642459869385
that,0.5601457357406616,0.44533252716064453,0.2659316062927246,0.4731321930885315,0.22560954093933105,0.2574901282787323,0.2639525830745697,0.26447200775146484,0.5473989248275757,0.306889146566391,0.41498205065727234,0.5473989248275757,0.1999964714050293,0.17629513144493103,0.32716336846351624
are,0.3273901343345642,0.41111594438552856,0.18255393207073212,0.48576638102531433,0.15609590709209442,0.26135778427124023,0.14641925692558289,0.2196284979581833,0.40399202704429626,0.17965683341026306,0.39081433415412903,0.40399202704429626,0.15686963498592377,0.09480422735214233,0.24591213464736938
not,0.5504072904586792,0.6619802713394165,0.17695468664169312,0.39099299907684326,0.16487717628479004,0.1838320642709732,0.26294949650764465,0.21131709218025208,0.4310511648654938,0.27754026651382446,0.3307090103626251,0.4310511648654938,0.19732609391212463,0.22406005859375,0.41942933201789856
specifically,0.35706284642219543,0.26428472995758057,0.14468848705291748,0.25041860342025757,0.13734419643878937,0.2536346912384033,0.16642217338085175,0.24547520279884338,0.3760298490524292,0.21641813218593597,0.24232523143291473,0.3760298490524292,0.15806329250335693,0.11623559892177582,0.2063003033399582
reserved,0.1651800274848938,0.32901090383529663,0.1895349621772766,0.19763082265853882,0.06983017176389694,0.2646995484828949,0.05373486503958702,0.19216792285442352,0.23639146983623505,0.16484123468399048,0.22991587221622467,0.23639146983623505,0.10959164053201675,0.18815168738365173,0.1177138090133667
are,0.3273901343345642,0.41111594438552856,0.18255393207073212,0.48576638102531433,0.15609590709209442,0.26135778427124023,0.14641925692558289,0.2196284979581833,0.40399202704429626,0.17965683341026306,0.39081433415412903,0.40399202704429626,0.15686963498592377,0.09480422735214233,0.24591213464736938
automatically,0.3343273103237152,0.32174116373062134,0.2533920109272003,0.23826371133327484,0.20552511513233185,0.24716873466968536,0.14487126469612122,0.24687525629997253,0.3352123200893402,0.15949659049510956,0.23222213983535767,0.3352123200893402,0.06928142160177231,0.18414808809757233,0.3093365430831909
devolved,0.1898830384016037,0.2136978805065155,0.2507981061935425,0.3572544753551483,0.2429877370595932,0.28505921363830566,0.16677771508693695,0.23966944217681885,0.39628729224205017,0.24406059086322784,0.40449368953704834,0.39628729224205017,0.3193187713623047,0.4902958273887634,0.1570919156074524
to,0.4100138247013092,0.38876664638519287,0.27044278383255005,0.48971283435821533,0.2020210474729538,0.27867045998573303,0.1966593861579895,0.27177539467811584,0.535392165184021,0.26671260595321655,0.41548454761505127,0.535392165184021,0.1268421709537506,0.20290622115135193,0.29463258385658264
the,0.30742117762565613,0.30239659547805786,0.2206914722919464,0.5171257257461548,0.2911929488182068,0.2381475418806076,0.3639753758907318,0.3348022699356079,1.0,0.2987491190433502,0.733189046382904,1.0,0.21724988520145416,0.26521381735801697,0.22068053483963013
scottish,0.13285359740257263,0.12884511053562164,0.1861943006515503,0.2972351908683777,0.12182056903839111,0.1373308151960373,0.11999673396348953,0.12902995944023132,0.21724988520145416,0.1708000749349594,0.1698460429906845,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.06442669779062271
parliament,0.1733766794204712,0.12404073029756546,0.2838539779186249,0.26227831840515137,0.18171873688697815,0.26480618119239807,0.08439109474420547,0.12533904612064362,0.26521381735801697,0.17395098507404327,0.2885259687900543,0.26521381735801697,0.3418616056442261,1.0,0.1586504578590393
