,how,much,did,advertising,revenue,increase,for,abc,between,1953,and,1958,?
despite,0.180110901594162,0.2832052707672119,0.38115930557250977,0.19232867658138275,0.223995640873909,0.23392581939697266,0.3311030864715576,0.12051708251237869,0.19499841332435608,-0.015765303745865822,0.3150249719619751,0.029278753325343132,0.14350546896457672
an,0.2520636022090912,0.2866077721118927,0.22598257660865784,0.20927992463111877,0.13182252645492554,0.22955887019634247,0.3236706852912903,0.16561369597911835,0.18003802001476288,0.018363051116466522,0.2838519215583801,0.06997165828943253,0.19793890416622162
almost,0.23828135430812836,0.348380982875824,0.29008886218070984,0.1730705350637436,0.147674560546875,0.2915613055229187,0.3211694657802582,0.13141143321990967,0.25603580474853516,0.03313479572534561,0.36736544966697693,0.026154890656471252,0.1372147500514984
500,-0.08018337935209274,-0.09097135812044144,-0.19424214959144592,0.00906558521091938,0.004263363778591156,0.03826798126101494,-0.03065328672528267,-0.04337446019053459,0.031018763780593872,-0.07417809963226318,-0.00014761538477614522,-0.10005713254213333,0.05473969131708145
%,0.1237400695681572,0.26866111159324646,0.1450016051530838,0.11189437657594681,0.220108300447464,0.3205886483192444,0.16658860445022583,0.061222776770591736,0.18733492493629456,-0.09955206513404846,0.24616369605064392,-0.06129305809736252,0.21441808342933655
increase,0.29766717553138733,0.37088197469711304,0.15550044178962708,0.18350611627101898,0.29200440645217896,1.0,0.26647913455963135,0.08817001432180405,0.2656986117362976,-0.049310021102428436,0.2751924991607666,0.07828143239021301,0.11119163036346436
in,0.2601168751716614,0.2725222110748291,0.2593238651752472,0.1743171364068985,0.18208861351013184,0.25893163681030273,0.4322226941585541,0.1697147786617279,0.41100412607192993,0.06370333582162857,0.4954058527946472,0.03953266516327858,0.20430970191955566
advertising,0.17877766489982605,0.2643781304359436,0.21803075075149536,1.0000001192092896,0.3858579993247986,0.18350611627101898,0.25178438425064087,0.1800631880760193,0.12006881833076477,0.04314155876636505,0.19678813219070435,-0.0036088854540139437,0.23602379858493805
revenues,0.23426076769828796,0.2925325632095337,0.24009837210178375,0.3967459201812744,0.879514753818512,0.34026777744293213,0.28925660252571106,0.20170192420482635,0.22592400014400482,0.05807837098836899,0.29090431332588196,-0.01038912869989872,0.17646004259586334
between,0.2747800648212433,0.2654217481613159,0.16542956233024597,0.12006881833076477,0.1576097309589386,0.2656986117362976,0.24671313166618347,0.07610002905130386,0.9999999403953552,0.11734151840209961,0.40645647048950195,0.022778889164328575,0.12887074053287506
1953,0.01538136787712574,0.06052681431174278,0.024656908586621284,0.04314155876636505,0.0552445650100708,-0.049310021102428436,0.0068122996017336845,0.027935892343521118,0.11734151840209961,0.9999999403953552,0.03154578432440758,0.1707249879837036,-0.048926934599876404
and,0.33647966384887695,0.38395699858665466,0.34479495882987976,0.19678813219070435,0.22809793055057526,0.2751924991607666,0.5064792633056641,0.16453155875205994,0.40645647048950195,0.03154578432440758,1.0,0.08034233748912811,0.20544172823429108
1958,0.12546686828136444,0.09112892299890518,0.05006914213299751,-0.0036088854540139437,0.015133329667150974,0.07828143239021301,0.048065897077322006,-0.041616421192884445,0.022778889164328575,0.1707249879837036,0.08034233748912811,1.0000001192092896,0.009362862445414066
",",0.22659391164779663,0.36182254552841187,0.3015086054801941,0.24089011549949646,0.18225017189979553,0.20005576312541962,0.4464869201183319,0.2097204476594925,0.27714940905570984,0.05012056231498718,0.6633074283599854,0.04944115877151489,0.31091248989105225
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,0.2048189342021942,0.22562649846076965,0.32049667835235596,0.4739971458911896,0.2068762183189392,0.39067012071609497,0.10330186039209366,0.5171257257461548,0.1250157356262207,0.22068053483963013
network,0.22464405000209808,0.1864682137966156,0.08572790026664734,0.23388250172138214,0.20015016198158264,0.1918552666902542,0.253274142742157,0.4295894205570221,0.2824346423149109,0.13234290480613708,0.27591994404792786,-0.010311247780919075,0.17853789031505585
only,0.36590442061424255,0.411008358001709,0.4039593040943146,0.21718372404575348,0.1994836926460266,0.2828299403190613,0.49157920479774475,0.1885126382112503,0.3298133313655853,0.009836005046963692,0.4542345404624939,0.08407031744718552,0.2767370045185089
