,when,did,zhu,shijie,die,?
the,0.5091903209686279,0.34736719727516174,0.18920078873634338,0.2649824321269989,0.2242266982793808,0.22068053483963013
mathematician,0.15650776028633118,0.16927407681941986,0.19151900708675385,0.19410592317581177,0.1253853589296341,0.11787978559732437
zhu,0.15504854917526245,0.10236618667840958,1.0,0.4761301875114441,0.1055532842874527,0.1967044323682785
shijie,0.18529286980628967,0.13883963227272034,0.4761301875114441,1.0,0.23052100837230682,0.2173389345407486
(,0.2459595799446106,0.18979617953300476,0.18246231973171234,0.2962258458137512,0.11772811412811279,0.40561532974243164
1249–1314,0.11511583626270294,0.08289803564548492,0.03804092854261398,0.08236446976661682,0.02604660578072071,-0.007821708917617798
),0.2538422644138336,0.18584993481636047,0.18711809813976288,0.3036794662475586,0.12597857415676117,0.42300865054130554
solved,0.25909438729286194,0.189043328166008,0.06525500863790512,0.07328561693429947,0.07692041248083115,0.2692696750164032
simultaneous,0.22395484149456024,0.09737241268157959,0.039272740483284,0.09556255489587784,0.12990255653858185,0.13119907677173615
equations,0.2736402750015259,0.199812114238739,0.1447506994009018,0.12992103397846222,0.1501026749610901,0.2186179906129837
with,0.5075214505195618,0.25472134351730347,0.12269148975610733,0.20312434434890747,0.12030825018882751,0.2433311939239502
up,0.3850642144680023,0.21613863110542297,0.032322123646736145,0.15018756687641144,0.1750212013721466,0.1819818764925003
to,0.5423505902290344,0.4452643394470215,0.10538344085216522,0.16639210283756256,0.14746613800525665,0.29463258385658264
four,0.2677527964115143,0.20222175121307373,0.10839420557022095,0.1679304838180542,0.19115537405014038,0.14532537758350372
unknowns,0.19808043539524078,0.20865829288959503,0.17531684041023254,0.12046018987894058,0.1671341210603714,0.27923592925071716
using,0.4100514352321625,0.25429773330688477,0.18496979773044586,0.1315261870622635,0.04479048401117325,0.2804589569568634
a,0.44397395849227905,0.2552328109741211,0.1336764544248581,0.21693392097949982,0.18494991958141327,0.23916715383529663
rectangular,0.18979167938232422,0.0896705836057663,0.05465885251760483,0.15803839266300201,0.0034494358114898205,0.07737480103969574
array,0.16861309111118317,0.08377701789140701,0.062654048204422,0.09451770037412643,0.06327884644269943,0.18988128006458282
of,0.3757161796092987,0.2513895630836487,0.13071636855602264,0.23057347536087036,0.21324244141578674,0.1826142966747284
coefficients,0.20564332604408264,0.13183416426181793,0.1444000005722046,0.11657441407442093,0.07953738421201706,0.1705290824174881
",",0.36674630641937256,0.3015086054801941,0.1870507150888443,0.3038581907749176,0.23915338516235352,0.31091248989105225
equivalent,0.18282638490200043,0.1266607940196991,0.14747463166713715,0.1456366926431656,0.053951047360897064,0.19755122065544128
to,0.5423505902290344,0.4452643394470215,0.10538344085216522,0.16639210283756256,0.14746613800525665,0.29463258385658264
modern,0.19283193349838257,0.21376098692417145,0.10818570107221603,0.19900153577327728,0.09224876761436462,0.12475407868623734
matrices,0.25923776626586914,0.21005600690841675,0.12699919939041138,0.18101446330547333,0.18655019998550415,0.18485578894615173
.,0.475719153881073,0.35288307070732117,0.23651371896266937,0.27449727058410645,0.2658497095108032,0.4130953550338745
