,what,serves,as,a,biological,barrier,by,competing,for,space,and,food,in,the,gi,tract,?
within,0.2498195916414261,0.27093639969825745,0.2626299560070038,0.3858051896095276,0.2856467664241791,0.1826174408197403,0.28621017932891846,0.20598556101322174,0.3087334632873535,0.24413608014583588,0.35049548745155334,0.1640571504831314,0.40576374530792236,0.39827480912208557,0.06440024822950363,0.1650604009628296,0.1870293766260147
the,0.42745697498321533,0.3302452266216278,0.48381632566452026,0.5829201340675354,0.22739484906196594,0.32808300852775574,0.4408751428127289,0.25845134258270264,0.4739971458911896,0.24495907127857208,0.5171257257461548,0.3025728166103363,0.6662389636039734,1.0,0.14100977778434753,0.2717020511627197,0.22068053483963013
genitourinary,0.23110121488571167,0.2047494500875473,0.2691800892353058,0.339708149433136,0.31723782420158386,0.26598477363586426,0.23934143781661987,0.27519169449806213,0.23362012207508087,0.16837766766548157,0.34461379051208496,0.2832184135913849,0.32273584604263306,0.3590944707393646,0.23219023644924164,0.48845231533050537,0.19126112759113312
and,0.31309178471565247,0.26724833250045776,0.49487000703811646,0.3739250600337982,0.2600950002670288,0.28187382221221924,0.4289871156215668,0.2726985812187195,0.5064792633056641,0.22901733219623566,1.0,0.31356173753738403,0.4954058527946472,0.5171257257461548,0.17192573845386505,0.22782114148139954,0.20544172823429108
gastrointestinal,0.2256762981414795,0.23901307582855225,0.17139308154582977,0.2440878450870514,0.38007470965385437,0.25793421268463135,0.13902083039283752,0.12524375319480896,0.19403333961963654,0.19364137947559357,0.2560664713382721,0.37986621260643005,0.221413254737854,0.2552933990955353,0.2009713500738144,0.5679513216018677,0.20382177829742432
tracts,0.15946510434150696,0.2026960849761963,0.13549703359603882,0.19952896237373352,0.17032480239868164,0.19897232949733734,0.22360481321811676,0.15308153629302979,0.11524807661771774,0.057499825954437256,0.2231496423482895,0.25879183411598206,0.1420632302761078,0.2607915997505188,0.09996248036623001,0.7698282599449158,0.0587497279047966
",",0.3087472915649414,0.24305880069732666,0.48816442489624023,0.427140474319458,0.24283190071582794,0.23170435428619385,0.3680937886238098,0.24155019223690033,0.4464869201183319,0.2285580337047577,0.6633074283599854,0.2870374023914337,0.5201468467712402,0.4933079481124878,0.20532312989234924,0.22688284516334534,0.31091248989105225
commensal,0.22648678719997406,0.2187022566795349,0.32741084694862366,0.28374674916267395,0.49614623188972473,0.2960522174835205,0.20237919688224792,0.22502873837947845,0.2683046758174896,0.14665542542934418,0.2978975176811218,0.2925644516944885,0.2702420651912689,0.27972808480262756,0.07951544225215912,0.3538529574871063,0.2187512069940567
flora,0.13238652050495148,0.06377195566892624,0.170885369181633,0.16544418036937714,0.3461587727069855,0.13406367599964142,0.17452411353588104,0.11773976683616638,0.12300649285316467,0.07651949673891068,0.2078494280576706,0.24901370704174042,0.17919102311134338,0.20268896222114563,0.08421523123979568,0.2382756620645523,0.1372746229171753
serve,0.23061832785606384,0.6682161092758179,0.3768509030342102,0.22927480936050415,0.21441741287708282,0.15363705158233643,0.1410149484872818,0.19298537075519562,0.36519864201545715,0.19689218699932098,0.27672067284584045,0.3265098035335541,0.20702329277992249,0.2749462425708771,0.08385246992111206,0.17781752347946167,0.19925682246685028
as,0.31749409437179565,0.29644614458084106,1.0,0.39550232887268066,0.28737345337867737,0.18706054985523224,0.3815547823905945,0.27776309847831726,0.44774648547172546,0.1954064816236496,0.49487000703811646,0.22014351189136505,0.3887844979763031,0.48381632566452026,0.1357491910457611,0.13274075090885162,0.27043893933296204
biological,0.23008453845977783,0.1857137531042099,0.28737345337867737,0.24098026752471924,1.0,0.3007051348686218,0.21979595720767975,0.19897568225860596,0.2383347600698471,0.1839599311351776,0.2600950002670288,0.24529753625392914,0.22642338275909424,0.22739484906196594,0.13891568779945374,0.19746676087379456,0.15755151212215424
barriers,0.22092224657535553,0.13074080646038055,0.15796904265880585,0.23114445805549622,0.32194775342941284,0.8158993721008301,0.23370254039764404,0.2819460928440094,0.2263556271791458,0.1922183483839035,0.28109604120254517,0.21959860622882843,0.19009177386760712,0.2820606231689453,0.1590222269296646,0.24653950333595276,0.12831342220306396
by,0.2455483376979828,0.10524222254753113,0.3815547823905945,0.32094135880470276,0.21979595720767975,0.21963214874267578,1.0000001192092896,0.1606784611940384,0.3248702883720398,0.16067887842655182,0.4289871156215668,0.18961425125598907,0.370934396982193,0.4408751428127289,0.13702164590358734,0.21239453554153442,0.17966607213020325
competing,0.24616995453834534,0.17183615267276764,0.27776309847831726,0.18894045054912567,0.19897568225860596,0.26366138458251953,0.1606784611940384,1.0000001192092896,0.2876717746257782,0.04339156299829483,0.2726985812187195,0.1802666187286377,0.24096709489822388,0.25845134258270264,0.15706922113895416,0.1114564761519432,0.1428171843290329
with,0.2464839518070221,0.2114870548248291,0.40387406945228577,0.3783375024795532,0.24852746725082397,0.2033490687608719,0.39731505513191223,0.2466994822025299,0.39140474796295166,0.1992894560098648,0.5477725267410278,0.1450924277305603,0.4080928862094879,0.4223487675189972,0.08919685333967209,0.16478216648101807,0.2433311939239502
pathogenic,0.24710004031658173,0.14299814403057098,0.22838051617145538,0.23271779716014862,0.5424544811248779,0.3601799011230469,0.21391171216964722,0.21119338274002075,0.2094208151102066,0.18939931690692902,0.19545722007751465,0.3058943748474121,0.17798255383968353,0.22214651107788086,0.19306114315986633,0.4223136305809021,0.18786093592643738
bacteria,0.1863701492547989,0.04385827109217644,0.2039324790239334,0.19924654066562653,0.42512208223342896,0.2340957373380661,0.22791919112205505,0.14106592535972595,0.191389262676239,0.20040559768676758,0.2316904515028,0.35282066464424133,0.1903567910194397,0.1839996725320816,0.11519093066453934,0.3538498878479004,0.18786604702472687
for,0.3017193675041199,0.3172421455383301,0.44774648547172546,0.44038116931915283,0.2383347600698471,0.14429989457130432,0.3248702883720398,0.2876717746257782,0.9999999403953552,0.24232043325901031,0.5064792633056641,0.3431052565574646,0.4322226941585541,0.4739971458911896,0.17495164275169373,0.0944834053516388,0.264628142118454
food,0.23540689051151276,0.25330641865730286,0.22014351189136505,0.24320901930332184,0.24529753625392914,0.17311601340770721,0.18961425125598907,0.1802666187286377,0.3431052565574646,0.18125411868095398,0.31356173753738403,1.0,0.21391697227954865,0.3025728166103363,0.1844678521156311,0.18159888684749603,0.15376032888889313
and,0.31309178471565247,0.26724833250045776,0.49487000703811646,0.3739250600337982,0.2600950002670288,0.28187382221221924,0.4289871156215668,0.2726985812187195,0.5064792633056641,0.22901733219623566,1.0,0.31356173753738403,0.4954058527946472,0.5171257257461548,0.17192573845386505,0.22782114148139954,0.20544172823429108
space,0.20525942742824554,0.15074822306632996,0.1954064816236496,0.20296213030815125,0.1839599311351776,0.20668402314186096,0.16067887842655182,0.04339156299829483,0.24232043325901031,1.0000001192092896,0.22901733219623566,0.18125411868095398,0.17648501694202423,0.24495907127857208,0.1683642715215683,0.0760963186621666,0.1885536164045334
and,0.31309178471565247,0.26724833250045776,0.49487000703811646,0.3739250600337982,0.2600950002670288,0.28187382221221924,0.4289871156215668,0.2726985812187195,0.5064792633056641,0.22901733219623566,1.0,0.31356173753738403,0.4954058527946472,0.5171257257461548,0.17192573845386505,0.22782114148139954,0.20544172823429108
",",0.3087472915649414,0.24305880069732666,0.48816442489624023,0.427140474319458,0.24283190071582794,0.23170435428619385,0.3680937886238098,0.24155019223690033,0.4464869201183319,0.2285580337047577,0.6633074283599854,0.2870374023914337,0.5201468467712402,0.4933079481124878,0.20532312989234924,0.22688284516334534,0.31091248989105225
in,0.30808621644973755,0.2791841924190521,0.3887844979763031,0.539380669593811,0.22642338275909424,0.21822910010814667,0.370934396982193,0.24096709489822388,0.4322226941585541,0.17648501694202423,0.4954058527946472,0.21391697227954865,1.0,0.6662389636039734,0.10754874348640442,0.1937946081161499,0.20430970191955566
