,what,doctor,who,spin-off,series,was,commissioned,by,the,bbc,?
following,0.2506418824195862,0.08787775039672852,0.1758657693862915,0.1808706670999527,0.1420508325099945,0.16493390500545502,0.15500880777835846,0.25132864713668823,0.39779382944107056,0.15400998294353485,0.1555173695087433
the,0.42745697498321533,0.2820442318916321,0.3733934462070465,0.24405531585216522,0.31376904249191284,0.48711544275283813,0.2864282727241516,0.4408751428127289,1.0,0.2735401690006256,0.22068053483963013
success,0.22873179614543915,0.11929923295974731,0.174932062625885,0.21842850744724274,0.24598896503448486,0.315643846988678,0.2287399172782898,0.2235364019870758,0.2764457166194916,0.18432746827602386,0.1216118186712265
of,0.33290785551071167,0.16895952820777893,0.2827862501144409,0.19919566810131073,0.22268271446228027,0.4069072902202606,0.27537038922309875,0.3646814823150635,0.733189046382904,0.1797877550125122,0.1826142966747284
the,0.42745697498321533,0.2820442318916321,0.3733934462070465,0.24405531585216522,0.31376904249191284,0.48711544275283813,0.2864282727241516,0.4408751428127289,1.0,0.2735401690006256,0.22068053483963013
2005,0.0704459398984909,0.07635467499494553,0.18423187732696533,-0.10518985986709595,0.04714697599411011,0.11356307566165924,0.05382945388555527,0.07835020869970322,0.037273142486810684,0.008901940658688545,0.10709824413061142
series,0.17328087985515594,0.2712797522544861,0.21484537422657013,0.34448567032814026,1.0000001192092896,0.2261398285627365,0.20346878468990326,0.267352432012558,0.31376904249191284,0.31758952140808105,0.1709602326154709
produced,0.1393624097108841,0.12545296549797058,0.12907662987709045,0.25095313787460327,0.2875058650970459,0.28463777899742126,0.265872061252594,0.4647648334503174,0.22045251727104187,0.2725476324558258,0.1623450517654419
by,0.2455483376979828,0.13681447505950928,0.39727845788002014,0.2577304542064667,0.267352432012558,0.4752357602119446,0.3104458749294281,1.0000001192092896,0.4408751428127289,0.20133090019226074,0.17966607213020325
russell,0.16743159294128418,0.12072563916444778,0.2708354890346527,0.34212371706962585,0.21904300153255463,0.2758617401123047,0.15772081911563873,0.1976420283317566,0.2413037121295929,0.15269801020622253,0.11642709374427795
t,0.37454068660736084,0.17748232185840607,0.23457348346710205,0.17818507552146912,0.13229136168956757,0.19807380437850952,0.09476219862699509,0.167274609208107,0.2083338052034378,0.16439160704612732,0.4954066574573517
davies,0.14111879467964172,0.2710629403591156,0.24405889213085175,0.29158467054367065,0.28206896781921387,0.2509008049964905,0.27900391817092896,0.20479993522167206,0.22865624725818634,0.38797643780708313,0.12641099095344543
",",0.3087472915649414,0.20407600700855255,0.3365725874900818,0.33544525504112244,0.24060699343681335,0.45456063747406006,0.22128435969352722,0.3680937886238098,0.4933079481124878,0.14724469184875488,0.31091248989105225
the,0.42745697498321533,0.2820442318916321,0.3733934462070465,0.24405531585216522,0.31376904249191284,0.48711544275283813,0.2864282727241516,0.4408751428127289,1.0,0.2735401690006256,0.22068053483963013
bbc,0.20634698867797852,0.32370132207870483,0.2086644321680069,0.20581752061843872,0.31758952140808105,0.19087861478328705,0.20324937999248505,0.20133090019226074,0.2735401690006256,1.0000001192092896,0.20556949079036713
commissioned,0.16373956203460693,0.1453140676021576,0.21646440029144287,0.14132165908813477,0.20346878468990326,0.38598689436912537,1.0000001192092896,0.3104458749294281,0.2864282727241516,0.20324937999248505,0.13426002860069275
