,where,was,the,baltimore,christmas,conference,of,1784,held,?
the,0.5003893971443176,0.48711544275283813,1.0,0.24688681960105896,0.2044597715139389,0.25393402576446533,0.733189046382904,0.21695038676261902,0.32185450196266174,0.22068053483963013
conference,0.17131489515304565,0.1537582278251648,0.25393402576446533,0.2132241576910019,0.08476842939853668,0.9999999403953552,0.19579021632671356,0.15205591917037964,0.29726144671440125,0.11172781884670258
was,0.20731619000434875,1.0000001192092896,0.48711544275283813,0.2803296744823456,0.16941027343273163,0.1537582278251648,0.4069072902202606,0.12762801349163055,0.30231067538261414,0.18412111699581146
held,0.27823105454444885,0.30231067538261414,0.32185450196266174,0.1922602653503418,0.15876168012619019,0.29726144671440125,0.28960686922073364,0.11907044053077698,1.0,0.14103956520557404
at,0.4402937591075897,0.36707764863967896,0.457212895154953,0.24143925309181213,0.16925868391990662,0.20550666749477386,0.42558613419532776,0.14598773419857025,0.3822793960571289,0.21978627145290375
the,0.5003893971443176,0.48711544275283813,1.0,0.24688681960105896,0.2044597715139389,0.25393402576446533,0.733189046382904,0.21695038676261902,0.32185450196266174,0.22068053483963013
lovely,0.250967800617218,0.19853852689266205,0.23189541697502136,0.09123500436544418,0.3245277404785156,0.0345170758664608,0.18858401477336884,0.014009666629135609,0.10811137408018112,0.218033567070961
lane,0.16077689826488495,0.23533447086811066,0.17604383826255798,0.2943589985370636,0.190090149641037,0.1111474558711052,0.15131840109825134,0.03522943705320358,0.10729368776082993,0.12951500713825226
methodist,0.16993527114391327,0.2711138129234314,0.21922016143798828,0.32521122694015503,0.23373103141784668,0.23383435606956482,0.28458893299102783,0.1151311844587326,0.15826472640037537,0.1436992734670639
church,0.173080712556839,0.24960921704769135,0.23846197128295898,0.18324357271194458,0.29835769534111023,0.19073757529258728,0.3079429268836975,0.18120720982551575,0.17612801492214203,0.18081501126289368
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.2639286518096924,0.2420792281627655,0.21862302720546722,0.4946078956127167,0.1850622594356537,0.2880980372428894,0.31091248989105225
considered,0.21629245579242706,0.384328156709671,0.4028765559196472,0.24621868133544922,0.12190764397382736,0.12716218829154968,0.4190242290496826,0.09001149237155914,0.2591264545917511,0.19909770786762238
the,0.5003893971443176,0.48711544275283813,1.0,0.24688681960105896,0.2044597715139389,0.25393402576446533,0.733189046382904,0.21695038676261902,0.32185450196266174,0.22068053483963013
mother,0.28237026929855347,0.28349727392196655,0.22516992688179016,0.15160132944583893,0.2337113469839096,0.0916554406285286,0.2170739620923996,0.07060320675373077,0.13379129767417908,0.15180644392967224
church,0.173080712556839,0.24960921704769135,0.23846197128295898,0.18324357271194458,0.29835769534111023,0.19073757529258728,0.3079429268836975,0.18120720982551575,0.17612801492214203,0.18081501126289368
of,0.38066378235816956,0.4069072902202606,0.733189046382904,0.17222699522972107,0.14198152720928192,0.19579021632671356,1.0,0.2020951360464096,0.28960686922073364,0.1826142966747284
american,0.1501617580652237,0.31632548570632935,0.24562937021255493,0.307096391916275,0.24142742156982422,0.15035685896873474,0.22180068492889404,0.09145890921354294,0.14670643210411072,0.18877598643302917
methodism,0.13517878949642181,0.2268463522195816,0.1990700513124466,0.29594919085502625,0.2268170863389969,0.22655056416988373,0.3017388582229614,0.10786190629005432,0.1503976583480835,0.18589207530021667
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.2742692530155182,0.22314779460430145,0.1982354372739792,0.5352458953857422,0.22031281888484955,0.2628571093082428,0.4130953550338745
