,what,type,of,camera,was,used,to,record,the,moon,landing,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.20394366979599,0.48711544275283813,0.3718377649784088,0.535392165184021,0.23569516837596893,1.0,0.23613092303276062,0.24055521190166473,0.22068053483963013
moon,0.15898863971233368,0.09131158888339996,0.18815091252326965,0.2625346779823303,0.18183675408363342,0.12957733869552612,0.17707908153533936,0.11427949368953705,0.23613092303276062,1.0,0.3334655165672302,0.1442703753709793
landing,0.17083740234375,0.08289735019207001,0.22376328706741333,0.26090872287750244,0.21103228628635406,0.21616901457309723,0.27316537499427795,0.14919713139533997,0.24055521190166473,0.3334655165672302,1.0000001192092896,0.11133739352226257
data,0.23453554511070251,0.2064599096775055,0.20013196766376495,0.19661816954612732,0.10802177339792252,0.1849888116121292,0.24776634573936462,0.20461870729923248,0.20546740293502808,0.13636831939220428,0.10518144816160202,0.17909851670265198
was,0.22111038863658905,0.14348182082176208,0.4069072902202606,0.22299613058567047,1.0000001192092896,0.23679393529891968,0.3636345863342285,0.2787264287471771,0.48711544275283813,0.18183675408363342,0.21103228628635406,0.18412111699581146
recorded,0.17687608301639557,0.06726822257041931,0.21896186470985413,0.21668490767478943,0.328198105096817,0.2319517880678177,0.22252942621707916,0.5839211940765381,0.2759207487106323,0.14861996471881866,0.215309277176857,0.19213420152664185
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.13162097334861755,0.4752357602119446,0.27705541253089905,0.33534231781959534,0.1887274980545044,0.4408751428127289,0.2189643681049347,0.17878741025924683,0.17966607213020325
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.21565601229667664,0.4508470594882965,0.3864384889602661,0.45503583550453186,0.2588478624820709,0.5829201340675354,0.23150557279586792,0.23207896947860718,0.23916715383529663
special,0.24134232103824615,0.2735857367515564,0.27998968958854675,0.17356888949871063,0.1585642695426941,0.3315860331058502,0.28623831272125244,0.10648121684789658,0.3027077615261078,0.0877503976225853,0.20336005091667175,0.29623302817344666
apollo,0.13561789691448212,0.1257288157939911,0.1786269098520279,0.21904723346233368,0.2306441366672516,0.1717020720243454,0.23190522193908691,0.15043888986110687,0.2169172167778015,0.512973427772522,0.3499414920806885,0.191528782248497
tv,0.20700684189796448,0.12882469594478607,0.19364769756793976,0.2648126184940338,0.1889979988336563,0.12119804322719574,0.1854887306690216,0.18432492017745972,0.20034731924533844,0.14614474773406982,0.18923455476760864,0.20290863513946533
camera,0.22429896891117096,0.14255107939243317,0.14369241893291473,0.9999999403953552,0.22299613058567047,0.18232402205467224,0.19477353990077972,0.26458248496055603,0.20394366979599,0.2625346779823303,0.26090872287750244,0.13050545752048492
which,0.5261979103088379,0.31462597846984863,0.5011631846427917,0.24239937961101532,0.2830964922904968,0.414506196975708,0.5345056653022766,0.2531338036060333,0.6521818041801453,0.19790339469909668,0.22441229224205017,0.25814583897590637
recorded,0.17687608301639557,0.06726822257041931,0.21896186470985413,0.21668490767478943,0.328198105096817,0.2319517880678177,0.22252942621707916,0.5839211940765381,0.2759207487106323,0.14861996471881866,0.215309277176857,0.19213420152664185
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.16409717500209808,0.45514053106307983,0.3090210556983948,0.45010748505592346,0.23162534832954407,0.6662389636039734,0.1284755915403366,0.2088729292154312,0.20430970191955566
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.21565601229667664,0.4508470594882965,0.3864384889602661,0.45503583550453186,0.2588478624820709,0.5829201340675354,0.23150557279586792,0.23207896947860718,0.23916715383529663
format,0.16273964941501617,0.23358651995658875,0.1439143568277359,0.29208773374557495,0.1396103948354721,0.23374991118907928,0.20165184140205383,0.2240334153175354,0.21678368747234344,0.20761553943157196,0.14364174008369446,0.2222042977809906
incompatible,0.33170202374458313,0.20109988749027252,0.20946481823921204,0.23144926130771637,0.12476962059736252,0.2950088679790497,0.25849923491477966,0.10614604502916336,0.17226295173168182,0.1583099067211151,0.09331885725259781,0.2627788186073303
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.17163753509521484,0.27411898970603943,0.3047430217266083,0.4239959120750427,0.19528687000274658,0.4223487675189972,0.20192916691303253,0.18041649460792542,0.2433311939239502
broadcast,0.17857211828231812,0.09266001731157303,0.20155203342437744,0.25822633504867554,0.24068336188793182,0.2333708107471466,0.2326623648405075,0.24110715091228485,0.2713715434074402,0.2265031337738037,0.21408794820308685,0.15760008990764618
tv,0.20700684189796448,0.12882469594478607,0.19364769756793976,0.2648126184940338,0.1889979988336563,0.12119804322719574,0.1854887306690216,0.18432492017745972,0.20034731924533844,0.14614474773406982,0.18923455476760864,0.20290863513946533
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.1612679809331894,0.40146201848983765,0.33111312985420227,0.4645031690597534,0.2186054140329361,0.5934505462646484,0.2040150910615921,0.2410571426153183,0.4130953550338745
