,what,was,tesla,'s,fathers,occupation,?
his,0.26976513862609863,0.4405253231525421,0.1580733060836792,0.047556519508361816,0.3709228038787842,0.21372483670711517,0.18075084686279297
father,0.21527598798274994,0.3492507338523865,0.08892767131328583,0.029256420210003853,0.6705164313316345,0.1920502483844757,0.14826634526252747
",",0.3087472915649414,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.2596655488014221,0.28664809465408325,0.31091248989105225
milutin,0.15894187986850739,0.23261001706123352,0.39255380630493164,0.037752315402030945,0.25188443064689636,0.17702935636043549,0.15096595883369446
tesla,0.23221199214458466,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.11253292113542557,0.11121876537799835,0.10250775516033173
",",0.3087472915649414,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.2596655488014221,0.28664809465408325,0.31091248989105225
was,0.22111038863658905,1.0000001192092896,0.16455206274986267,0.008974763564765453,0.29081082344055176,0.2635958790779114,0.18412111699581146
a,0.3320399522781372,0.4508470594882965,0.2211925983428955,0.04866964742541313,0.18620747327804565,0.22733436524868011,0.23916715383529663
serbian,0.17299731075763702,0.20167015492916107,0.3454362452030182,0.08339866995811462,0.1221100240945816,0.1716488003730774,0.11544056981801987
orthodox,0.21725283563137054,0.2057921141386032,0.2568820118904114,0.030631132423877716,0.338993102312088,0.14666345715522766,0.20826838910579681
priest,0.1868823766708374,0.2762300968170166,0.1718987375497818,-0.005394737236201763,0.282633900642395,0.20978812873363495,0.1474698781967163
.,0.3567904531955719,0.40146201848983765,0.17949827015399933,-0.003708066651597619,0.21918350458145142,0.20114995539188385,0.4130953550338745
