,what,health,condition,can,deep,sea,diving,cause,?
oxygen,0.16781960427761078,0.2525583505630493,0.29395610094070435,0.3056217133998871,0.2130136340856552,0.20720016956329346,0.2699693441390991,0.27950558066368103,0.16786395013332367
toxicity,0.27705809473991394,0.41832903027534485,0.41961225867271423,0.36810317635536194,0.1720140278339386,0.19754748046398163,0.1879897266626358,0.4171217381954193,0.283039927482605
to,0.455847829580307,0.29985085129737854,0.2868253290653229,0.4979398250579834,0.24954630434513092,0.2749888300895691,0.2518919110298157,0.3172815442085266,0.29463258385658264
the,0.42745697498321533,0.2340974360704422,0.27454710006713867,0.312528520822525,0.26388582587242126,0.30363768339157104,0.2564599812030792,0.2551237642765045,0.22068053483963013
lungs,0.2058555632829666,0.2987407445907593,0.31717756390571594,0.3527540862560272,0.24156776070594788,0.2041110247373581,0.30063962936401367,0.3515944182872772,0.19047874212265015
and,0.31309178471565247,0.3215619623661041,0.21314062178134918,0.3675691485404968,0.29221034049987793,0.30105236172676086,0.24327193200588226,0.2858448028564453,0.20544172823429108
central,0.17723965644836426,0.13671377301216125,0.103171207010746,0.131996750831604,0.150801420211792,0.19080521166324615,0.1155044212937355,0.12565119564533234,0.14787602424621582
nervous,0.28047090768814087,0.32789546251296997,0.36308908462524414,0.2255900800228119,0.16703057289123535,0.1194739118218422,0.12150411307811737,0.28973692655563354,0.171977236866951
system,0.23557309806346893,0.22666271030902863,0.2937057316303253,0.25937724113464355,0.1925143450498581,0.07252010703086853,0.11413206905126572,0.2261597067117691,0.15556083619594574
can,0.34502777457237244,0.22913023829460144,0.2928265333175659,1.0,0.23431770503520966,0.14970310032367706,0.2628146708011627,0.4492664635181427,0.3226337134838104
also,0.42747777700424194,0.3139970600605011,0.26386141777038574,0.4861826002597809,0.2533186972141266,0.20143361389636993,0.28310710191726685,0.3166497051715851,0.21848613023757935
occur,0.2129514068365097,0.16744552552700043,0.36356839537620544,0.3453861474990845,0.20109260082244873,0.15537698566913605,0.2268495261669159,0.4638570249080658,0.17999543249607086
in,0.30808621644973755,0.2500189542770386,0.2555321156978607,0.26527702808380127,0.23007644712924957,0.2302369773387909,0.2325104922056198,0.24822883307933807,0.20430970191955566
deep,0.2200533002614975,0.10853147506713867,0.20671746134757996,0.23431770503520966,1.0000001192092896,0.3440384268760681,0.27355465292930603,0.16806058585643768,0.1765073984861374
scuba,0.21950414776802063,0.3030955493450165,0.21057270467281342,0.3149048388004303,0.26027724146842957,0.35690703988075256,0.6459659337997437,0.21005414426326752,0.13456128537654877
diving,0.1730501800775528,0.1999773383140564,0.15428507328033447,0.2628146708011627,0.27355465292930603,0.3018544614315033,1.0000001192092896,0.14384245872497559,0.10827402025461197
and,0.31309178471565247,0.3215619623661041,0.21314062178134918,0.3675691485404968,0.29221034049987793,0.30105236172676086,0.24327193200588226,0.2858448028564453,0.20544172823429108
surface,0.23580394685268402,0.1338466852903366,0.26095062494277954,0.3465462028980255,0.3537502884864807,0.34152543544769287,0.28217387199401855,0.23621948063373566,0.14613434672355652
supplied,0.148319274187088,0.20706449449062347,0.2197020947933197,0.22077655792236328,0.08671783655881882,0.179491326212883,0.1945156455039978,0.2899862229824066,0.08668285608291626
diving,0.1730501800775528,0.1999773383140564,0.15428507328033447,0.2628146708011627,0.27355465292930603,0.3018544614315033,1.0000001192092896,0.14384245872497559,0.10827402025461197
.,0.3567904531955719,0.25832483172416687,0.17553938925266266,0.35783761739730835,0.23355865478515625,0.2680719196796417,0.2532466650009155,0.267557293176651,0.4130953550338745
