,which,doctor,who,show,was,the,largest,simulcast,of,a,tv,drama,?
the,0.6521818041801453,0.2820442318916321,0.3733934462070465,0.319829523563385,0.48711544275283813,1.0,0.3757036626338959,0.31249719858169556,0.733189046382904,0.5829201340675354,0.20034731924533844,0.2408958077430725,0.22068053483963013
programme,0.26981881260871887,0.2561369240283966,0.2317163497209549,0.3225559890270233,0.23988407850265503,0.23601844906806946,0.13625028729438782,0.41081303358078003,0.18707643449306488,0.22703689336776733,0.372183233499527,0.30050018429756165,0.139840766787529
is,0.4457404911518097,0.19875872135162354,0.24293622374534607,0.2144283652305603,0.5810302495956421,0.5823672413825989,0.3413417339324951,0.2441602647304535,0.4854315221309662,0.658733606338501,0.1617223173379898,0.25312909483909607,0.22961433231830597
listed,0.23637156188488007,0.14116723835468292,0.226549431681633,0.14646612107753754,0.21372930705547333,0.31246060132980347,0.23765501379966736,0.21384920179843903,0.28872668743133545,0.20046192407608032,0.09810754656791687,0.10268238186836243,0.2152968794107437
in,0.4840516746044159,0.25567495822906494,0.2792111933231354,0.27595704793930054,0.45514053106307983,0.6662389636039734,0.3017216920852661,0.31364256143569946,0.5696388483047485,0.539380669593811,0.17989183962345123,0.24534137547016144,0.20430970191955566
guinness,0.23031145334243774,0.17951802909374237,0.20442502200603485,0.1263057142496109,0.24059809744358063,0.217243030667305,0.2596173584461212,0.19475799798965454,0.17682869732379913,0.18677297234535217,0.14899741113185883,0.10421143472194672,0.10480751842260361
world,0.29213306307792664,0.17958073318004608,0.25158336758613586,0.2047518640756607,0.3097524344921112,0.33604270219802856,0.344524085521698,0.3193521499633789,0.2828933000564575,0.22239887714385986,0.14635077118873596,0.139276385307312,0.17579582333564758
records,0.2606963515281677,0.13662675023078918,0.1928240954875946,0.1921853870153427,0.23035451769828796,0.23809710144996643,0.1610485464334488,0.18259139358997345,0.17885147035121918,0.20202140510082245,0.18123584985733032,0.15574006736278534,0.12384546548128128
as,0.41006597876548767,0.17422905564308167,0.3923053741455078,0.30768129229545593,0.3677520453929901,0.48381632566452026,0.1819920688867569,0.21414874494075775,0.3886612355709076,0.39550232887268066,0.21589502692222595,0.21959319710731506,0.27043893933296204
the,0.6521818041801453,0.2820442318916321,0.3733934462070465,0.319829523563385,0.48711544275283813,1.0,0.3757036626338959,0.31249719858169556,0.733189046382904,0.5829201340675354,0.20034731924533844,0.2408958077430725,0.22068053483963013
longest-running,0.41664594411849976,0.24321793019771576,0.2916558086872101,0.2644904851913452,0.3048349618911743,0.44636663794517517,0.3197336494922638,0.35181641578674316,0.37591034173965454,0.38434794545173645,0.22457538545131683,0.25870466232299805,0.22539764642715454
science,0.27382832765579224,0.3319964110851288,0.19709691405296326,0.2331794947385788,0.22005605697631836,0.24037593603134155,0.15829692780971527,0.3154906928539276,0.2616958022117615,0.2378881424665451,0.24104925990104675,0.2934669554233551,0.17974960803985596
fiction,0.22119279205799103,0.32431042194366455,0.22704675793647766,0.2414160668849945,0.2115323692560196,0.20230287313461304,0.16152691841125488,0.2927131950855255,0.1798480898141861,0.20890182256698608,0.32416829466819763,0.3987448513507843,0.19665013253688812
television,0.21160198748111725,0.31410008668899536,0.2515988349914551,0.5277389287948608,0.2516675293445587,0.24569597840309143,0.11797025054693222,0.43541622161865234,0.21995750069618225,0.22552843391895294,0.7039412260055542,0.4801269471645355,0.16825827956199646
show,0.32096749544143677,0.2094513326883316,0.2095358669757843,0.9999999403953552,0.20142383873462677,0.319829523563385,0.07741552591323853,0.4328823685646057,0.21383242309093475,0.24886544048786163,0.42836281657218933,0.27227604389190674,0.2520138621330261
in,0.4840516746044159,0.25567495822906494,0.2792111933231354,0.27595704793930054,0.45514053106307983,0.6662389636039734,0.3017216920852661,0.31364256143569946,0.5696388483047485,0.539380669593811,0.17989183962345123,0.24534137547016144,0.20430970191955566
the,0.6521818041801453,0.2820442318916321,0.3733934462070465,0.319829523563385,0.48711544275283813,1.0,0.3757036626338959,0.31249719858169556,0.733189046382904,0.5829201340675354,0.20034731924533844,0.2408958077430725,0.22068053483963013
