,what,chemist,showed,that,fire,needed,only,a,part,of,air,?
english,0.25060737133026123,0.25860461592674255,0.07041649520397186,0.21455132961273193,0.08652058988809586,0.15938717126846313,0.20613466203212738,0.21707510948181152,0.150423064827919,0.17198967933654785,0.05454796180129051,0.23251567780971527
chemist,0.1775139421224594,0.9999998807907104,0.20905986428260803,0.14571717381477356,0.07942594587802887,0.13478368520736694,0.12044419348239899,0.17863942682743073,0.11583489924669266,0.14547590911388397,0.1671835035085678,0.14970816671848297
john,0.18237407505512238,0.20747010409832,0.12800635397434235,0.17830057442188263,0.09817898273468018,0.15748950839042664,0.19376562535762787,0.20638683438301086,0.10001262277364731,0.2407056987285614,0.0848143994808197,0.13162356615066528
mayow,0.1763436645269394,0.2756519019603729,0.16360393166542053,0.17556115984916687,0.2511146366596222,0.10150095820426941,0.2521412670612335,0.2520800232887268,0.21830670535564423,0.29014331102371216,0.17096176743507385,0.1919955462217331
(,0.2411840260028839,0.24967239797115326,0.13833487033843994,0.2264307141304016,0.15175771713256836,0.2666884958744049,0.30817532539367676,0.3206180930137634,0.2208257019519806,0.35032153129577637,0.17194215953350067,0.40561532974243164
1641–1679,0.00726746954023838,0.07391639053821564,7.662898860871792e-05,0.06621299684047699,-0.055297475308179855,0.08235694468021393,0.05430277809500694,-0.0393717996776104,0.05467391759157181,0.05342675745487213,0.02100888080894947,0.010923127643764019
),0.26259949803352356,0.24222633242607117,0.1332089751958847,0.23478686809539795,0.17202462255954742,0.2814560532569885,0.31837013363838196,0.3640355169773102,0.24734117090702057,0.3680361211299896,0.18929895758628845,0.42300865054130554
refined,0.17683129012584686,0.2846742272377014,0.19122345745563507,0.2415933758020401,0.11196210235357285,0.27173593640327454,0.16214080154895782,0.19816763699054718,0.20527084171772003,0.23328354954719543,0.13335780799388885,0.15091994404792786
this,0.5489566326141357,0.14741912484169006,0.2751274108886719,0.6909449696540833,0.19925758242607117,0.45758479833602905,0.544731855392456,0.5422310829162598,0.38220882415771484,0.45148900151252747,0.2279079556465149,0.3155723512172699
work,0.3762225806713104,0.21401984989643097,0.24415536224842072,0.34257015585899353,0.1455363631248474,0.3715273439884186,0.2709178626537323,0.266241192817688,0.2006094753742218,0.23473061621189117,0.15196478366851807,0.2621155381202698
by,0.2455483376979828,0.2289833277463913,0.281570702791214,0.37496164441108704,0.17999815940856934,0.24527448415756226,0.36511722207069397,0.32094135880470276,0.28271573781967163,0.3646814823150635,0.19110813736915588,0.17966607213020325
showing,0.2931436598300934,0.09771936386823654,0.5369773507118225,0.3517906069755554,0.17293108999729156,0.25136736035346985,0.3231539726257324,0.32278648018836975,0.23000109195709229,0.3515862822532654,0.09760066121816635,0.23185425996780396
that,0.6297725439071655,0.14571717381477356,0.3511183559894562,1.0,0.22560954093933105,0.45214173197746277,0.6004067063331604,0.47537946701049805,0.37747326493263245,0.41498205065727234,0.19720019400119781,0.32716336846351624
fire,0.19359004497528076,0.07942594587802887,0.15238741040229797,0.22560954093933105,0.9999999403953552,0.2195037305355072,0.2182672917842865,0.2617572844028473,0.10809394717216492,0.20259131491184235,0.21486154198646545,0.14396874606609344
requires,0.24784088134765625,0.056955736130476,0.20471560955047607,0.33935680985450745,0.14644774794578552,0.5526822805404663,0.3710685968399048,0.322436660528183,0.23586809635162354,0.29617026448249817,0.0995701402425766,0.26020103693008423
only,0.41415658593177795,0.12044419348239899,0.28801509737968445,0.6004067063331604,0.2182672917842865,0.4253479838371277,1.0,0.47549712657928467,0.3272135257720947,0.49632513523101807,0.1701217144727707,0.2767370045185089
a,0.3320399522781372,0.17863942682743073,0.2502788305282593,0.47537946701049805,0.2617572844028473,0.2915569543838501,0.47549712657928467,1.0,0.3994528353214264,0.5052502155303955,0.23199330270290375,0.23916715383529663
