,where,do,clinical,pharmacists,work,with,patients,?
clinical,0.19260945916175842,0.15797601640224457,1.0,0.4310356378555298,0.2632922828197479,0.21674449741840363,0.5886458158493042,0.1678651124238968
pharmacists,0.274419367313385,0.328380823135376,0.4310356378555298,1.0,0.31919384002685547,0.21731118857860565,0.42153534293174744,0.1797308325767517
care,0.20933666825294495,0.306549996137619,0.32324540615081787,0.28419914841651917,0.3151354491710663,0.21911054849624634,0.38955172896385193,0.24279968440532684
for,0.38599511981010437,0.29510271549224854,0.28036341071128845,0.21977780759334564,0.4087657630443573,0.39140474796295166,0.2890855669975281,0.264628142118454
patients,0.20101559162139893,0.2464439868927002,0.5886458158493042,0.42153534293174744,0.3145729601383209,0.2591496706008911,1.0000001192092896,0.17145128548145294
in,0.5344807505607605,0.23402775824069977,0.25644800066947937,0.22358480095863342,0.2753349542617798,0.4080928862094879,0.21461397409439087,0.20430970191955566
all,0.36365973949432373,0.38664430379867554,0.1658625453710556,0.27948716282844543,0.30834105610847473,0.3876307010650635,0.257454514503479,0.29575422406196594
health,0.16377852857112885,0.1685679703950882,0.44868576526641846,0.29165908694267273,0.23275025188922882,0.21318627893924713,0.4291019141674042,0.16094304621219635
care,0.20933666825294495,0.306549996137619,0.32324540615081787,0.28419914841651917,0.3151354491710663,0.21911054849624634,0.38955172896385193,0.24279968440532684
settings,0.27769342064857483,0.2958853244781494,0.18307657539844513,0.22329860925674438,0.3553938567638397,0.1954677850008011,0.22557853162288666,0.31880196928977966
",",0.3149496018886566,0.3283645510673523,0.21013301610946655,0.22197484970092773,0.3283594250679016,0.4120737314224243,0.1795148104429245,0.31091248989105225
but,0.49101024866104126,0.4077886939048767,0.18787965178489685,0.27924466133117676,0.3644881844520569,0.4495173394680023,0.31124040484428406,0.27921953797340393
the,0.5003893971443176,0.30239659547805786,0.24038995802402496,0.24311043322086334,0.2704800069332123,0.4223487675189972,0.22047552466392517,0.22068053483963013
clinical,0.19260945916175842,0.15797601640224457,1.0,0.4310356378555298,0.2632922828197479,0.21674449741840363,0.5886458158493042,0.1678651124238968
pharmacy,0.27826401591300964,0.21983878314495087,0.4141220450401306,0.7877770662307739,0.2666398286819458,0.17199546098709106,0.27920523285865784,0.1355620175600052
movement,0.2221783995628357,0.14219339191913605,0.19526877999305725,0.10666575282812119,0.26338663697242737,0.18811029195785522,0.17191824316978455,0.1423349231481552
initially,0.24913983047008514,0.09010454267263412,0.1968051642179489,0.1968855857849121,0.1875096559524536,0.23973597586154938,0.257438600063324,0.0699334517121315
began,0.11145364493131638,0.18116621673107147,0.1577833890914917,0.16245563328266144,0.1912918984889984,0.23196780681610107,0.15792280435562134,0.1370266228914261
inside,0.4502009451389313,0.25159046053886414,0.11273428052663803,0.19257593154907227,0.2113361954689026,0.2732160985469818,0.20923775434494019,0.14505037665367126
hospitals,0.30828046798706055,0.21073739230632782,0.4520389139652252,0.35522833466529846,0.2480252981185913,0.22934871912002563,0.568023681640625,0.10646984726190567
and,0.43859338760375977,0.276123583316803,0.2551795542240143,0.26810887455940247,0.37551814317703247,0.5477725267410278,0.2402365654706955,0.20544172823429108
clinics,0.23112207651138306,0.22084911167621613,0.781347930431366,0.5073731541633606,0.28046077489852905,0.2119678109884262,0.5767565965652466,0.14777065813541412
.,0.41390106081962585,0.3613996207714081,0.21580979228019714,0.27446362376213074,0.33121398091316223,0.4446153938770294,0.2101183831691742,0.4130953550338745
,where,do,clinical,pharmacists,work,with,patients,?
they,0.43078136444091797,0.4667694866657257,0.23320111632347107,0.40619930624961853,0.2948459982872009,0.42091572284698486,0.37098830938339233,0.2753053903579712
often,0.4629369378089905,0.30438441038131714,0.3049476742744446,0.3131290078163147,0.2872087061405182,0.41081544756889343,0.3598383367061615,0.23748154938220978
participate,0.28670576214790344,0.31955114006996155,0.15710332989692688,0.2466646134853363,0.255908340215683,0.22955244779586792,0.20935767889022827,0.2079276293516159
in,0.5344807505607605,0.23402775824069977,0.25644800066947937,0.22358480095863342,0.2753349542617798,0.4080928862094879,0.21461397409439087,0.20430970191955566
patient,0.20016412436962128,0.23987282812595367,0.49259641766548157,0.348532497882843,0.34961822628974915,0.2506621479988098,0.8348241448402405,0.24355199933052063
care,0.20933666825294495,0.306549996137619,0.32324540615081787,0.28419914841651917,0.3151354491710663,0.21911054849624634,0.38955172896385193,0.24279968440532684
rounds,0.2866114377975464,0.10590825974941254,0.25144851207733154,0.22082898020744324,0.10697285830974579,0.28088945150375366,0.17020224034786224,0.10184301435947418
drug,0.189727321267128,0.18506735563278198,0.36293739080429077,0.41105008125305176,0.15669532120227814,0.2106175720691681,0.3881418704986572,0.12584024667739868
product,0.22332638502120972,0.2507864534854889,0.19781003892421722,0.27922600507736206,0.27194440364837646,0.18527449667453766,0.1956445425748825,0.19651241600513458
selection,0.2148955762386322,0.14823971688747406,0.2762921154499054,0.2559282183647156,0.2607840597629547,0.16583441197872162,0.1741866022348404,0.24161170423030853
.,0.41390106081962585,0.3613996207714081,0.21580979228019714,0.27446362376213074,0.33121398091316223,0.4446153938770294,0.2101183831691742,0.4130953550338745
