,when,did,internet,pharmacies,begin,to,come,into,being,?
since,0.42774689197540283,0.27613121271133423,0.14572469890117645,0.1426255851984024,0.21266606450080872,0.3733763098716736,0.24182648956775665,0.1695472002029419,0.3954790532588959,0.2876587212085724
about,0.3835894465446472,0.28723078966140747,0.19502751529216766,0.1745115965604782,0.2457190752029419,0.391953706741333,0.28469759225845337,0.2791807949542999,0.276187002658844,0.302409827709198
the,0.5091903209686279,0.34736719727516174,0.2156122475862503,0.2211688905954361,0.34293439984321594,0.535392165184021,0.36020293831825256,0.39493247866630554,0.419739305973053,0.22068053483963013
year,0.3014719784259796,0.21422851085662842,0.14793585240840912,0.13033992052078247,0.27493274211883545,0.23523004353046417,0.1562347412109375,0.08657927066087723,0.2561481297016144,0.18315006792545319
2000,-0.05569573864340782,0.028451859951019287,-0.06991951912641525,-0.0766390711069107,-0.03361475095152855,-0.05413077399134636,-0.08268638700246811,-0.025970933958888054,-0.013247430324554443,-0.0824366956949234
",",0.36674630641937256,0.3015086054801941,0.17182038724422455,0.2212837040424347,0.27304404973983765,0.44245919585227966,0.350309282541275,0.2826121151447296,0.34499165415763855,0.31091248989105225
a,0.44397395849227905,0.2552328109741211,0.2250564843416214,0.22259847819805145,0.22845244407653809,0.45503583550453186,0.23267972469329834,0.3461161255836487,0.3727131485939026,0.23916715383529663
growing,0.2794452905654907,0.171597421169281,0.14688675105571747,0.2514569163322449,0.31485697627067566,0.2752383351325989,0.26947760581970215,0.16750772297382355,0.3320138454437256,0.10178618133068085
number,0.2767394483089447,0.19046731293201447,0.2607012093067169,0.16874253749847412,0.13823634386062622,0.2706126868724823,0.2162865251302719,0.18290801346302032,0.26345863938331604,0.19256845116615295
of,0.3757161796092987,0.2513895630836487,0.16397756338119507,0.21392159163951874,0.24830074608325958,0.41548454761505127,0.3194141983985901,0.32255905866622925,0.34885138273239136,0.1826142966747284
internet,0.18260006606578827,0.15747137367725372,1.0,0.18337510526180267,0.0693754181265831,0.21228709816932678,0.18951912224292755,0.11308294534683228,0.2062719166278839,0.23314887285232544
pharmacies,0.21890638768672943,0.17270490527153015,0.18337510526180267,1.0000001192092896,0.12159337848424911,0.22669687867164612,0.18966078758239746,0.14889848232269287,0.14747239649295807,0.13542459905147552
have,0.40555819869041443,0.3783526122570038,0.21882331371307373,0.30113688111305237,0.2806914150714874,0.4544740617275238,0.4500013291835785,0.3038242757320404,0.47529760003089905,0.32991164922714233
been,0.3339833617210388,0.2835664749145508,0.2130676805973053,0.14002875983715057,0.2073991596698761,0.34945759177207947,0.3153807520866394,0.23746316134929657,0.5641041994094849,0.24354910850524902
established,0.18169470131397247,0.18989217281341553,0.07156940549612045,0.18867379426956177,0.11909785121679306,0.15850777924060822,0.17312313616275787,0.21378342807292938,0.15286321938037872,0.15917523205280304
worldwide,0.19179211556911469,0.13039597868919373,0.2970309853553772,0.2709842026233673,0.18299594521522522,0.24071235954761505,0.20668764412403107,0.141020730137825,0.22676651179790497,0.2253960371017456
.,0.475719153881073,0.35288307070732117,0.206785187125206,0.2382737696170807,0.24827922880649567,0.4645031690597534,0.2866859436035156,0.26250120997428894,0.35574623942375183,0.4130953550338745
