,when,was,the,joint,statement,on,climate,change,issued,?
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.19035212695598602,0.17217876017093658,0.46853652596473694,0.24209141731262207,0.2510564923286438,0.17191201448440552,0.20430970191955566
2001,-0.12046102434396744,-0.1705034077167511,-0.07246288657188416,0.03209821507334709,-0.14839117228984833,-0.08765829354524612,-0.14139007031917572,-0.11988900601863861,-0.05002593249082565,-0.08740651607513428
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.1446857750415802,0.22861604392528534,0.49057599902153015,0.224740669131279,0.2752361297607422,0.21577242016792297,0.31091248989105225
16,0.035893313586711884,-0.008355183526873589,0.0058518932200968266,0.10726585984230042,-0.06322356313467026,0.045714378356933594,-0.02654479444026947,0.08426803350448608,0.02966240420937538,0.08446579426527023
national,0.1649656444787979,0.2433898150920868,0.32739606499671936,0.2269321233034134,0.12410785257816315,0.18674622476100922,0.18328340351581573,0.1287579983472824,0.17449969053268433,0.15643028914928436
science,0.16938894987106323,0.22005605697631836,0.24037593603134155,0.1408468782901764,0.167688250541687,0.2139003723859787,0.2623327076435089,0.18903490900993347,0.12242744117975235,0.17974960803985596
academies,0.11518916487693787,0.23078174889087677,0.25615057349205017,0.18557576835155487,0.15494737029075623,0.1873045116662979,0.19274300336837769,0.13881506025791168,0.14545351266860962,0.09729845076799393
issued,0.18766894936561584,0.273990273475647,0.22837360203266144,0.27209922671318054,0.31667712330818176,0.2797412872314453,0.1718258112668991,0.09773190319538116,0.9999999403953552,0.169851616024971
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.22126229107379913,0.2952324151992798,0.3848365545272827,0.1805623322725296,0.3047741651535034,0.2503507733345032,0.23916715383529663
joint,0.20029248297214508,0.18301956355571747,0.2854326069355011,1.0000001192092896,0.1536673605442047,0.18687814474105835,0.10191357135772705,0.110409677028656,0.27209922671318054,0.15804731845855713
statement,0.2748432755470276,0.2362719178199768,0.20954233407974243,0.1536673605442047,1.0000001192092896,0.21737860143184662,0.16502417623996735,0.27682745456695557,0.31667712330818176,0.28978636860847473
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.18687814474105835,0.21737860143184662,0.9999999403953552,0.23228000104427338,0.3118341565132141,0.2797412872314453,0.2714994251728058
climate,0.18233810365200043,0.14714933931827545,0.2693597674369812,0.10191357135772705,0.16502417623996735,0.23228000104427338,1.0000001192092896,0.3181478679180145,0.1718258112668991,0.19998492300510406
change,0.33026453852653503,0.18487286567687988,0.3641999065876007,0.110409677028656,0.27682745456695557,0.3118341565132141,0.3181478679180145,0.9999998807907104,0.09773190319538116,0.24115969240665436
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.19999448955059052,0.21827399730682373,0.49257001280784607,0.22208234667778015,0.3244723975658417,0.2158607542514801,0.4130953550338745
