,what,effect,did,breathing,priestley,'s,discovered,gas,have,on,the,experiment,'s,mouse,?
he,0.3114890456199646,0.18305131793022156,0.3292143940925598,0.19414810836315155,0.266123503446579,0.024063590914011,0.15488411486148834,0.1832944005727768,0.3020331561565399,0.32403138279914856,0.4571082592010498,0.21155096590518951,0.024063590914011,0.11933097243309021,0.2089974731206894
noted,0.16981294751167297,0.23529238998889923,0.2848167419433594,0.18711520731449127,0.11743099987506866,-0.024553362280130386,0.3162604868412018,0.10289208590984344,0.28539150953292847,0.24582087993621826,0.248806893825531,0.24966390430927277,-0.024553362280130386,0.16942645609378815,0.13014346361160278
that,0.6297725439071655,0.3663281202316284,0.47518548369407654,0.2984001040458679,0.1935729831457138,0.04397977516055107,0.3047933280467987,0.2489587664604187,0.6182622313499451,0.42569106817245483,0.5473989248275757,0.3135862946510315,0.04397977516055107,0.16232852637767792,0.32716336846351624
candles,0.19485586881637573,0.1878378540277481,0.14146676659584045,0.18322038650512695,0.28127482533454895,-0.014513323083519936,0.15383559465408325,0.2866186797618866,0.23137593269348145,0.20268942415714264,0.2488098293542862,0.1285027265548706,-0.014513323083519936,0.14710913598537445,0.15584522485733032
burned,0.1846838891506195,0.16875974833965302,0.233504518866539,0.23712663352489471,0.29565298557281494,0.007542244158685207,0.29733970761299133,0.2958514094352722,0.16487891972064972,0.18031539022922516,0.27910104393959045,0.09107319265604019,0.007542244158685207,0.042356546968221664,0.14875538647174835
brighter,0.21282167732715607,0.2368425726890564,0.18730749189853668,0.28923937678337097,0.1687941998243332,-0.0002617857535369694,0.28596872091293335,0.3073175847530365,0.3367670774459839,0.22088301181793213,0.2720682621002197,0.26405245065689087,-0.0002617857535369694,0.2220822125673294,0.13511711359024048
in,0.30808621644973755,0.25150683522224426,0.2593238651752472,0.16646145284175873,0.20879624783992767,-0.037580832839012146,0.2801778018474579,0.20770272612571716,0.36843645572662354,0.46853652596473694,0.6662389636039734,0.1938578486442566,-0.037580832839012146,0.17055407166481018,0.20430970191955566
the,0.42745697498321533,0.2865084111690521,0.34736719727516174,0.21453244984149933,0.21773852407932281,-0.01540423184633255,0.27493247389793396,0.2339978665113449,0.40389683842658997,0.5107308030128479,1.0,0.168198361992836,-0.01540423184633255,0.24340488016605377,0.22068053483963013
gas,0.20887799561023712,0.2461009919643402,0.14743757247924805,0.3540022075176239,0.26362451910972595,-0.01457519456744194,0.21387432515621185,0.9999999403953552,0.2242230474948883,0.14262238144874573,0.2339978665113449,0.1838647872209549,-0.01457519456744194,0.06874299794435501,0.1582372784614563
and,0.31309178471565247,0.23508284986019135,0.34479495882987976,0.24651436507701874,0.28026387095451355,0.06895173341035843,0.21031536161899567,0.20214606821537018,0.4711785912513733,0.4077630043029785,0.5171257257461548,0.2532333433628082,0.06895173341035843,0.2039327621459961,0.20544172823429108
that,0.6297725439071655,0.3663281202316284,0.47518548369407654,0.2984001040458679,0.1935729831457138,0.04397977516055107,0.3047933280467987,0.2489587664604187,0.6182622313499451,0.42569106817245483,0.5473989248275757,0.3135862946510315,0.04397977516055107,0.16232852637767792,0.32716336846351624
a,0.3320399522781372,0.24771364033222198,0.2552328109741211,0.23236723244190216,0.22067803144454956,0.04866964742541313,0.20319467782974243,0.26485589146614075,0.338716596364975,0.3848365545272827,0.5829201340675354,0.22814621031284332,0.04866964742541313,0.2332565188407898,0.23916715383529663
mouse,0.23546643555164337,0.12997880578041077,0.12326314300298691,0.15261539816856384,0.04530278220772743,0.09008168429136276,0.13752393424510956,0.06874299794435501,0.1745050847530365,0.2129933089017868,0.24340488016605377,0.22944074869155884,0.09008168429136276,0.9999999403953552,0.16634990274906158
was,0.22111038863658905,0.16271711885929108,0.41399896144866943,0.12662510573863983,0.2731526494026184,0.008974763564765453,0.3177400529384613,0.14390388131141663,0.2863433063030243,0.3909217119216919,0.48711544275283813,0.21177788078784943,0.008974763564765453,0.18753184378147125,0.18412111699581146
more,0.3484537899494171,0.29258641600608826,0.2803135812282562,0.2892155349254608,0.2035631686449051,0.032942235469818115,0.18747438490390778,0.2502983510494232,0.49033403396606445,0.37351730465888977,0.39758381247520447,0.17698140442371368,0.032942235469818115,0.19035138189792633,0.27894994616508484
active,0.2610722482204437,0.17318640649318695,0.16150157153606415,0.1880219280719757,0.13906241953372955,0.023876376450061798,0.21608778834342957,0.15230731666088104,0.331930547952652,0.20644070208072662,0.2376219779253006,0.13149258494377136,0.023876376450061798,0.1465822011232376,0.20374006032943726
