,what,was,the,concept,of,force,an,integral,part,of,?
aristotle,0.2998286783695221,0.19171908497810364,0.1415858268737793,0.2898872196674347,0.22867590188980103,0.14170260727405548,0.19764694571495056,0.23685282468795776,0.13771173357963562,0.22867590188980103,0.129203200340271
provided,0.2206064909696579,0.2404836267232895,0.304488867521286,0.3106559216976166,0.272808313369751,0.1915862262248993,0.24971148371696472,0.15216557681560516,0.2151065170764923,0.272808313369751,0.16893617808818817
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.29586365818977356,0.5052502155303955,0.2451154738664627,0.44552403688430786,0.263979434967041,0.3994528353214264,0.5052502155303955,0.23916715383529663
philosophical,0.3205060660839081,0.21372516453266144,0.23365144431591034,0.38474220037460327,0.2655055820941925,0.19213838875293732,0.19435417652130127,0.3272996246814728,0.18924829363822937,0.2655055820941925,0.18311575055122375
discussion,0.3283776342868805,0.16786788403987885,0.2391178160905838,0.2701486647129059,0.1657310128211975,0.17159447073936462,0.2355094999074936,0.23447175323963165,0.1579064577817917,0.1657310128211975,0.3569658696651459
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24082158505916595,1.0,0.27094775438308716,0.32280945777893066,0.2775067985057831,0.452393114566803,1.0,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.2355310022830963,0.733189046382904,0.2800885736942291,0.4207492768764496,0.2724011540412903,0.527681291103363,0.733189046382904,0.22068053483963013
concept,0.28724339604377747,0.2765439450740814,0.2355310022830963,0.9999998807907104,0.24082158505916595,0.17681357264518738,0.2314048856496811,0.36366021633148193,0.2748134434223175,0.24082158505916595,0.17160645127296448
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24082158505916595,1.0,0.27094775438308716,0.32280945777893066,0.2775067985057831,0.452393114566803,1.0,0.1826142966747284
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.29586365818977356,0.5052502155303955,0.2451154738664627,0.44552403688430786,0.263979434967041,0.3994528353214264,0.5052502155303955,0.23916715383529663
force,0.16915984451770782,0.20879842340946198,0.2800885736942291,0.17681357264518738,0.27094775438308716,1.0000001192092896,0.21655116975307465,0.24277755618095398,0.15120939910411835,0.27094775438308716,0.1650998443365097
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.26051822304725647,0.3886612355709076,0.19216643273830414,0.37218472361564636,0.20810545980930328,0.2563304007053375,0.3886612355709076,0.27043893933296204
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.2314048856496811,0.32280945777893066,0.21655116975307465,1.0,0.2565089166164398,0.3128427565097809,0.32280945777893066,0.19793890416622162
integral,0.25464048981666565,0.1733676642179489,0.2724011540412903,0.36366021633148193,0.2775067985057831,0.24277755618095398,0.2565089166164398,1.0,0.32477834820747375,0.2775067985057831,0.1463361233472824
part,0.3476244807243347,0.3407018780708313,0.527681291103363,0.2748134434223175,0.452393114566803,0.15120939910411835,0.3128427565097809,0.32477834820747375,1.0,0.452393114566803,0.08557961881160736
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24082158505916595,1.0,0.27094775438308716,0.32280945777893066,0.2775067985057831,0.452393114566803,1.0,0.1826142966747284
aristotelian,0.2997739017009735,0.22606013715267181,0.19423235952854156,0.3719908893108368,0.2504543960094452,0.16038300096988678,0.24133272469043732,0.3465411365032196,0.1845611035823822,0.2504543960094452,0.15906864404678345
cosmology,0.3028882145881653,0.18942953646183014,0.22385677695274353,0.40722811222076416,0.24150876700878143,0.2649409770965576,0.18101482093334198,0.35239773988723755,0.17634932696819305,0.24150876700878143,0.19752520322799683
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.17851535975933075,0.5352458953857422,0.2783275842666626,0.3581749200820923,0.2281147986650467,0.32817673683166504,0.5352458953857422,0.4130953550338745
