,how,are,existing,teachers,and,non-teachers,vetted,?
existing,0.2671617865562439,0.33423861861228943,1.0,0.1450594812631607,0.26408615708351135,0.19851018488407135,0.2117685079574585,0.31003472208976746
staff,0.1983451247215271,0.17470046877861023,0.1661401242017746,0.30739808082580566,0.2557026147842407,0.30264145135879517,0.24353042244911194,0.15871673822402954
will,0.41543328762054443,0.39387544989585876,0.3395678699016571,0.2233489602804184,0.35983073711395264,0.2594374716281891,0.3066210150718689,0.35046905279159546
be,0.4158933162689209,0.5556803941726685,0.3795691430568695,0.20256873965263367,0.41766801476478577,0.255815327167511,0.2706145644187927,0.3324260413646698
vetted,0.18034502863883972,0.17922109365463257,0.2117685079574585,0.187554270029068,0.20189379155635834,0.23669514060020447,1.0,0.2308492660522461
on,0.32655060291290283,0.268924742937088,0.245413675904274,0.24610933661460876,0.4077630043029785,0.268339067697525,0.2774691879749298,0.2714994251728058
a,0.29312583804130554,0.265255331993103,0.2590343654155731,0.2509842813014984,0.3739250600337982,0.2859967350959778,0.2535057067871094,0.23916715383529663
phased,0.23238281905651093,0.2099989950656891,0.28100594878196716,0.07748852670192719,0.21626900136470795,0.13495606184005737,0.3302983343601227,0.15852953493595123
basis,0.24530459940433502,0.31422433257102966,0.3292290270328522,0.20748499035835266,0.2805973291397095,0.23919261991977692,0.23566006124019623,0.14255106449127197
.,0.3287222981452942,0.3452940285205841,0.28165051341056824,0.24628326296806335,0.588965117931366,0.2927134335041046,0.21371862292289734,0.4130953550338745
