,how,did,luther,say,that,reason,contributes,to,faith,?
and,0.33647966384887695,0.34479495882987976,0.20796556770801544,0.3314565122127533,0.4731321930885315,0.26490068435668945,0.30007341504096985,0.48971283435821533,0.2653059959411621,0.20544172823429108
``,-0.01591024175286293,-0.029888948425650597,-0.013964727520942688,0.062410302460193634,0.05285148695111275,0.04532098397612572,0.07372916489839554,0.06720756739377975,0.04868196323513985,0.0685480609536171
[,0.03530287742614746,0.030549485236406326,0.12499826401472092,-8.978986443253234e-05,0.052145641297101974,0.029807236045598984,0.06286156922578812,0.07649242132902145,0.0411854162812233,0.011015460826456547
that,0.557814359664917,0.47518548369407654,0.21746599674224854,0.5852095484733582,1.0,0.462776243686676,0.33235540986061096,0.5436353087425232,0.29499298334121704,0.32716336846351624
],0.06738625466823578,0.024806415662169456,0.07567904889583588,0.022266853600740433,0.009409040212631226,-0.01478018518537283,-0.041037335991859436,-0.04249158129096031,-0.06177900731563568,-0.0022520492784678936
reason,0.34481215476989746,0.2975914180278778,0.1425657421350479,0.39142298698425293,0.462776243686676,1.0,0.27799299359321594,0.3437597155570984,0.25525468587875366,0.3403966724872589
in,0.2601168751716614,0.2593238651752472,0.20523880422115326,0.26482993364334106,0.435920387506485,0.21220409870147705,0.25514158606529236,0.45010748505592346,0.16146141290664673,0.20430970191955566
no,0.2603875398635864,0.23735837638378143,0.08393751084804535,0.3752421438694,0.41830796003341675,0.37497952580451965,0.20080430805683136,0.30015695095062256,0.23440364003181458,0.32165053486824036
way,0.5782880783081055,0.34534135460853577,0.1916026771068573,0.43357494473457336,0.5086538195610046,0.40973424911499023,0.25112444162368774,0.4772548973560333,0.21371924877166748,0.31575819849967957
contributes,0.2943525016307831,0.23181821405887604,0.058199744671583176,0.2993110120296478,0.33235540986061096,0.27799299359321594,1.0000001192092896,0.3252312242984772,0.23478563129901886,0.26828473806381226
to,0.44169697165489197,0.4452643394470215,0.18029534816741943,0.38071900606155396,0.5436353087425232,0.3437597155570984,0.3252312242984772,1.0,0.2426898032426834,0.29463258385658264
faith,0.22136688232421875,0.24413958191871643,0.2839079797267914,0.32482194900512695,0.29499298334121704,0.25525468587875366,0.23478563129901886,0.2426898032426834,1.0,0.2833177447319031
.,0.3287222981452942,0.35288307070732117,0.24907569587230682,0.33481550216674805,0.4460422694683075,0.3219331204891205,0.266588419675827,0.4645031690597534,0.2496335357427597,0.4130953550338745
