,what,is,the,prize,offered,for,finding,a,solution,to,p=np,?
there,0.35085538029670715,0.3904260993003845,0.47025805711746216,0.11046738177537918,0.25572699308395386,0.3728419542312622,0.2604835033416748,0.4214206337928772,0.2525739073753357,0.40669289231300354,-0.0010182976257055998,0.29405656456947327
is,0.28837618231773376,1.0,0.5823672413825989,0.13773074746131897,0.17584599554538727,0.43268078565597534,0.25634825229644775,0.658733606338501,0.2851429283618927,0.42745086550712585,0.04962003231048584,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.189753457903862,0.2915024757385254,0.44038116931915283,0.24783554673194885,1.0,0.2887548804283142,0.45503583550453186,0.05496764928102493,0.23916715383529663
us,0.32081687450408936,0.1808239072561264,0.25727739930152893,0.1360926330089569,0.15699033439159393,0.26768606901168823,0.23306094110012054,0.1862444281578064,0.22622378170490265,0.2928973436355591,0.09722138941287994,0.2742428481578827
$,0.24858909845352173,0.14577937126159668,0.23367542028427124,0.24291467666625977,0.30496466159820557,0.22711659967899323,0.20683825016021729,0.22939236462116241,0.1417023092508316,0.22282108664512634,0.11377904564142227,0.2786129117012024
"1,000,000",0.047847677022218704,0.18924076855182648,0.19663365185260773,0.26439976692199707,0.05897701159119606,0.10030810534954071,0.06993300467729568,0.21356938779354095,0.0822906419634819,0.24733196198940277,-0.14355336129665375,0.04695386439561844
prize,0.1654435694217682,0.13773074746131897,0.18969248235225677,0.9999999403953552,0.2598121464252472,0.2797470688819885,0.23884853720664978,0.189753457903862,0.1726277470588684,0.17568570375442505,0.01867191679775715,0.14158497750759125
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.2797470688819885,0.3913280963897705,0.9999999403953552,0.34628403186798096,0.44038116931915283,0.2887430787086487,0.4451248347759247,0.05779990553855896,0.264628142118454
resolving,0.35381579399108887,0.22014373540878296,0.2805141806602478,0.18576082587242126,0.13324251770973206,0.27514544129371643,0.43139415979385376,0.2706182599067688,0.41261187195777893,0.30003681778907776,0.1656617373228073,0.33293986320495605
the,0.42745697498321533,0.5823672413825989,1.0,0.18969248235225677,0.270993173122406,0.4739971458911896,0.2933822274208069,0.5829201340675354,0.20422548055648804,0.535392165184021,0.007140518166124821,0.22068053483963013
problem,0.42183366417884827,0.23238427937030792,0.24928659200668335,0.1422359049320221,0.23290030658245087,0.2661307752132416,0.3806878924369812,0.2605542540550232,0.5411272048950195,0.2502208352088928,0.2087373286485672,0.3762950301170349
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24712836742401123,0.23239120841026306,0.4726039469242096,0.2890409827232361,0.50484299659729,0.24768643081188202,0.4645031690597534,0.060368187725543976,0.4130953550338745
