,what,runs,from,the,balancer,in,the,statocyst,to,the,comb,rows,?
from,0.2737620174884796,0.2119603008031845,1.0,0.40150508284568787,0.1959807276725769,0.4274188280105591,0.40150508284568787,0.22918665409088135,0.4069952368736267,0.40150508284568787,0.23026268184185028,0.12540243566036224,0.19969791173934937
each,0.3353266417980194,0.23149320483207703,0.22863267362117767,0.470844566822052,0.3149748742580414,0.30816060304641724,0.470844566822052,0.3296252489089966,0.3941934108734131,0.470844566822052,0.24400024116039276,0.3866448998451233,0.21173812448978424
balancer,0.2553848326206207,0.16932839155197144,0.1959807276725769,0.3294210433959961,1.0000001192092896,0.23624315857887268,0.3294210433959961,0.3293204605579376,0.2506974935531616,0.3294210433959961,0.2971821129322052,0.2295147329568863,0.2258094698190689
in,0.30808621644973755,0.2674408257007599,0.4274188280105591,0.6662389636039734,0.23624315857887268,1.0,0.6662389636039734,0.2469828873872757,0.45010748505592346,0.6662389636039734,0.2280225306749344,0.16420641541481018,0.20430970191955566
the,0.42745697498321533,0.30832576751708984,0.40150508284568787,1.0,0.3294210433959961,0.6662389636039734,1.0,0.30905142426490784,0.535392165184021,1.0,0.24626436829566956,0.2598671019077301,0.22068053483963013
statocyst,0.2704133987426758,0.216119185090065,0.22918665409088135,0.30905142426490784,0.3293204605579376,0.2469828873872757,0.30905142426490784,0.9999999403953552,0.2700084447860718,0.30905142426490784,0.39240577816963196,0.3267174959182739,0.24412000179290771
a,0.3320399522781372,0.23921579122543335,0.322764128446579,0.5829201340675354,0.3043607771396637,0.539380669593811,0.5829201340675354,0.28908175230026245,0.45503583550453186,0.5829201340675354,0.30296337604522705,0.23316830396652222,0.23916715383529663
ciliary,0.24280540645122528,0.11856772005558014,0.23061397671699524,0.2600339353084564,0.3333145081996918,0.23874403536319733,0.2600339353084564,0.48539531230926514,0.2910118103027344,0.2600339353084564,0.38857120275497437,0.35860076546669006,0.16919046640396118
groove,0.2113393396139145,0.22725006937980652,0.10888228565454483,0.2651248872280121,0.23447324335575104,0.1688295155763626,0.2651248872280121,0.31841737031936646,0.21936702728271484,0.2651248872280121,0.35754287242889404,0.24550634622573853,0.1509512960910797
runs,0.17057748138904572,1.0000001192092896,0.2119603008031845,0.30832576751708984,0.16932839155197144,0.2674408257007599,0.30832576751708984,0.216119185090065,0.16705270111560822,0.30832576751708984,0.14220739901065826,0.1876838505268097,0.08094297349452972
out,0.3633197546005249,0.22986705601215363,0.3196950852870941,0.39404502511024475,0.193037211894989,0.3576207756996155,0.39404502511024475,0.283751904964447,0.42386990785598755,0.39404502511024475,0.2497112900018692,0.169794499874115,0.22020699083805084
under,0.20154598355293274,0.10531896352767944,0.24506589770317078,0.3348022699356079,0.20094633102416992,0.2535393238067627,0.3348022699356079,0.16167666018009186,0.27177539467811584,0.3348022699356079,0.1427733153104782,0.11492203176021576,0.18233340978622437
the,0.42745697498321533,0.30832576751708984,0.40150508284568787,1.0,0.3294210433959961,0.6662389636039734,1.0,0.30905142426490784,0.535392165184021,1.0,0.24626436829566956,0.2598671019077301,0.22068053483963013
dome,0.16917775571346283,0.10188282281160355,0.11970630288124084,0.2665141522884369,0.19369538128376007,0.20831109583377838,0.2665141522884369,0.2623310685157776,0.17809583246707916,0.2665141522884369,0.19547130167484283,0.24966733157634735,0.13345955312252045
and,0.31309178471565247,0.2632412016391754,0.3601827025413513,0.5171257257461548,0.2712576687335968,0.4954058527946472,0.5171257257461548,0.2893082797527313,0.48971283435821533,0.5171257257461548,0.28039759397506714,0.28445664048194885,0.20544172823429108
then,0.4072686731815338,0.22338974475860596,0.3597400188446045,0.4297412931919098,0.18820686638355255,0.36253848671913147,0.4297412931919098,0.30679985880851746,0.5203860402107239,0.4297412931919098,0.21433164179325104,0.23579463362693787,0.2884598970413208
splits,0.26333197951316833,0.3065902590751648,0.23916000127792358,0.3816553056240082,0.168278306722641,0.24283528327941895,0.3816553056240082,0.3044253885746002,0.2591266334056854,0.3816553056240082,0.19043996930122375,0.22886763513088226,0.1200874075293541
to,0.455847829580307,0.16705270111560822,0.4069952368736267,0.535392165184021,0.2506974935531616,0.45010748505592346,0.535392165184021,0.2700084447860718,1.0,0.535392165184021,0.18590781092643738,0.24169988930225372,0.29463258385658264
connect,0.21411117911338806,0.285409539937973,0.18457958102226257,0.28719469904899597,0.20789846777915955,0.24655267596244812,0.28719469904899597,0.32130593061447144,0.2861320674419403,0.28719469904899597,0.25009843707084656,0.23045846819877625,0.12289916723966599
with,0.2464839518070221,0.14759975671768188,0.26272761821746826,0.4223487675189972,0.2879490554332733,0.4080928862094879,0.4223487675189972,0.24861562252044678,0.4239959120750427,0.4223487675189972,0.295110285282135,0.2982041537761688,0.2433311939239502
two,0.23363454639911652,0.18810002505779266,0.25732070207595825,0.43858039379119873,0.23526595532894135,0.36463531851768494,0.43858039379119873,0.2777564823627472,0.3343428373336792,0.43858039379119873,0.23965223133563995,0.34783613681793213,0.19645625352859497
adjacent,0.22539548575878143,0.21182619035243988,0.1873910278081894,0.3491702079772949,0.24477122724056244,0.27606403827667236,0.3491702079772949,0.24023891985416412,0.26758721470832825,0.3491702079772949,0.2852223813533783,0.3569217622280121,0.10849558562040329
