,whose,portrait,by,françois,clouet,was,included,in,the,jones,bequest,of,1882,?
several,0.28807663917541504,0.09603115916252136,0.3275541365146637,0.1740911304950714,0.16596044600009918,0.25396689772605896,0.3810957968235016,0.39405709505081177,0.40559855103492737,0.1127418577671051,0.21115604043006897,0.3271615505218506,-0.11622747033834457,0.15595775842666626
french,0.20107154548168182,0.1325797736644745,0.23343317210674286,0.5515124201774597,0.4535975456237793,0.2523815333843231,0.13618244230747223,0.22093388438224792,0.2555147111415863,0.11285733431577682,0.12739461660385132,0.19450366497039795,-0.07793588191270828,0.1386883556842804
paintings,0.16730596125125885,0.5286722183227539,0.24946486949920654,0.22068682312965393,0.3557719588279724,0.21676096320152283,0.15336725115776062,0.2264205515384674,0.2167874127626419,0.140014186501503,0.2567296326160431,0.21768251061439514,0.008616939187049866,0.1866389960050583
entered,0.13328522443771362,0.13149094581604004,0.2365771234035492,0.15032148361206055,0.1764848679304123,0.3258320689201355,0.2750586271286011,0.31345370411872864,0.3258282542228699,0.14584630727767944,0.17839884757995605,0.2438427358865738,-0.15187011659145355,0.10335487127304077
the,0.38253846764564514,0.18703287839889526,0.4408751428127289,0.22130244970321655,0.28415921330451965,0.48711544275283813,0.3825419843196869,0.6662389636039734,1.0,0.24446700513362885,0.27512025833129883,0.733189046382904,-0.17908993363380432,0.22068053483963013
collection,0.14954999089241028,0.34422191977500916,0.2678082287311554,0.17945298552513123,0.21316666901111603,0.1743653565645218,0.38600611686706543,0.23004686832427979,0.25281965732574463,0.18541675806045532,0.2727102041244507,0.2915455996990204,0.01722794398665428,0.20069393515586853
as,0.3202406167984009,0.2584902048110962,0.3815547823905945,0.16420115530490875,0.1986258178949356,0.3677520453929901,0.34162476658821106,0.3887844979763031,0.48381632566452026,0.21983103454113007,0.294470876455307,0.3886612355709076,-0.06312896311283112,0.27043893933296204
part,0.25495222210884094,0.1473582684993744,0.28271573781967163,0.09550245851278305,0.20744290947914124,0.3407018780708313,0.40727710723876953,0.4499994218349457,0.527681291103363,0.16420887410640717,0.21128502488136292,0.452393114566803,-0.20056968927383423,0.08557961881160736
of,0.37058958411216736,0.24021127820014954,0.3646814823150635,0.19206100702285767,0.25451183319091797,0.4069072902202606,0.4391688108444214,0.5696388483047485,0.733189046382904,0.2007877230644226,0.30752936005592346,1.0,-0.16217687726020813,0.1826142966747284
the,0.38253846764564514,0.18703287839889526,0.4408751428127289,0.22130244970321655,0.28415921330451965,0.48711544275283813,0.3825419843196869,0.6662389636039734,1.0,0.24446700513362885,0.27512025833129883,0.733189046382904,-0.17908993363380432,0.22068053483963013
260,0.041980013251304626,0.057002436369657516,-0.06052607670426369,0.04171808063983917,0.10820341110229492,0.03220289945602417,-0.02225986123085022,0.08211222290992737,0.011885111220180988,0.03228139504790306,0.08301320672035217,-0.03095516562461853,0.04313721880316734,0.22087180614471436
paintings,0.16730596125125885,0.5286722183227539,0.24946486949920654,0.22068682312965393,0.3557719588279724,0.21676096320152283,0.15336725115776062,0.2264205515384674,0.2167874127626419,0.140014186501503,0.2567296326160431,0.21768251061439514,0.008616939187049866,0.1866389960050583
