,why,is,it,important,to,precisely,date,rocks,within,the,stratigraphic,section,?
geochronologists,0.2833143174648285,0.24509839713573456,0.2696220874786377,0.2540737986564636,0.26869267225265503,0.38841724395751953,0.3322262167930603,0.35065293312072754,0.25111064314842224,0.3283352255821228,0.506367027759552,0.23550349473953247,0.24876531958580017
precisely,0.33356621861457825,0.2900363504886627,0.3877606987953186,0.2413005381822586,0.3777070641517639,1.0,0.2589677572250366,0.25625988841056824,0.3200255334377289,0.3390568196773529,0.34824222326278687,0.24788105487823486,0.2168809473514557
date,0.17883044481277466,0.1887049674987793,0.2222152203321457,0.12924255430698395,0.2530132532119751,0.2589677572250366,1.0,0.20581649243831635,0.18756133317947388,0.25333094596862793,0.268695205450058,0.14299868047237396,0.2698357403278351
rocks,0.20611169934272766,0.23288390040397644,0.25571897625923157,0.14707636833190918,0.23520028591156006,0.25625988841056824,0.20581649243831635,0.9999999403953552,0.16642579436302185,0.24413059651851654,0.4446791410446167,0.12174545973539352,0.17394492030143738
within,0.19835862517356873,0.30135563015937805,0.31596240401268005,0.249331533908844,0.34980177879333496,0.3200255334377289,0.18756133317947388,0.16642579436302185,1.0,0.39827480912208557,0.2911253273487091,0.24327118694782257,0.1870293766260147
the,0.30742117762565613,0.5823672413825989,0.6251175999641418,0.39348116517066956,0.535392165184021,0.3390568196773529,0.25333094596862793,0.24413059651851654,0.39827480912208557,1.0,0.3194960653781891,0.3365345895290375,0.22068053483963013
stratigraphic,0.16457422077655792,0.26324859261512756,0.2316860407590866,0.1778315305709839,0.20134103298187256,0.34824222326278687,0.268695205450058,0.4446791410446167,0.2911253273487091,0.3194960653781891,0.9999998807907104,0.1961056888103485,0.13672329485416412
section,0.25388845801353455,0.22237545251846313,0.3210811913013458,0.22756287455558777,0.28596532344818115,0.24788105487823486,0.14299868047237396,0.12174545973539352,0.24327118694782257,0.3365345895290375,0.1961056888103485,0.9999998807907104,0.2733710706233978
in,0.23227278888225555,0.5394441485404968,0.5130809545516968,0.3796374499797821,0.45010748505592346,0.23201987147331238,0.21362407505512238,0.23642492294311523,0.40576374530792236,0.6662389636039734,0.26945239305496216,0.22227555513381958,0.20430970191955566
order,0.1690959632396698,0.19403748214244843,0.18806639313697815,0.2086799144744873,0.35544881224632263,0.260900616645813,0.21319420635700226,0.127637580037117,0.22272643446922302,0.3284194767475128,0.17227992415428162,0.13514333963394165,0.13725648820400238
to,0.4100138247013092,0.42745086550712585,0.513711154460907,0.30913278460502625,1.0,0.3777070641517639,0.2530132532119751,0.23520028591156006,0.34980177879333496,0.535392165184021,0.20134103298187256,0.28596532344818115,0.29463258385658264
provide,0.319799542427063,0.23050084710121155,0.20449455082416534,0.2843712568283081,0.3479624092578888,0.30098575353622437,0.18009251356124878,0.1701761782169342,0.31142324209213257,0.26373472809791565,0.31242838501930237,0.25753143429756165,0.22704634070396423
better,0.2904331088066101,0.23651917278766632,0.2868439853191376,0.27501770853996277,0.29406851530075073,0.3379771113395691,0.1859426647424698,0.15572300553321838,0.1047033742070198,0.2113795131444931,0.17460839450359344,0.18791131675243378,0.32159438729286194
absolute,0.2263038456439972,0.2352413386106491,0.23544947803020477,0.14221931993961334,0.26245933771133423,0.3018943667411804,0.13171128928661346,0.12423399090766907,0.28682222962379456,0.26488861441612244,0.2148178368806839,0.10008621215820312,0.22724391520023346
bounds,0.12035950273275375,0.2745935618877411,0.2748798131942749,0.060392461717128754,0.320420503616333,0.23290681838989258,0.17392316460609436,0.20518656075000763,0.3401848375797272,0.30338889360427856,0.24596120417118073,0.2041189968585968,0.12707965075969696
on,0.2698206305503845,0.3635730445384979,0.4529881477355957,0.23164092004299164,0.41031414270401,0.20484861731529236,0.21806180477142334,0.2381529062986374,0.2702226936817169,0.5107308030128479,0.2798256278038025,0.21296674013137817,0.2714994251728058
the,0.30742117762565613,0.5823672413825989,0.6251175999641418,0.39348116517066956,0.535392165184021,0.3390568196773529,0.25333094596862793,0.24413059651851654,0.39827480912208557,1.0,0.3194960653781891,0.3365345895290375,0.22068053483963013
timing,0.2952868938446045,0.23380550742149353,0.25519371032714844,0.2615615129470825,0.29132845997810364,0.3560832440853119,0.2155422568321228,0.2057480365037918,0.2658149003982544,0.2968205213546753,0.32430535554885864,0.1886325478553772,0.15495823323726654
and,0.27806392312049866,0.3859752118587494,0.40957894921302795,0.37549954652786255,0.48971283435821533,0.25873884558677673,0.21585220098495483,0.29739323258399963,0.35049548745155334,0.5171257257461548,0.24237629771232605,0.262373685836792,0.20544172823429108
rates,0.19132044911384583,0.24308988451957703,0.20320101082324982,0.21637287735939026,0.25232431292533875,0.1975467950105667,0.21262229979038239,0.20553350448608398,0.26356375217437744,0.25867342948913574,0.2520086169242859,0.1257968544960022,0.13808594644069672
of,0.28464117646217346,0.4854315221309662,0.38761502504348755,0.43301743268966675,0.41548454761505127,0.22923026978969574,0.19568462669849396,0.2664484679698944,0.39594778418540955,0.733189046382904,0.338003009557724,0.21215301752090454,0.1826142966747284
deposition,0.1695096492767334,0.24657103419303894,0.2485426515340805,0.18786992132663727,0.20738232135772705,0.24712252616882324,0.1667313128709793,0.4671895205974579,0.253471702337265,0.3074389100074768,0.5030728578567505,0.18553030490875244,0.15152323246002197
.,0.32909876108169556,0.4569662809371948,0.5593622326850891,0.33938494324684143,0.4645031690597534,0.21873106062412262,0.2508279085159302,0.26481303572654724,0.2984525263309479,0.5934505462646484,0.25224223732948303,0.26206159591674805,0.4130953550338745
,why,is,it,important,to,precisely,date,rocks,within,the,stratigraphic,section,?
other,0.321101576089859,0.25895947217941284,0.36282607913017273,0.4005765914916992,0.4193183183670044,0.26289844512939453,0.15166617929935455,0.2665695250034332,0.2836414575576782,0.44152235984802246,0.14268624782562256,0.2836860418319702,0.24682199954986572
scientists,0.3127683997154236,0.24610774219036102,0.27276167273521423,0.2159729152917862,0.27814680337905884,0.2020498812198639,0.10725679248571396,0.28557735681533813,0.19256669282913208,0.25988271832466125,0.2557220160961151,0.133460134267807,0.16597221791744232
perform,0.19715386629104614,0.1837693303823471,0.18646354973316193,0.2351139336824417,0.3513144552707672,0.2404077649116516,0.16871173679828644,0.13938383758068085,0.11029119789600372,0.22443658113479614,0.14481475949287415,0.09220927208662033,0.13460582494735718
stable,0.20300985872745514,0.24228155612945557,0.2719895839691162,0.22596177458763123,0.2686217427253723,0.23916706442832947,0.20540094375610352,0.18131662905216217,0.2057553380727768,0.19243422150611877,0.23469877243041992,0.0992983728647232,0.11452282965183258
isotope,0.25287842750549316,0.24059085547924042,0.2538115978240967,0.18945766985416412,0.1760435551404953,0.20751544833183289,0.18890628218650818,0.32808780670166016,0.19131158292293549,0.15879318118095398,0.39249303936958313,0.11532067507505417,0.16495643556118011
studies,0.16721345484256744,0.2583865225315094,0.18707939982414246,0.24854861199855804,0.27655282616615295,0.15142793953418732,0.12924735248088837,0.18119017779827118,0.20303449034690857,0.22738903760910034,0.38278794288635254,0.17348986864089966,0.1388726830482483
on,0.2698206305503845,0.3635730445384979,0.4529881477355957,0.23164092004299164,0.41031414270401,0.20484861731529236,0.21806180477142334,0.2381529062986374,0.2702226936817169,0.5107308030128479,0.2798256278038025,0.21296674013137817,0.2714994251728058
the,0.30742117762565613,0.5823672413825989,0.6251175999641418,0.39348116517066956,0.535392165184021,0.3390568196773529,0.25333094596862793,0.24413059651851654,0.39827480912208557,1.0,0.3194960653781891,0.3365345895290375,0.22068053483963013
rocks,0.20611169934272766,0.23288390040397644,0.25571897625923157,0.14707636833190918,0.23520028591156006,0.25625988841056824,0.20581649243831635,0.9999999403953552,0.16642579436302185,0.24413059651851654,0.4446791410446167,0.12174545973539352,0.17394492030143738
to,0.4100138247013092,0.42745086550712585,0.513711154460907,0.30913278460502625,1.0,0.3777070641517639,0.2530132532119751,0.23520028591156006,0.34980177879333496,0.535392165184021,0.20134103298187256,0.28596532344818115,0.29463258385658264
