,what,day,was,tesla,'s,funeral,?
on,0.34226128458976746,0.3332281708717346,0.3909217119216919,0.16159376502037048,0.0026888418942689896,0.23788054287433624,0.2714994251728058
12,0.1696145385503769,0.1572544425725937,0.13560841977596283,-0.005746666342020035,0.025158222764730453,0.10849486291408539,0.10021790862083435
january,0.19257698953151703,0.23701950907707214,0.3933098316192627,0.13615937530994415,-0.08409902453422546,0.2205803096294403,0.28608936071395874
",",0.3087472915649414,0.30821847915649414,0.45456063747406006,0.20599327981472015,-0.0016132977325469255,0.26193949580192566,0.31091248989105225
two,0.23363454639911652,0.217762291431427,0.27166637778282166,0.18793831765651703,0.038143858313560486,0.15627384185791016,0.19645625352859497
thousand,0.170334592461586,0.3136829733848572,0.16078540682792664,0.1782107651233673,0.0878923088312149,0.17231528460979462,0.15439848601818085
people,0.32444337010383606,0.18333609402179718,0.2518421411514282,0.1363585740327835,0.023582622408866882,0.2202594131231308,0.23739641904830933
attended,0.08783939480781555,0.18378403782844543,0.3633120656013489,0.13557399809360504,-0.0201680026948452,0.3333749771118164,0.08268529176712036
a,0.3320399522781372,0.18630309402942657,0.4508470594882965,0.2211925983428955,0.04866964742541313,0.2279004156589508,0.23916715383529663
state,0.24273863434791565,0.18586879968643188,0.22072885930538177,0.1790231466293335,0.038451772183179855,0.25768813490867615,0.1160883978009224
funeral,0.16178500652313232,0.26981496810913086,0.2682800590991974,0.11262314021587372,0.06456310302019119,0.9999999403953552,0.16502951085567474
for,0.3017193675041199,0.23720888793468475,0.3863949179649353,0.13983871042728424,-0.07241261005401611,0.2095528542995453,0.264628142118454
tesla,0.23221199214458466,0.16580471396446228,0.16455206274986267,0.9999999403953552,0.06449045985937119,0.11262314021587372,0.10250775516033173
at,0.2838611304759979,0.27667680382728577,0.36707764863967896,0.16552478075027466,-0.08481216430664062,0.2338956594467163,0.21978627145290375
the,0.42745697498321533,0.3062323033809662,0.48711544275283813,0.1324402391910553,-0.01540423184633255,0.20578792691230774,0.22068053483963013
cathedral,0.13176603615283966,0.1852046251296997,0.21967831254005432,0.18980979919433594,-0.05534784123301506,0.33371812105178833,0.1257525086402893
of,0.33290785551071167,0.2934032380580902,0.4069072902202606,0.18837453424930573,-0.03817026689648628,0.2475227415561676,0.1826142966747284
saint,0.1704905927181244,0.2195400446653366,0.2067660540342331,0.13967008888721466,0.09386444836854935,0.2634645998477936,0.15690264105796814
john,0.18237407505512238,0.17025938630104065,0.2875721752643585,0.16234931349754333,-0.1023898646235466,0.1683339625597,0.13162356615066528
the,0.42745697498321533,0.3062323033809662,0.48711544275283813,0.1324402391910553,-0.01540423184633255,0.20578792691230774,0.22068053483963013
divine,0.2493596225976944,0.20228011906147003,0.22035343945026398,0.21004876494407654,0.05870935320854187,0.20699220895767212,0.17546041309833527
.,0.3567904531955719,0.24232520163059235,0.40146201848983765,0.17949827015399933,-0.003708066651597619,0.2139163613319397,0.4130953550338745
