,on,what,did,luther,'s,friend,blame,his,sadness,and,entrance,into,the,cloister,?
one,0.3601475656032562,0.376489520072937,0.27659472823143005,0.1255420446395874,0.06913424283266068,0.23463360965251923,0.19920356571674347,0.3774510324001312,0.24270296096801758,0.42438167333602905,0.23449130356311798,0.31758198142051697,0.5514441132545471,0.2393714338541031,0.2673267424106598
friend,0.15464338660240173,0.21574655175209045,0.1877204179763794,0.15032494068145752,0.11368956416845322,0.9999998807907104,0.17833910882472992,0.4291400909423828,0.3009675443172455,0.2752458155155182,0.17079830169677734,0.10789597779512405,0.1746615767478943,0.20481832325458527,0.12953594326972961
blamed,0.2229813039302826,0.21846549212932587,0.3608649671077728,0.1546998918056488,-0.032679375261068344,0.17759397625923157,0.7727999687194824,0.2553176283836365,0.2508670389652252,0.2473568171262741,0.054589416831731796,0.1773349940776825,0.2461363822221756,0.06537266820669174,0.14765259623527527
the,0.5107308030128479,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.1746615767478943,0.1959904432296753,0.4394008219242096,0.23938961327075958,0.5171257257461548,0.31372344493865967,0.39493247866630554,1.0,0.303792804479599,0.22068053483963013
decision,0.2723582983016968,0.32053670287132263,0.285696417093277,0.16740675270557404,0.04087042436003685,0.20785260200500488,0.32886117696762085,0.25397151708602905,0.2096722573041916,0.20328959822654724,0.11404462158679962,0.10131505876779556,0.2905151844024658,0.1242998018860817,0.2796577215194702
on,0.9999999403953552,0.34226128458976746,0.2670976221561432,0.19090485572814941,0.0026888418942689896,0.15464338660240173,0.17159825563430786,0.32064297795295715,0.17030470073223114,0.4077630043029785,0.25659018754959106,0.30585673451423645,0.5107308030128479,0.16061817109584808,0.2714994251728058
luther,0.19090485572814941,0.2134782373905182,0.23667675256729126,1.0,-0.009990512393414974,0.15032494068145752,0.15718168020248413,0.27093374729156494,0.21135883033275604,0.20796556770801544,0.16693204641342163,0.12939998507499695,0.1759674996137619,0.24050062894821167,0.1732746809720993
's,0.0026888418942689896,0.02692362666130066,0.05069678649306297,-0.009990512393414974,0.9999999403953552,0.11368956416845322,0.041728824377059937,0.047556519508361816,0.03585410118103027,0.06895173341035843,0.017093738541007042,0.00961404386907816,-0.01540423184633255,-0.038920823484659195,-0.023395681753754616
sadness,0.17030470073223114,0.27175426483154297,0.21979832649230957,0.21135883033275604,0.03585410118103027,0.3009675443172455,0.3232322931289673,0.35525330901145935,1.0,0.24153152108192444,0.1703147292137146,0.14221754670143127,0.23938961327075958,0.21985848248004913,0.1640486717224121
over,0.39810362458229065,0.28007611632347107,0.2535076439380646,0.19360381364822388,0.016215575858950615,0.14084658026695251,0.22787293791770935,0.3031150996685028,0.19560258090496063,0.4021143913269043,0.17617060244083405,0.372319757938385,0.39856547117233276,0.16976706683635712,0.25742942094802856
the,0.5107308030128479,0.42745697498321533,0.34736719727516174,0.1759674996137619,-0.01540423184633255,0.1746615767478943,0.1959904432296753,0.4394008219242096,0.23938961327075958,0.5171257257461548,0.31372344493865967,0.39493247866630554,1.0,0.303792804479599,0.22068053483963013
deaths,0.16448311507701874,0.239221453666687,0.19010040163993835,0.07291571795940399,0.00345835299231112,0.09065768122673035,0.21376079320907593,0.19424501061439514,0.12997767329216003,0.1457458734512329,0.06662223488092422,0.16471190750598907,0.2496282309293747,0.13610997796058655,0.1897452175617218
of,0.3966929316520691,0.33290785551071167,0.2513895630836487,0.1719115972518921,-0.03817026689648628,0.13773126900196075,0.17065608501434326,0.38364991545677185,0.24564802646636963,0.5116966962814331,0.2534947693347931,0.32255905866622925,0.733189046382904,0.2938269376754761,0.1826142966747284
two,0.3205535411834717,0.23363454639911652,0.2755576968193054,0.18037931621074677,0.038143858313560486,0.15699225664138794,0.15728981792926788,0.3376699388027191,0.15721124410629272,0.4671151638031006,0.21371518075466156,0.34175926446914673,0.43858039379119873,0.1640453338623047,0.19645625352859497
friends,0.19653092324733734,0.21297906339168549,0.24033944308757782,0.14277362823486328,0.06490477919578552,0.7753452062606812,0.20419424772262573,0.4035208821296692,0.27348464727401733,0.3389349579811096,0.14162932336330414,0.10432671010494232,0.2185121476650238,0.18308810889720917,0.12953145802021027
.,0.49257001280784607,0.3567904531955719,0.35288307070732117,0.24907569587230682,-0.003708066651597619,0.18085046112537384,0.21665722131729126,0.3119256794452667,0.1730019748210907,0.588965117931366,0.21017757058143616,0.26250120997428894,0.5934505462646484,0.17695780098438263,0.4130953550338745
