,there,is,a,public,database,of,epitopes,for,pathogens,known,to,be,recognizable,by,what,cells,?
a,0.4214206337928772,0.658733606338501,1.0,0.19607044756412506,0.1989889293909073,0.5052502155303955,0.2606361210346222,0.44038116931915283,0.21121124923229218,0.30882248282432556,0.45503583550453186,0.39883795380592346,0.3005339503288269,0.32094135880470276,0.3320399522781372,0.2297232300043106,0.23916715383529663
publicly,0.13396531343460083,0.17154480516910553,0.13090147078037262,0.5424575805664062,0.17968763411045074,0.17506715655326843,0.2443874478340149,0.23914334177970886,0.2203313708305359,0.19045469164848328,0.29973188042640686,0.27423232793807983,0.16295906901359558,0.31871891021728516,0.2473599910736084,0.16437888145446777,0.24073180556297302
accessible,0.32920393347740173,0.22301459312438965,0.1774442493915558,0.35751840472221375,0.29166874289512634,0.24014221131801605,0.24542959034442902,0.2703911066055298,0.2254735380411148,0.16048406064510345,0.3116091787815094,0.3349855840206146,0.2878042757511139,0.18994656205177307,0.23191256821155548,0.18652719259262085,0.22625717520713806
database,0.13919919729232788,0.1521569937467575,0.1989889293909073,0.12917348742485046,0.9999998807907104,0.1773310899734497,0.12783773243427277,0.2045898139476776,0.20964261889457703,0.1422136127948761,0.1587103009223938,0.18894000351428986,0.1640058159828186,0.1579085886478424,0.17181570827960968,0.12324371188879013,0.2002238929271698
has,0.42909398674964905,0.5668748617172241,0.4670248031616211,0.20210739970207214,0.17228306829929352,0.3909035325050354,0.21332785487174988,0.450642853975296,0.13818007707595825,0.2451976239681244,0.3619994819164276,0.3863394856452942,0.2612305283546448,0.3254803419113159,0.20338068902492523,0.13010719418525696,0.15994466841220856
been,0.3571467399597168,0.39566612243652344,0.3315402865409851,0.1792723387479782,0.16548660397529602,0.31685134768486023,0.2684752643108368,0.39068686962127686,0.2353324294090271,0.2256493717432022,0.34945759177207947,0.5304332375526428,0.242787167429924,0.39107078313827515,0.2567804455757141,0.19413690268993378,0.24354910850524902
established,0.30601149797439575,0.1754443645477295,0.23500119149684906,0.15443740785121918,0.15387828648090363,0.2735237777233124,0.15152111649513245,0.1717284768819809,0.08427431434392929,0.2144404649734497,0.15850777924060822,0.11399583518505096,0.2554047405719757,0.21138796210289001,0.14869536459445953,0.08021127432584763,0.15917523205280304
for,0.3728419542312622,0.43268078565597534,0.44038116931915283,0.3092794418334961,0.2045898139476776,0.4185989499092102,0.23893718421459198,0.9999999403953552,0.194688081741333,0.363901823759079,0.4451248347759247,0.3801851272583008,0.25592857599258423,0.3248702883720398,0.3017193675041199,0.18419811129570007,0.264628142118454
the,0.47025805711746216,0.5823672413825989,0.5829201340675354,0.22857438027858734,0.19080553948879242,0.733189046382904,0.3205353021621704,0.4739971458911896,0.23115308582782745,0.3624623417854309,0.535392165184021,0.4248143136501312,0.38144874572753906,0.4408751428127289,0.42745697498321533,0.19095487892627716,0.22068053483963013
cataloguing,0.17260392010211945,0.16948318481445312,0.20237968862056732,0.2786334455013275,0.31549444794654846,0.27443039417266846,0.3592676520347595,0.2454012632369995,0.18216195702552795,0.21427598595619202,0.2037057876586914,0.23006640374660492,0.3100055456161499,0.2773934304714203,0.22319847345352173,0.16886067390441895,0.2127496749162674
of,0.44397735595703125,0.4854315221309662,0.5052502155303955,0.2391265481710434,0.1773310899734497,1.0,0.36274707317352295,0.4185989499092102,0.22946582734584808,0.35814476013183594,0.41548454761505127,0.33904364705085754,0.3433525860309601,0.3646814823150635,0.33290785551071167,0.21305565536022186,0.1826142966747284
epitopes,0.2586561143398285,0.2198653221130371,0.2606361210346222,0.2643388509750366,0.12783773243427277,0.36274707317352295,1.0000001192092896,0.23893718421459198,0.36643779277801514,0.19645549356937408,0.26922106742858887,0.23512253165245056,0.26439815759658813,0.2619709074497223,0.22242367267608643,0.32428640127182007,0.18741075694561005
from,0.2965545952320099,0.27355384826660156,0.322764128446579,0.22383596003055573,0.09327210485935211,0.4249346852302551,0.2564712464809418,0.314039945602417,0.20573127269744873,0.18996182084083557,0.4069952368736267,0.3107333183288574,0.20904724299907684,0.3373257517814636,0.2737620174884796,0.22742275893688202,0.19969791173934937
pathogens,0.19029265642166138,0.19907276332378387,0.21121124923229218,0.1352321207523346,0.20964261889457703,0.22946582734584808,0.36643779277801514,0.194688081741333,1.0,0.21632184088230133,0.26178881525993347,0.25967881083488464,0.15789631009101868,0.20554135739803314,0.24503889679908752,0.6204997897148132,0.21364152431488037
known,0.20795854926109314,0.41921812295913696,0.30882248282432556,0.20257171988487244,0.1422136127948761,0.35814476013183594,0.19645549356937408,0.363901823759079,0.21632184088230133,1.0,0.14337651431560516,0.15196610987186432,0.4103529751300812,0.24461808800697327,0.20381177961826324,0.14049942791461945,0.18314571678638458
to,0.40669289231300354,0.42745086550712585,0.45503583550453186,0.2672370672225952,0.1587103009223938,0.41548454761505127,0.26922106742858887,0.4451248347759247,0.26178881525993347,0.14337651431560516,1.0,0.4972836375236511,0.2342565953731537,0.33534231781959534,0.455847829580307,0.26320719718933105,0.29463258385658264
be,0.41019052267074585,0.4819129705429077,0.39883795380592346,0.22898490726947784,0.18894000351428986,0.33904364705085754,0.23512253165245056,0.3801851272583008,0.25967881083488464,0.15196610987186432,0.4972836375236511,1.0,0.26067307591438293,0.43158695101737976,0.3929833769798279,0.2454119622707367,0.3324260413646698
recognizable,0.29130658507347107,0.29197457432746887,0.3005339503288269,0.18030604720115662,0.1640058159828186,0.3433525860309601,0.26439815759658813,0.25592857599258423,0.15789631009101868,0.4103529751300812,0.2342565953731537,0.26067307591438293,1.0,0.2751641571521759,0.24218398332595825,0.14504824578762054,0.18629898130893707
by,0.20383623242378235,0.3899846076965332,0.32094135880470276,0.23323717713356018,0.1579085886478424,0.3646814823150635,0.2619709074497223,0.3248702883720398,0.20554135739803314,0.24461808800697327,0.33534231781959534,0.43158695101737976,0.2751641571521759,1.0000001192092896,0.2455483376979828,0.19208736717700958,0.17966607213020325
b,0.07119178026914597,0.14543820917606354,0.24025672674179077,0.12960514426231384,0.18717288970947266,0.22055713832378387,0.14327949285507202,0.14813369512557983,0.12612783908843994,0.1650417447090149,0.08878466486930847,0.10434723645448685,0.12001168727874756,0.22379975020885468,0.13329443335533142,0.1588091403245926,0.1975182741880417
cells,0.21102742850780487,0.1644774079322815,0.2297232300043106,0.12809526920318604,0.12324371188879013,0.21305565536022186,0.32428640127182007,0.18419811129570007,0.6204997897148132,0.14049942791461945,0.26320719718933105,0.2454119622707367,0.14504824578762054,0.19208736717700958,0.1758001297712326,1.0,0.1898086667060852
.,0.43897318840026855,0.4569662809371948,0.50484299659729,0.21888655424118042,0.17298711836338043,0.5352458953857422,0.3194344639778137,0.4726039469242096,0.2375609129667282,0.283290296792984,0.4645031690597534,0.4383580684661865,0.24203768372535706,0.3936232924461365,0.3567904531955719,0.2868211269378662,0.4130953550338745
