,what,has,been,analyzed,to,compare,amazon,rainfall,in,the,past,and,present,?
analyses,0.2285933792591095,0.23310263454914093,0.23890776932239532,0.6071116924285889,0.2242041677236557,0.39240115880966187,0.22053846716880798,0.17282582819461823,0.17754743993282318,0.23002441227436066,0.19506484270095825,0.22308197617530823,0.1990194320678711,0.17589309811592102
of,0.33290785551071167,0.3909035325050354,0.31685134768486023,0.21299321949481964,0.41548454761505127,0.27714359760284424,0.20143137872219086,0.2068331092596054,0.5696388483047485,0.733189046382904,0.27417802810668945,0.5116966962814331,0.3116828501224518,0.1826142966747284
sediment,0.19542910158634186,0.16123998165130615,0.20034782588481903,0.2642081379890442,0.19675683975219727,0.12757077813148499,0.24430792033672333,0.34905368089675903,0.2096979320049286,0.2451712042093277,0.19160132110118866,0.23996920883655548,0.2144290655851364,0.14870919287204742
deposits,0.17664960026741028,0.18628109991550446,0.21618719398975372,0.2807595431804657,0.19850799441337585,0.1666945368051529,0.20045168697834015,0.2702668607234955,0.23073440790176392,0.27324897050857544,0.14835979044437408,0.2642618715763092,0.22155247628688812,0.1225230023264885
from,0.2737620174884796,0.2621968984603882,0.27624839544296265,0.15945680439472198,0.4069952368736267,0.1791253536939621,0.08236479759216309,0.20882150530815125,0.4274188280105591,0.40150508284568787,0.24864399433135986,0.3601827025413513,0.20334279537200928,0.19969791173934937
amazon,0.16355936229228973,0.1779293268918991,0.13283225893974304,0.12020157277584076,0.17033490538597107,0.17957238852977753,1.0000001192092896,0.26409438252449036,0.12227833271026611,0.260541707277298,0.10911105573177338,0.23464977741241455,0.08765508979558945,0.18144656717777252
basin,0.1565224826335907,0.18059469759464264,0.16447792947292328,0.145499125123024,0.1498844176530838,0.05154339224100113,0.41143864393234253,0.40976372361183167,0.22316701710224152,0.24553915858268738,0.1400386095046997,0.20293349027633667,0.14395315945148468,0.14685653150081635
paleolakes,0.2805918753147125,0.23540562391281128,0.2594534456729889,0.273147851228714,0.21988095343112946,0.18499822914600372,0.27662381529808044,0.30521395802497864,0.2976265251636505,0.2863076329231262,0.24470075964927673,0.3113461136817932,0.2080582231283188,0.18062393367290497
and,0.31309178471565247,0.43716782331466675,0.3424558639526367,0.20057129859924316,0.48971283435821533,0.3096909821033478,0.23464977741241455,0.21498344838619232,0.4954058527946472,0.5171257257461548,0.2684100568294525,1.0,0.2790124714374542,0.20544172823429108
from,0.2737620174884796,0.2621968984603882,0.27624839544296265,0.15945680439472198,0.4069952368736267,0.1791253536939621,0.08236479759216309,0.20882150530815125,0.4274188280105591,0.40150508284568787,0.24864399433135986,0.3601827025413513,0.20334279537200928,0.19969791173934937
the,0.42745697498321533,0.4177538752555847,0.3563927710056305,0.2337135225534439,0.535392165184021,0.26994526386260986,0.260541707277298,0.24584579467773438,0.6662389636039734,1.0,0.2747827172279358,0.5171257257461548,0.2829846143722534,0.22068053483963013
amazon,0.16355936229228973,0.1779293268918991,0.13283225893974304,0.12020157277584076,0.17033490538597107,0.17957238852977753,1.0000001192092896,0.26409438252449036,0.12227833271026611,0.260541707277298,0.10911105573177338,0.23464977741241455,0.08765508979558945,0.18144656717777252
fan,0.10274515300989151,0.18500733375549316,0.17139670252799988,0.13323941826820374,0.18811891973018646,0.11275281012058258,0.2319728136062622,0.11228414624929428,0.09429174661636353,0.163461834192276,0.2339264452457428,0.18782666325569153,0.159501314163208,0.15863578021526337
indicate,0.24538113176822662,0.2552264332771301,0.23159101605415344,0.2604824900627136,0.28129613399505615,0.421099454164505,0.1705303192138672,0.14118735492229462,0.21759656071662903,0.2430160641670227,0.26489752531051636,0.22519426047801971,0.2600472867488861,0.23544088006019592
that,0.6297725439071655,0.41272613406181335,0.4152003228664398,0.3162223994731903,0.5436353087425232,0.322277307510376,0.2228476107120514,0.18002696335315704,0.435920387506485,0.5473989248275757,0.3592626452445984,0.4731321930885315,0.25174012780189514,0.32716336846351624
rainfall,0.1762358695268631,0.21212847530841827,0.1933216154575348,0.11264044046401978,0.18647831678390503,0.09041551500558853,0.26409438252449036,1.0,0.24792563915252686,0.24584579467773438,0.1743588000535965,0.21498344838619232,0.12102946639060974,0.17489276826381683
in,0.30808621644973755,0.4173259735107422,0.3515113592147827,0.21864107251167297,0.45010748505592346,0.1632516235113144,0.12227833271026611,0.24792563915252686,1.0,0.6662389636039734,0.24275542795658112,0.4954058527946472,0.23905439674854279,0.20430970191955566
the,0.42745697498321533,0.4177538752555847,0.3563927710056305,0.2337135225534439,0.535392165184021,0.26994526386260986,0.260541707277298,0.24584579467773438,0.6662389636039734,1.0,0.2747827172279358,0.5171257257461548,0.2829846143722534,0.22068053483963013
basin,0.1565224826335907,0.18059469759464264,0.16447792947292328,0.145499125123024,0.1498844176530838,0.05154339224100113,0.41143864393234253,0.40976372361183167,0.22316701710224152,0.24553915858268738,0.1400386095046997,0.20293349027633667,0.14395315945148468,0.14685653150081635
during,0.24137552082538605,0.23098520934581757,0.3273974359035492,0.22784259915351868,0.2828781306743622,0.1296669840812683,0.11170908063650131,0.21561802923679352,0.4627237319946289,0.4838213622570038,0.2751207649707794,0.36462149024009705,0.17243392765522003,0.1325719803571701
the,0.42745697498321533,0.4177538752555847,0.3563927710056305,0.2337135225534439,0.535392165184021,0.26994526386260986,0.260541707277298,0.24584579467773438,0.6662389636039734,1.0,0.2747827172279358,0.5171257257461548,0.2829846143722534,0.22068053483963013
lgm,0.2686269283294678,0.20713575184345245,0.24985218048095703,0.2329573780298233,0.3050055503845215,0.299610435962677,0.11549964547157288,0.19919733703136444,0.2136618196964264,0.2530740201473236,0.211726576089859,0.28099530935287476,0.14804181456565857,0.27672693133354187
was,0.22111038863658905,0.40313825011253357,0.518218457698822,0.21017055213451385,0.3636345863342285,0.09800519049167633,0.14616160094738007,0.202146515250206,0.45514053106307983,0.48711544275283813,0.17324605584144592,0.3740963041782379,0.1278916448354721,0.18412111699581146
