,the,principle,of,faunal,succession,was,developed,100,years,before,whose,theory,of,evolution,?
based,0.29860720038414,0.2775426506996155,0.3033197224140167,0.15392935276031494,0.13228459656238556,0.2870393395423889,0.3563345670700073,0.17493540048599243,0.14337651431560516,0.1823877990245819,0.20902396738529205,0.18977931141853333,0.3033197224140167,0.20692993700504303,0.134929820895195
on,0.5107308030128479,0.190961554646492,0.3966929316520691,0.16368524730205536,0.14500533044338226,0.3909217119216919,0.2070675492286682,0.11878255754709244,0.2152649462223053,0.3903424143791199,0.17062877118587494,0.16873858869075775,0.3966929316520691,0.1810314953327179,0.2714994251728058
principles,0.21452596783638,0.8624683022499084,0.25854504108428955,0.33435162901878357,0.17531879246234894,0.15514956414699554,0.3137640655040741,0.17700515687465668,0.13290512561798096,0.1874866634607315,0.169301375746727,0.481322705745697,0.25854504108428955,0.3218975365161896,0.19203636050224304
laid,0.30588608980178833,0.21751263737678528,0.3146350383758545,0.30196964740753174,0.24807700514793396,0.2393600195646286,0.2815273702144623,0.1753452718257904,0.24082042276859283,0.19444669783115387,0.12348118424415588,0.20152509212493896,0.3146350383758545,0.2393510639667511,0.11215737462043762
out,0.39404502511024475,0.21232526004314423,0.34176841378211975,0.08884517848491669,0.13380493223667145,0.28168347477912903,0.17169131338596344,0.11286774277687073,0.23741310834884644,0.35073143243789673,0.17154288291931152,0.2199130654335022,0.34176841378211975,0.2143629938364029,0.22020699083805084
by,0.4408751428127289,0.18832720816135406,0.3646814823150635,0.14836342632770538,0.23362506926059723,0.4752357602119446,0.2796236276626587,0.2142891138792038,0.19883383810520172,0.37709173560142517,0.3384193778038025,0.17579947412014008,0.3646814823150635,0.21092908084392548,0.17966607213020325
william,0.21537061035633087,0.18949006497859955,0.20272590219974518,0.20727942883968353,0.19280306994915009,0.28444796800613403,0.08916711807250977,0.14329737424850464,0.1908867359161377,0.16399598121643066,0.19628676772117615,0.048205021768808365,0.20272590219974518,0.1115277037024498,0.14462219178676605
smith,0.24611686170101166,0.15191134810447693,0.1941387802362442,0.1975845992565155,0.07682164013385773,0.23871435225009918,0.11238142102956772,0.13244344294071198,0.16997183859348297,0.23731407523155212,0.1616925448179245,0.15261201560497284,0.1941387802362442,0.22626425325870514,0.21930724382400513
almost,0.3341992199420929,0.20835383236408234,0.3144364058971405,0.20563438534736633,0.17706076800823212,0.2474903166294098,0.2188991755247116,0.16924525797367096,0.3361320495605469,0.3231149911880493,0.2527977526187897,0.11201699823141098,0.3144364058971405,0.2072928249835968,0.1372147500514984
a,0.5829201340675354,0.1871873140335083,0.5052502155303955,0.16662225127220154,0.22721372544765472,0.4508470594882965,0.286296546459198,0.20273639261722565,0.23773819208145142,0.3583870828151703,0.3225097060203552,0.2233850657939911,0.5052502155303955,0.23568525910377502,0.23916715383529663
hundred,0.3325488865375519,0.14013949036598206,0.3473483920097351,0.22303837537765503,0.20084019005298615,0.23643863201141357,0.18451371788978577,0.25154614448547363,0.5152035355567932,0.25674960017204285,0.2498164027929306,0.1436808854341507,0.3473483920097351,0.18577930331230164,0.17378053069114685
years,0.2912273406982422,0.07262511551380157,0.2904134690761566,0.24567383527755737,0.27928653359413147,0.35855233669281006,0.22479642927646637,0.13962221145629883,1.0,0.3794313073158264,0.21336688101291656,0.1890709400177002,0.2904134690761566,0.2339898645877838,0.1914375126361847
before,0.45900648832321167,0.16126586496829987,0.3282964527606964,0.16765497624874115,0.25818467140197754,0.38607707619667053,0.2201162427663803,0.057909488677978516,0.3794313073158264,1.0,0.17405958473682404,0.17253084480762482,0.3282964527606964,0.15794603526592255,0.2507109045982361
the,1.0,0.24017377197742462,0.733189046382904,0.2679622173309326,0.3133684992790222,0.48711544275283813,0.24490751326084137,0.16408909857273102,0.2912273406982422,0.45900648832321167,0.38253846764564514,0.2277156263589859,0.733189046382904,0.2514035999774933,0.22068053483963013
publication,0.24080322682857513,0.219753235578537,0.20938149094581604,0.29507017135620117,0.24733366072177887,0.22530198097229004,0.15546217560768127,0.23076559603214264,0.23030520975589752,0.21925324201583862,0.2032489776611328,0.24488972127437592,0.20938149094581604,0.27770283818244934,0.2191428393125534
of,0.733189046382904,0.2430231273174286,1.0,0.2839019000530243,0.3265681266784668,0.4069072902202606,0.21960023045539856,0.1816425770521164,0.2904134690761566,0.3282964527606964,0.37058958411216736,0.23506702482700348,1.0,0.23780936002731323,0.1826142966747284
charles,0.20777860283851624,0.16670408844947815,0.22512592375278473,0.1952461302280426,0.2612224817276001,0.28342804312705994,0.09723134338855743,0.16872434318065643,0.17124803364276886,0.15134207904338837,0.10945536196231842,0.15816597640514374,0.22512592375278473,0.24252405762672424,0.17366734147071838
darwin,0.1935407668352127,0.309481143951416,0.17460091412067413,0.32590869069099426,0.1822180449962616,0.24770371615886688,0.17863868176937103,0.16741706430912018,0.2107786238193512,0.15505193173885345,0.12611833214759827,0.37594074010849,0.17460091412067413,0.48237746953964233,0.13912999629974365
's,-0.01540423184633255,-0.03991859778761864,-0.03817026689648628,0.08680088818073273,-0.05793838948011398,0.008974763564765453,0.04590931162238121,0.038298558443784714,0.05563735216856003,-0.01158253662288189,-0.019954677671194077,-0.0025054612196981907,-0.03817026689648628,-0.047021955251693726,-0.023395681753754616
theory,0.2277156263589859,0.5460558533668518,0.23506702482700348,0.297979474067688,0.15654154121875763,0.18278326094150543,0.34694910049438477,0.16492833197116852,0.1890709400177002,0.17253084480762482,0.19235534965991974,0.9999999403953552,0.23506702482700348,0.4358063340187073,0.1387292891740799
of,0.733189046382904,0.2430231273174286,1.0,0.2839019000530243,0.3265681266784668,0.4069072902202606,0.21960023045539856,0.1816425770521164,0.2904134690761566,0.3282964527606964,0.37058958411216736,0.23506702482700348,1.0,0.23780936002731323,0.1826142966747284
evolution,0.2514035999774933,0.34572574496269226,0.23780936002731323,0.38322561979293823,0.1934945434331894,0.183089017868042,0.30859604477882385,0.2638021409511566,0.2339898645877838,0.15794603526592255,0.10994235426187515,0.4358063340187073,0.23780936002731323,0.9999999403953552,0.26797422766685486
",",0.4933079481124878,0.22548964619636536,0.4946078956127167,0.19222447276115417,0.1916448026895523,0.45456063747406006,0.24565434455871582,0.10963409394025803,0.2589467465877533,0.3156566619873047,0.25601375102996826,0.18095813691616058,0.4946078956127167,0.2198648303747177,0.31091248989105225
the,1.0,0.24017377197742462,0.733189046382904,0.2679622173309326,0.3133684992790222,0.48711544275283813,0.24490751326084137,0.16408909857273102,0.2912273406982422,0.45900648832321167,0.38253846764564514,0.2277156263589859,0.733189046382904,0.2514035999774933,0.22068053483963013
principles,0.21452596783638,0.8624683022499084,0.25854504108428955,0.33435162901878357,0.17531879246234894,0.15514956414699554,0.3137640655040741,0.17700515687465668,0.13290512561798096,0.1874866634607315,0.169301375746727,0.481322705745697,0.25854504108428955,0.3218975365161896,0.19203636050224304
of,0.733189046382904,0.2430231273174286,1.0,0.2839019000530243,0.3265681266784668,0.4069072902202606,0.21960023045539856,0.1816425770521164,0.2904134690761566,0.3282964527606964,0.37058958411216736,0.23506702482700348,1.0,0.23780936002731323,0.1826142966747284
succession,0.3133684992790222,0.19693267345428467,0.3265681266784668,0.30848702788352966,0.9999999403953552,0.2223631888628006,0.14569643139839172,0.19442056119441986,0.27928653359413147,0.25818467140197754,0.17350733280181885,0.15654154121875763,0.3265681266784668,0.1934945434331894,0.13082198798656464
were,0.3906462490558624,0.12945392727851868,0.34038281440734863,0.21579958498477936,0.19258706271648407,0.590133786201477,0.2749831974506378,0.25621604919433594,0.3048669695854187,0.3127685785293579,0.20901553332805634,0.1573960781097412,0.34038281440734863,0.1475413590669632,0.17890112102031708
developed,0.24490751326084137,0.27444934844970703,0.21960023045539856,0.2579472064971924,0.14569643139839172,0.3253139555454254,1.0000001192092896,0.18373806774616241,0.22479642927646637,0.2201162427663803,0.19349563121795654,0.34694910049438477,0.21960023045539856,0.30859604477882385,0.10763012617826462
independently,0.2874889671802521,0.31286901235580444,0.2837311625480652,0.23715631663799286,0.19073279201984406,0.2607250213623047,0.3004516065120697,0.1615198701620102,0.22422854602336884,0.23561841249465942,0.2850281000137329,0.26104655861854553,0.2837311625480652,0.34667906165122986,0.1474725753068924
of,0.733189046382904,0.2430231273174286,1.0,0.2839019000530243,0.3265681266784668,0.4069072902202606,0.21960023045539856,0.1816425770521164,0.2904134690761566,0.3282964527606964,0.37058958411216736,0.23506702482700348,1.0,0.23780936002731323,0.1826142966747284
evolutionary,0.24718289077281952,0.38552096486091614,0.2917879819869995,0.4393038749694824,0.21840780973434448,0.1979237198829651,0.3300187885761261,0.22504884004592896,0.22719113528728485,0.14895346760749817,0.18720489740371704,0.4494417607784271,0.2917879819869995,0.8545306324958801,0.22123169898986816
thought,0.3509289622306824,0.30404138565063477,0.34673458337783813,0.2270110547542572,0.16131509840488434,0.42560186982154846,0.3039597272872925,0.2120203822851181,0.3092130422592163,0.26289433240890503,0.26686781644821167,0.33378612995147705,0.34673458337783813,0.27759069204330444,0.2600135803222656
.,0.5934505462646484,0.1894911378622055,0.5352458953857422,0.16958598792552948,0.19792039692401886,0.40146201848983765,0.2569568455219269,0.22238291800022125,0.31919315457344055,0.36693984270095825,0.2718997597694397,0.18047811090946198,0.5352458953857422,0.3021080791950226,0.4130953550338745
