,what,is,the,smallest,number,of,bolivians,it,'s,estimated,live,in,newcastle,?
there,0.35085538029670715,0.3904260993003845,0.47025805711746216,0.29544779658317566,0.35469454526901245,0.44397735595703125,0.2022242397069931,0.4020688533782959,-0.04860968142747879,0.288830041885376,0.31164538860321045,0.5361666083335876,0.1536160409450531,0.29405656456947327
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.3424769937992096,0.3537501394748688,0.39081433415412903,0.2352297306060791,0.3617996573448181,-0.008927806280553341,0.21499647200107574,0.30489251017570496,0.3841303884983063,0.1428472399711609,0.24591213464736938
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.2911548316478729,0.36623433232307434,0.4924938678741455,0.2257424145936966,0.542508602142334,-0.0014726108638569713,0.18928773701190948,0.3039538562297821,0.5073733329772949,0.20407575368881226,0.21848613023757935
estimated,0.19670580327510834,0.23564131557941437,0.29184040427207947,0.34982261061668396,0.2866502106189728,0.30473583936691284,0.2696390450000763,0.22731517255306244,-0.008634808473289013,1.0000001192092896,0.22499117255210876,0.2508986294269562,0.15640278160572052,0.18149758875370026
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.21616685390472412,0.2706126868724823,0.41548454761505127,0.23929281532764435,0.513711154460907,0.03782717138528824,0.2046545445919037,0.298321396112442,0.45010748505592346,0.23559264838695526,0.29463258385658264
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.24015752971172333,0.28840136528015137,0.33904364705085754,0.21639111638069153,0.5203388929367065,0.025217169895768166,0.21316911280155182,0.18831217288970947,0.3481820821762085,0.15002311766147614,0.3324260413646698
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.2605452835559845,0.22219079732894897,0.3737983703613281,0.15501466393470764,0.311247855424881,0.006096371449530125,0.23855513334274292,0.20041409134864807,0.41100412607192993,0.14343799650669098,0.12887074053287506
500,-0.08255331963300705,0.051658064126968384,-0.031206801533699036,0.009752972982823849,-0.02067115716636181,-0.027781937271356583,-0.08357515931129456,-0.026903722435235977,-0.052812546491622925,-0.003933003172278404,0.057187821716070175,-0.01686781458556652,0.035021644085645676,0.05473969131708145
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21763697266578674,0.28545793890953064,0.5116966962814331,0.23824088275432587,0.40957894921302795,0.06895173341035843,0.211697056889534,0.29040172696113586,0.4954058527946472,0.20204751193523407,0.20544172823429108
"2,000",-0.029682017862796783,-0.004002113360911608,0.06475643068552017,-0.07700669020414352,-0.057074207812547684,0.10164742916822433,-0.09108953177928925,-0.04700696840882301,-0.0077349720522761345,-0.182254821062088,-0.030481288209557533,0.04807119444012642,-0.0521487258374691,-0.01396813802421093
