,what,does,the,acronym,csm,stand,for,?
once,0.38428619503974915,0.24065393209457397,0.4227895736694336,0.04840191826224327,0.05688679218292236,0.13597887754440308,0.33554747700691223,0.17750471830368042
kennedy,0.2125646471977234,0.11197750270366669,0.20303435623645782,0.11529369652271271,0.21216009557247162,0.1887708157300949,0.22511224448680878,0.21965277194976807
's,0.02692362666130066,-0.02895052544772625,-0.01540423184633255,-0.0012880810536444187,-0.0011338747572153807,-0.022507183253765106,-0.07241261005401611,-0.023395681753754616
moon,0.15898863971233368,0.1820274442434311,0.23613092303276062,0.08763731271028519,0.3297808766365051,0.09730098396539688,0.2043032944202423,0.1442703753709793
landing,0.17083740234375,0.14571607112884521,0.24055521190166473,0.11056734621524811,0.2964303493499756,0.13074196875095367,0.23171500861644745,0.11133739352226257
goal,0.2571476101875305,0.190810427069664,0.2443244755268097,0.1998990923166275,0.21511530876159668,0.15540356934070587,0.2554558217525482,0.1964566856622696
became,0.1434093862771988,0.1381855607032776,0.36325156688690186,0.10345153510570526,0.11062149703502655,0.06139586120843887,0.3017078936100006,0.11374033987522125
official,0.18967986106872559,0.16098397970199585,0.3133983910083771,0.2059561312198639,0.19274672865867615,0.13256998360157013,0.2504976987838745,0.18097688257694244
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.21347589790821075,0.20636554062366486,0.27589988708496094,0.4464869201183319,0.31091248989105225
detailed,0.34171777963638306,0.15483060479164124,0.287728875875473,0.13433711230754852,0.17042887210845947,0.09840919077396393,0.28535693883895874,0.22426927089691162
design,0.23893405497074127,0.13883008062839508,0.27913451194763184,0.18631994724273682,0.2195642739534378,0.1225636750459671,0.2477298229932785,0.16351860761642456
began,0.1665823757648468,0.2078581154346466,0.3059147596359253,0.08996984362602234,0.18657799065113068,0.13969014585018158,0.29047009348869324,0.1370266228914261
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.19614456593990326,0.15882812440395355,0.2038130760192871,0.4185989499092102,0.1826142966747284
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.20950040221214294,0.19198624789714813,0.26977941393852234,0.44038116931915283,0.23916715383529663
command/service,0.2934560775756836,0.2438451647758484,0.3123408555984497,0.27828502655029297,0.5336982607841492,0.18137376010417938,0.31797337532043457,0.2988196015357971
module,0.2071267068386078,0.18762138485908508,0.15147453546524048,0.15073177218437195,0.4761714041233063,0.08759357035160065,0.20810315012931824,0.2131270468235016
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.23940598964691162,0.2919323444366455,0.15827840566635132,0.3357032239437103,0.40561532974243164
csm,0.16508343815803528,0.12815159559249878,0.15609420835971832,0.23765678703784943,0.9999998807907104,0.10088857263326645,0.235806405544281,0.19925744831562042
),0.26259949803352356,0.2575884759426117,0.3456730246543884,0.2410539984703064,0.3227638304233551,0.14393578469753265,0.3639558255672455,0.42300865054130554
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.1663419008255005,0.15355633199214935,0.20552469789981842,0.4322226941585541,0.20430970191955566
which,0.5261979103088379,0.39111801981925964,0.6521818041801453,0.2523539960384369,0.1713857203722,0.19788064062595367,0.44095608592033386,0.25814583897590637
the,0.42745697498321533,0.35928019881248474,1.0,0.22906145453453064,0.15609420835971832,0.2531624138355255,0.4739971458911896,0.22068053483963013
crew,0.17533187568187714,0.12820199131965637,0.25329816341400146,0.10988754034042358,0.3503846228122711,0.17472010850906372,0.22704027593135834,0.16586194932460785
would,0.45766422152519226,0.5055691003799438,0.4133751392364502,0.12102057039737701,0.11080329865217209,0.25175660848617554,0.39877474308013916,0.37178951501846313
spend,0.28335806727409363,0.21670785546302795,0.21215185523033142,0.05019417777657509,0.13443244993686676,0.16180424392223358,0.3409658372402191,0.2106763869524002
the,0.42745697498321533,0.35928019881248474,1.0,0.22906145453453064,0.15609420835971832,0.2531624138355255,0.4739971458911896,0.22068053483963013
entire,0.37562522292137146,0.32014235854148865,0.4870373010635376,0.1447378396987915,0.20673006772994995,0.19532178342342377,0.30485764145851135,0.17068447172641754
direct-ascent,0.2804828882217407,0.268441379070282,0.3730848729610443,0.20065456628799438,0.30084967613220215,0.2413989007472992,0.3379466235637665,0.19251571595668793
mission,0.2317502647638321,0.10720129311084747,0.22673439979553223,0.18564650416374207,0.4491548240184784,0.014759082347154617,0.18326549232006073,0.19506393373012543
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.113299161195755,0.15724779665470123,0.268960565328598,0.5064792633056641,0.20544172823429108
