,who,lived,in,a,tree,to,prevent,it,from,being,cut,down,as,a,form,of,civil,disobedience,?
some,0.3978389501571655,0.20470525324344635,0.4010399878025055,0.34539633989334106,0.21742364764213562,0.4636894166469574,0.3080980181694031,0.4438856542110443,0.35210713744163513,0.39474767446517944,0.277167946100235,0.22094088792800903,0.4293700158596039,0.34539633989334106,0.33171209692955017,0.4300730526447296,0.1851816177368164,0.28606411814689636,0.2562315762042999
civil,0.14972704648971558,0.11942020803689957,0.26466667652130127,0.21693918108940125,0.11235389858484268,0.2019355595111847,0.16447891294956207,0.17707513272762299,0.11420916765928268,0.18085385859012604,0.14794261753559113,0.11813819408416748,0.18100082874298096,0.21693918108940125,0.0937703400850296,0.24698495864868164,1.0,0.5442691445350647,0.1494513899087906
disobedients,0.31916338205337524,0.1517133116722107,0.30752769112586975,0.26969417929649353,0.2131904661655426,0.34340938925743103,0.38157764077186584,0.2694084942340851,0.20269811153411865,0.3241530656814575,0.24837626516819,0.2501101791858673,0.2719380557537079,0.26969417929649353,0.24934940040111542,0.32510921359062195,0.5063242316246033,0.8955491185188293,0.18925230205059052
",",0.3365725874900818,0.32840919494628906,0.5201468467712402,0.427140474319458,0.17433692514896393,0.44245919585227966,0.19234955310821533,0.48329564929008484,0.39760664105415344,0.34499165415763855,0.23439376056194305,0.23362469673156738,0.48816442489624023,0.427140474319458,0.21805599331855774,0.4946078956127167,0.24795588850975037,0.2878543734550476,0.31091248989105225
such,0.2594927251338959,0.12855751812458038,0.2704046070575714,0.2706976532936096,0.1724681407213211,0.2871878743171692,0.3238815665245056,0.28879642486572266,0.24813218414783478,0.289646178483963,0.22753281891345978,0.18775604665279388,0.6207084655761719,0.2706976532936096,0.2648303806781769,0.3209529519081116,0.09689128398895264,0.20085255801677704,0.17851735651493073
as,0.3923053741455078,0.22559787333011627,0.3887844979763031,0.39550232887268066,0.18873834609985352,0.42092081904411316,0.30691957473754883,0.4461488723754883,0.3251767158508301,0.46524563431739807,0.22561363875865936,0.2080715298652649,1.0,0.39550232887268066,0.24710296094417572,0.3886612355709076,0.18100082874298096,0.25773370265960693,0.27043893933296204
the,0.3733934462070465,0.2897515296936035,0.6662389636039734,0.5829201340675354,0.2565799951553345,0.535392165184021,0.2841009497642517,0.6251175999641418,0.40150508284568787,0.419739305973053,0.29221418499946594,0.3325848877429962,0.48381632566452026,0.5829201340675354,0.29286009073257446,0.733189046382904,0.2477465271949768,0.30963727831840515,0.22068053483963013
proprietors,0.2764190137386322,0.15013571083545685,0.23628546297550201,0.21444807946681976,0.1463700830936432,0.26386186480522156,0.19200022518634796,0.19397509098052979,0.22540894150733948,0.2777872383594513,0.13257837295532227,0.12720981240272522,0.22267134487628937,0.21444807946681976,0.08054991811513901,0.297958105802536,0.1640411913394928,0.22025901079177856,0.10467316955327988
of,0.2827862501144409,0.3103700876235962,0.5696388483047485,0.5052502155303955,0.23309285938739777,0.41548454761505127,0.22669163346290588,0.38761502504348755,0.4249346852302551,0.34885138273239136,0.26061776280403137,0.23279321193695068,0.3886612355709076,0.5052502155303955,0.29600051045417786,1.0,0.24698495864868164,0.31932318210601807,0.1826142966747284
illegal,0.2719591557979584,0.10055013746023178,0.21311107277870178,0.20074772834777832,0.08893236517906189,0.26434260606765747,0.3212209939956665,0.2297307252883911,0.23292921483516693,0.20300094783306122,0.17217688262462616,0.1673843264579773,0.2117311954498291,0.20074772834777832,0.1416739672422409,0.19375135004520416,0.17244401574134827,0.35090160369873047,0.1562941074371338
medical,0.283721387386322,0.07903870940208435,0.25996583700180054,0.20945803821086884,0.07199927419424057,0.2909846603870392,0.23907355964183807,0.22134940326213837,0.2240244597196579,0.19898048043251038,0.12528689205646515,0.09831445664167404,0.20822733640670776,0.20945803821086884,0.05714725703001022,0.2826511859893799,0.19537904858589172,0.26904088258743286,0.13234087824821472
cannabis,0.20095157623291016,0.10340642184019089,0.22523413598537445,0.24710293114185333,0.26198524236679077,0.2052776962518692,0.28703585267066956,0.2422538697719574,0.23019738495349884,0.23507297039031982,0.23553448915481567,0.11464348435401917,0.21902185678482056,0.24710293114185333,0.1774129718542099,0.18103986978530884,0.14309528470039368,0.2907513380050659,0.17839333415031433
dispensaries,0.2850039601325989,0.18513621389865875,0.259825736284256,0.2129376083612442,0.15040871500968933,0.3665250241756439,0.38414666056632996,0.2108224630355835,0.25872132182121277,0.3290017247200012,0.18455015122890472,0.21149423718452454,0.3353559970855713,0.2129376083612442,0.23211947083473206,0.3943612575531006,0.3082825243473053,0.4805951714515686,0.2910919189453125
and,0.41279885172843933,0.21143336594104767,0.4954058527946472,0.3739250600337982,0.1832687258720398,0.48971283435821533,0.27715030312538147,0.40957894921302795,0.3601827025413513,0.4286794066429138,0.2832682728767395,0.2760816216468811,0.49487000703811646,0.3739250600337982,0.30469027161598206,0.5116966962814331,0.25259146094322205,0.3041999638080597,0.20544172823429108
voice,0.2275296300649643,0.08611486107110977,0.18404260277748108,0.19495928287506104,0.1509840190410614,0.15644241869449615,0.19559399783611298,0.12519028782844543,0.18418629467487335,0.20128238201141357,0.1422131508588791,0.17614449560642242,0.2737634778022766,0.19495928287506104,0.1028088852763176,0.1260928511619568,0.15745052695274353,0.22009825706481934,0.17046543955802917
in,0.2792111933231354,0.3669787347316742,1.0,0.539380669593811,0.15590032935142517,0.45010748505592346,0.14883868396282196,0.5130809545516968,0.4274188280105591,0.33162933588027954,0.1650969684123993,0.2321847528219223,0.3887844979763031,0.539380669593811,0.2815987169742584,0.5696388483047485,0.26466667652130127,0.3054615259170532,0.20430970191955566
the,0.3733934462070465,0.2897515296936035,0.6662389636039734,0.5829201340675354,0.2565799951553345,0.535392165184021,0.2841009497642517,0.6251175999641418,0.40150508284568787,0.419739305973053,0.29221418499946594,0.3325848877429962,0.48381632566452026,0.5829201340675354,0.29286009073257446,0.733189046382904,0.2477465271949768,0.30963727831840515,0.22068053483963013
wilderness,0.15926168859004974,0.19440831243991852,0.19858351349830627,0.14824765920639038,0.30299317836761475,0.18537789583206177,0.13219493627548218,0.17980237305164337,0.1195497214794159,0.23548711836338043,0.16063548624515533,0.1637074053287506,0.2154131978750229,0.14824765920639038,0.11144240200519562,0.2411338835954666,0.2523702383041382,0.2982480525970459,0.1363435983657837
